WP_000340715.1	lcl|NZ_AOGZ02000008.1_cds_WP_040506276.1_3173	59.155	71	106
WP_000410273.1	lcl|NZ_AOGZ02000008.1_cds_WP_015680127.1_3174	81.613	310	314
WP_000410273.1	lcl|NZ_AOGZ02000014.1_cds_WP_015681154.1_2333	27.476	313	314
WP_000410273.1	lcl|NZ_AOGZ02000014.1_cds_WP_002988752.1_2359	23.765	324	314
WP_000410273.1	lcl|NZ_AOGZ02000016.1_cds_WP_015682959.1_330	24.706	170	314
WP_000410273.1	lcl|NZ_AOGZ02000014.1_cds_WP_015681993.1_1791	22.118	321	314
WP_000884059.1	lcl|NZ_AOGZ02000014.1_cds_WP_015682453.1_529	32.258	124	185
WP_000646256.1	lcl|NZ_AOGZ02000014.1_cds_WP_002988752.1_2359	31.210	314	329
WP_000646256.1	lcl|NZ_AOGZ02000016.1_cds_WP_015682959.1_330	29.032	341	329
WP_000646256.1	lcl|NZ_AOGZ02000014.1_cds_WP_015681993.1_1791	29.450	309	329
WP_000646256.1	lcl|NZ_AOGZ02000014.1_cds_WP_015681154.1_2333	28.846	312	329
WP_000646256.1	lcl|NZ_AOGZ02000014.1_cds_WP_015681103.1_1961	27.950	322	329
WP_000646256.1	lcl|NZ_AOGZ02000008.1_cds_WP_015680175.1_3193	27.306	271	329
WP_000646256.1	lcl|NZ_AOGZ02000008.1_cds_WP_015680127.1_3174	26.019	319	329
WP_000646256.1	lcl|NZ_AOGZ02000014.1_cds_WP_015681799.1_2020	27.600	250	329
WP_000646256.1	lcl|NZ_AOGZ02000008.1_cds_WP_015679926.1_3206	26.277	274	329
WP_000646256.1	lcl|NZ_AOGZ02000008.1_cds_WP_015679965.1_3203	24.111	253	329
WP_000646256.1	lcl|NZ_AOGZ02000008.1_cds_WP_015680095.1_3215	23.622	254	329
WP_000646256.1	lcl|NZ_AOGZ02000016.1_cds_WP_198012817.1_319	26.840	231	329
WP_000646256.1	lcl|NZ_AOGZ02000014.1_cds_WP_015682510.1_2412	28.916	249	329
