WP_000340715.1	lcl|NZ_JAMQPU010000003.1_cds_WP_265360260.1_2313	63.514	74	106
WP_000410273.1	lcl|NZ_JAMQPU010000003.1_cds_WP_265360372.1_2314	82.903	310	314
WP_000410273.1	lcl|NZ_JAMQPU010000003.1_cds_WP_265360263.1_2317	24.159	327	314
WP_000410273.1	lcl|NZ_JAMQPU010000002.1_cds_WP_100725791.1_1808	24.074	324	314
WP_000410273.1	lcl|NZ_JAMQPU010000003.1_cds_WP_135638554.1_2365	26.129	310	314
WP_000410273.1	lcl|NZ_JAMQPU010000006.1_cds_WP_100715920.1_3461	24.118	170	314
WP_000410273.1	lcl|NZ_JAMQPU010000003.1_cds_WP_265360278.1_2333	20.851	235	314
WP_000410273.1	lcl|NZ_JAMQPU010000002.1_cds_WP_265359989.1_1246	23.248	314	314
WP_000884059.1	lcl|NZ_JAMQPU010000007.1_cds_WP_135591902.1_3556	31.783	129	185
WP_000646256.1	lcl|NZ_JAMQPU010000003.1_cds_WP_265360263.1_2317	31.153	321	329
WP_000646256.1	lcl|NZ_JAMQPU010000002.1_cds_WP_100725791.1_1808	30.573	314	329
WP_000646256.1	lcl|NZ_JAMQPU010000002.1_cds_WP_265359989.1_1246	31.373	306	329
WP_000646256.1	lcl|NZ_JAMQPU010000006.1_cds_WP_100715920.1_3461	29.326	341	329
WP_000646256.1	lcl|NZ_JAMQPU010000003.1_cds_WP_135638554.1_2365	27.492	331	329
WP_000646256.1	lcl|NZ_JAMQPU010000002.1_cds_WP_265360115.1_1781	29.747	316	329
WP_000646256.1	lcl|NZ_JAMQPU010000002.1_cds_WP_265360024.1_1424	27.640	322	329
WP_000646256.1	lcl|NZ_JAMQPU010000003.1_cds_WP_265360278.1_2333	25.692	253	329
WP_000646256.1	lcl|NZ_JAMQPU010000003.1_cds_WP_265360372.1_2314	25.786	318	329
WP_000646256.1	lcl|NZ_JAMQPU010000002.1_cds_WP_135688711.1_1476	27.888	251	329
