WP_000340715.1	lcl|NZ_RQHO01000003.1_cds_WP_135663333.1_3534	63.514	74	106
WP_000410273.1	lcl|NZ_RQHO01000003.1_cds_WP_135663361.1_3535	83.871	310	314
WP_000410273.1	lcl|NZ_RQHO01000002.1_cds_WP_100725791.1_914	24.074	324	314
WP_000410273.1	lcl|NZ_RQHO01000002.1_cds_WP_135638522.1_3087	23.214	280	314
WP_000410273.1	lcl|NZ_RQHO01000002.1_cds_WP_135652128.1_3085	22.876	306	314
WP_000410273.1	lcl|NZ_RQHO01000002.1_cds_WP_135652118.1_3067	25.806	310	314
WP_000410273.1	lcl|NZ_RQHO01000004.1_cds_WP_100715920.1_3401	24.118	170	314
WP_000410273.1	lcl|NZ_RQHO01000002.1_cds_WP_135662355.1_1477	23.404	329	314
WP_000884059.1	lcl|NZ_RQHO01000002.1_cds_WP_135663158.1_3106	39.456	147	185
WP_000884059.1	lcl|NZ_RQHO01000002.1_cds_WP_135591902.1_2695	31.783	129	185
WP_000646256.1	lcl|NZ_RQHO01000002.1_cds_WP_135638522.1_3087	31.894	301	329
WP_000646256.1	lcl|NZ_RQHO01000002.1_cds_WP_135652128.1_3085	31.148	305	329
WP_000646256.1	lcl|NZ_RQHO01000002.1_cds_WP_100725791.1_914	30.573	314	329
WP_000646256.1	lcl|NZ_RQHO01000002.1_cds_WP_135662355.1_1477	31.803	305	329
WP_000646256.1	lcl|NZ_RQHO01000004.1_cds_WP_100715920.1_3401	29.326	341	329
WP_000646256.1	lcl|NZ_RQHO01000002.1_cds_WP_135652118.1_3067	27.190	331	329
WP_000646256.1	lcl|NZ_RQHO01000002.1_cds_WP_100721309.1_1297	27.950	322	329
WP_000646256.1	lcl|NZ_RQHO01000002.1_cds_WP_135662078.1_941	29.430	316	329
WP_000646256.1	lcl|NZ_RQHO01000003.1_cds_WP_135663361.1_3535	26.415	318	329
WP_000646256.1	lcl|NZ_RQHO01000002.1_cds_WP_100716204.1_1245	27.092	251	329
WP_000646256.1	lcl|NZ_RQHO01000002.1_cds_WP_135663138.1_3094	21.723	267	329
WP_000646256.1	lcl|NZ_RQHO01000002.1_cds_WP_135663142.1_3097	37.302	126	329
WP_000646256.1	lcl|NZ_RQHO01000002.1_cds_WP_135652127.1_3083	26.154	260	329
