WP_000340715.1	lcl|NZ_AOHD02000040.1_cds_WP_020774736.1_1763	94.186	86	106
WP_000410273.1	lcl|NZ_AOHD02000040.1_cds_WP_020774692.1_1762	89.032	310	314
WP_000410273.1	lcl|NZ_AOHD02000040.1_cds_WP_020774697.1_1759	25.316	316	314
WP_000410273.1	lcl|NZ_AOHD02000025.1_cds_WP_020771927.1_2482	24.458	323	314
WP_000410273.1	lcl|NZ_AOHD02000040.1_cds_WP_020774725.1_1729	23.656	186	314
WP_000410273.1	lcl|NZ_AOHD02000066.1_cds_WP_020774296.1_148	23.488	281	314
WP_000410273.1	lcl|NZ_AOHD02000001.1_cds_WP_017808832.1_3889	25.346	217	314
WP_000410273.1	lcl|NZ_AOHD02000040.1_cds_WP_017809394.1_1734	23.385	325	314
WP_000410273.1	lcl|NZ_AOHD02000064.1_cds_WP_020775260.1_214	20.238	168	314
WP_000604524.1	lcl|NZ_AOHD02000040.1_cds_WP_020774721.1_1761	83.288	365	365
WP_000884059.1	lcl|NZ_AOHD02000040.1_cds_WP_020774732.1_1760	91.351	185	185
WP_000884059.1	lcl|NZ_AOHD02000044.1_cds_WP_020772754.1_1406	37.671	146	185
WP_000646256.1	lcl|NZ_AOHD02000040.1_cds_WP_020774697.1_1759	92.097	329	329
WP_000646256.1	lcl|NZ_AOHD02000040.1_cds_WP_020774725.1_1729	31.746	315	329
WP_000646256.1	lcl|NZ_AOHD02000066.1_cds_WP_020774296.1_148	29.552	335	329
WP_000646256.1	lcl|NZ_AOHD02000025.1_cds_WP_020771927.1_2482	30.794	315	329
WP_000646256.1	lcl|NZ_AOHD02000001.1_cds_WP_017808832.1_3889	32.372	312	329
WP_000646256.1	lcl|NZ_AOHD02000064.1_cds_WP_020775260.1_214	27.976	336	329
WP_000646256.1	lcl|NZ_AOHD02000035.1_cds_WP_020775061.1_2066	29.114	316	329
WP_000646256.1	lcl|NZ_AOHD02000001.1_cds_WP_036042477.1_3878	29.503	322	329
WP_000646256.1	lcl|NZ_AOHD02000040.1_cds_WP_020774722.1_1756	28.525	305	329
WP_000646256.1	lcl|NZ_AOHD02000049.1_cds_WP_020772116.1_974	25.220	341	329
WP_000646256.1	lcl|NZ_AOHD02000040.1_cds_WP_021064603.1_1732	30.147	272	329
WP_000646256.1	lcl|NZ_AOHD02000040.1_cds_WP_020774692.1_1762	27.612	268	329
WP_000646256.1	lcl|NZ_AOHD02000040.1_cds_WP_017809394.1_1734	25.566	309	329
WP_000646256.1	lcl|NZ_AOHD02000040.1_cds_WP_020772546.1_1695	24.312	218	329
WP_000646256.1	lcl|NZ_AOHD02000040.1_cds_WP_020772548.1_1687	25.630	238	329
WP_000646256.1	lcl|NZ_AOHD02000022.1_cds_WP_020773134.1_2863	28.195	266	329
WP_000646256.1	lcl|NZ_AOHD02000025.1_cds_WP_020771874.1_2393	25.373	335	329
