WP_000340715.1	lcl|NZ_JADDWY010000021.1_cds_WP_002725873.1_1035	91.860	86	106
WP_000410273.1	lcl|NZ_JADDWY010000021.1_cds_WP_011669917.1_1036	92.903	310	314
WP_000410273.1	lcl|NZ_JADDWY010000060.1_cds_WP_011669955.1_2623	23.381	278	314
WP_000410273.1	lcl|NZ_JADDWY010000023.1_cds_WP_011671202.1_1123	22.462	325	314
WP_000410273.1	lcl|NZ_JADDWY010000060.1_cds_WP_011669957.1_2621	25.137	183	314
WP_000410273.1	lcl|NZ_JADDWY010000062.1_cds_WP_011669973.1_2666	24.199	281	314
WP_000410273.1	lcl|NZ_JADDWY010000035.1_cds_WP_011670961.1_1653	25.402	311	314
WP_000410273.1	lcl|NZ_JADDWY010000095.1_cds_WP_011670813.1_3357	22.353	170	314
WP_000884059.1	lcl|NZ_JADDWY010000001.1_cds_WP_002750963.1_876	36.301	146	185
WP_000884059.1	lcl|NZ_JADDWY010000021.1_cds_WP_011669938.1_1067	33.898	177	185
WP_000646255.1	lcl|NZ_JADDWY010000060.1_cds_WP_011669955.1_2623	31.153	321	329
WP_000646255.1	lcl|NZ_JADDWY010000023.1_cds_WP_011671202.1_1123	30.794	315	329
WP_000646255.1	lcl|NZ_JADDWY010000062.1_cds_WP_011669973.1_2666	31.642	335	329
WP_000646255.1	lcl|NZ_JADDWY010000035.1_cds_WP_011670961.1_1653	30.868	311	329
WP_000646255.1	lcl|NZ_JADDWY010000060.1_cds_WP_011669957.1_2621	28.852	305	329
WP_000646255.1	lcl|NZ_JADDWY010000095.1_cds_WP_011670813.1_3357	27.566	341	329
WP_000646255.1	lcl|NZ_JADDWY010000020.1_cds_WP_011671143.1_978	30.032	313	329
WP_000646255.1	lcl|NZ_JADDWY010000035.1_cds_WP_002754065.1_1650	27.879	330	329
WP_000646255.1	lcl|NZ_JADDWY010000002.1_cds_WP_011671074.1_1441	24.260	338	329
WP_000646255.1	lcl|NZ_JADDWY010000021.1_cds_WP_011669917.1_1036	28.112	249	329
WP_000646255.1	lcl|NZ_JADDWY010000012.1_cds_WP_017859386.1_295	26.217	267	329
WP_000646255.1	lcl|NZ_JADDWY010000060.1_cds_WP_011669959.1_2619	25.993	277	329
WP_000646255.1	lcl|NZ_JADDWY010000059.1_cds_WP_011669202.1_2521	24.471	331	329
