WP_000340715.1	lcl|NZ_JAMQQD010000005.1_cds_WP_108958675.1_2988	63.514	74	106
WP_000410273.1	lcl|NZ_JAMQQD010000005.1_cds_WP_265356155.1_2987	82.903	310	314
WP_000410273.1	lcl|NZ_JAMQQD010000001.1_cds_WP_265355771.1_838	24.383	324	314
WP_000410273.1	lcl|NZ_JAMQQD010000005.1_cds_WP_265356025.1_2942	24.922	321	314
WP_000410273.1	lcl|NZ_JAMQQD010000005.1_cds_WP_265356016.1_2951	24.233	326	314
WP_000410273.1	lcl|NZ_JAMQQD010000005.1_cds_WP_265356037.1_2922	25.806	310	314
WP_000410273.1	lcl|NZ_JAMQQD010000007.1_cds_WP_100715920.1_3365	24.118	170	314
WP_000410273.1	lcl|NZ_JAMQQD010000001.1_cds_WP_135653092.1_275	23.404	329	314
WP_000604524.1	lcl|NZ_JAMQQD010000005.1_cds_WP_265355984.1_2985	55.866	358	365
WP_000884059.1	lcl|NZ_JAMQQD010000005.1_cds_WP_265355999.1_2969	31.579	171	185
WP_000884059.1	lcl|NZ_JAMQQD010000003.1_cds_WP_135591902.1_2256	31.783	129	185
WP_000646255.1	lcl|NZ_JAMQQD010000001.1_cds_WP_265355771.1_838	30.573	314	329
WP_000646255.1	lcl|NZ_JAMQQD010000007.1_cds_WP_100715920.1_3365	29.326	341	329
WP_000646255.1	lcl|NZ_JAMQQD010000001.1_cds_WP_135653092.1_275	31.475	305	329
WP_000646255.1	lcl|NZ_JAMQQD010000005.1_cds_WP_265356016.1_2951	29.206	315	329
WP_000646255.1	lcl|NZ_JAMQQD010000005.1_cds_WP_265356025.1_2942	29.968	317	329
WP_000646255.1	lcl|NZ_JAMQQD010000005.1_cds_WP_265356037.1_2922	27.190	331	329
WP_000646255.1	lcl|NZ_JAMQQD010000001.1_cds_WP_135639720.1_811	28.981	314	329
WP_000646255.1	lcl|NZ_JAMQQD010000001.1_cds_WP_100725525.1_454	27.640	322	329
WP_000646255.1	lcl|NZ_JAMQQD010000005.1_cds_WP_265356007.1_2960	26.032	315	329
WP_000646255.1	lcl|NZ_JAMQQD010000005.1_cds_WP_265356020.1_2947	28.339	307	329
WP_000646255.1	lcl|NZ_JAMQQD010000005.1_cds_WP_265356155.1_2987	26.101	318	329
