WP_000340715.1	lcl|NZ_JAHLXC010000334.1_cds_WP_000340715.1_1884	100.000	86	106
WP_000410273.1	lcl|NZ_JAHLXC010000334.1_cds_WP_000410275.1_1885	100.000	310	314
WP_000410273.1	lcl|NZ_JAHLXC010000334.1_cds_WP_000723078.1_1934	24.731	279	314
WP_000410273.1	lcl|NZ_JAHLXC010000320.1_cds_WP_000744700.1_2371	24.691	324	314
WP_000410273.1	lcl|NZ_JAHLXC010000334.1_cds_WP_000723090.1_1954	23.958	288	314
WP_000410273.1	lcl|NZ_JAHLXC010000334.1_cds_WP_000567887.1_1936	23.348	227	314
WP_000884059.1	lcl|NZ_JAHLXC010000348.1_cds_WP_000351733.1_3597	40.000	140	185
WP_000884059.1	lcl|NZ_JAHLXC010000334.1_cds_WP_001047905.1_1916	33.898	177	185
WP_000646255.1	lcl|NZ_JAHLXC010000334.1_cds_WP_000723078.1_1934	31.464	321	329
WP_000646255.1	lcl|NZ_JAHLXC010000320.1_cds_WP_000744700.1_2371	32.063	315	329
WP_000646255.1	lcl|NZ_JAHLXC010000334.1_cds_WP_000723090.1_1954	31.045	335	329
WP_000646255.1	lcl|NZ_JAHLXC010000238.1_cds_WP_001984071.1_2317	31.475	305	329
WP_000646255.1	lcl|NZ_JAHLXC010000360.1_cds_WP_000649923.1_3794	30.183	328	329
WP_000646255.1	lcl|NZ_JAHLXC010000334.1_cds_WP_000567887.1_1936	29.508	305	329
WP_000646255.1	lcl|NZ_JAHLXC010000142.1_cds_WP_000709511.1_1572	29.538	325	329
WP_000646255.1	lcl|NZ_JAHLXC010000238.1_cds_WP_000688696.1_2297	28.975	283	329
WP_000646255.1	lcl|NZ_JAHLXC010000334.1_cds_WP_000410275.1_1885	26.347	334	329
WP_000646255.1	lcl|NZ_JAHLXC010000208.1_cds_WP_001074785.1_2684	29.057	265	329
WP_000646255.1	lcl|NZ_JAHLXC010000334.1_cds_WP_000460023.1_1938	25.632	277	329
WP_000646255.1	lcl|NZ_JAHLXC010000328.1_cds_WP_001003557.1_409	25.000	332	329
WP_000774259.1	lcl|NZ_JAHLXC010000334.1_cds_WP_000043898.1_1935	27.027	185	267
WP_000774259.1	lcl|NZ_JAHLXC010000334.1_cds_WP_000842260.1_1955	26.316	190	267
WP_000774259.1	lcl|NZ_JAHLXC010000331.1_cds_WP_000805357.1_2127	26.190	210	267
WP_000774259.1	lcl|NZ_JAHLXC010000238.1_cds_WP_155572209.1_2275	28.866	97	267
WP_000612799.1	lcl|NZ_JAHLXC010000266.1_cds_WP_000291586.1_846	26.606	327	509
WP_000612799.1	lcl|NZ_JAHLXC010000266.1_cds_WP_000364507.1_845	31.111	90	509
WP_000612799.1	lcl|NZ_JAHLXC010000266.1_cds_WP_000291586.1_846	26.606	327	509
WP_000612799.1	lcl|NZ_JAHLXC010000266.1_cds_WP_000364507.1_845	31.111	90	509
WP_001067557.1	lcl|NZ_JAHLXC010000334.1_cds_WP_000723078.1_1934	22.909	275	330
WP_001067557.1	lcl|NZ_JAHLXC010000238.1_cds_WP_001984071.1_2317	25.735	272	330
WP_001067557.1	lcl|NZ_JAHLXC010000328.1_cds_WP_001003557.1_409	28.395	243	330
