WP_000340715.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000340715.1_848	100.000	86	106
WP_000410273.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000410273.1_849	100.000	314	314
WP_000410273.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000093099.1_869	46.988	83	314
WP_000410273.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000646250.1_852	25.705	319	314
WP_000410273.1	lcl|NZ_JAGGCG010000006.1_cds_WP_000744700.1_1020	24.691	324	314
WP_000410273.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000600889.1_878	25.269	186	314
WP_000410273.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000723090.1_931	23.958	288	314
WP_000410273.1	lcl|NZ_JAGGCG010000005.1_cds_WP_001067557.1_855	24.695	328	314
WP_000604524.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000604524.1_850	99.726	365	365
WP_000884059.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000884059.1_851	100.000	185	185
WP_000884059.1	lcl|NZ_JAGGCG010000002.1_cds_WP_000351733.1_435	40.000	140	185
WP_000646255.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000646250.1_852	98.480	329	329
WP_000646255.1	lcl|NZ_JAGGCG010000006.1_cds_WP_000744700.1_1020	32.063	315	329
WP_000646255.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000723090.1_931	31.045	335	329
WP_000646255.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000600889.1_878	34.109	258	329
WP_000646255.1	lcl|NZ_JAGGCG010000029.1_cds_WP_001984071.1_2904	31.475	305	329
WP_000646255.1	lcl|NZ_JAGGCG010000009.1_cds_WP_000649925.1_1436	30.183	328	329
WP_000646255.1	lcl|NZ_JAGGCG010000060.1_cds_WP_000709511.1_3678	29.538	325	329
WP_000646255.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000601375.1_905	25.091	275	329
WP_000646255.1	lcl|NZ_JAGGCG010000005.1_cds_WP_001067557.1_855	30.350	257	329
WP_000646255.1	lcl|NZ_JAGGCG010000029.1_cds_WP_000688695.1_2924	28.975	283	329
WP_000646255.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000475904.1_914	27.737	274	329
WP_000646255.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000410273.1_849	26.019	319	329
WP_000646255.1	lcl|NZ_JAGGCG010000018.1_cds_WP_001074785.1_2258	29.057	265	329
WP_000646255.1	lcl|NZ_JAGGCG010000020.1_cds_WP_001003555.1_2420	25.148	338	329
WP_000646255.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000487322.1_903	27.077	325	329
WP_000774259.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000774262.1_853	98.127	267	267
WP_000774259.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000859505.1_902	25.820	244	267
WP_000774259.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000800438.1_883	24.786	234	267
WP_000774259.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000842260.1_932	26.316	190	267
WP_000774259.1	lcl|NZ_JAGGCG010000026.1_cds_WP_000667727.1_2795	31.818	110	267
WP_000774259.1	lcl|NZ_JAGGCG010000023.1_cds_WP_000805357.1_2617	26.190	210	267
WP_000612799.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000612797.1_854	98.821	509	509
WP_000612799.1	lcl|NZ_JAGGCG010000021.1_cds_WP_000291591.1_2483	26.606	327	509
WP_000612799.1	lcl|NZ_JAGGCG010000021.1_cds_WP_000364507.1_2482	31.111	90	509
WP_000612799.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000612797.1_854	98.821	509	509
WP_000612799.1	lcl|NZ_JAGGCG010000021.1_cds_WP_000291591.1_2483	26.606	327	509
WP_000612799.1	lcl|NZ_JAGGCG010000021.1_cds_WP_000364507.1_2482	31.111	90	509
WP_001067557.1	lcl|NZ_JAGGCG010000005.1_cds_WP_001067557.1_855	100.000	330	330
WP_001067557.1	lcl|NZ_JAGGCG010000005.1_cds_WP_000646250.1_852	28.664	307	330
