WP_000340715.1	lcl|NZ_LUVO01000314.1_cds_WP_000340713.1_3597	95.349	86	106
WP_000410273.1	lcl|NZ_LUVO01000314.1_cds_WP_000412665.1_3596	95.192	312	314
WP_000410273.1	lcl|NZ_LUVO01000314.1_cds_WP_000699347.1_3592	24.437	311	314
WP_000410273.1	lcl|NZ_LUVO01000273.1_cds_WP_000744700.1_2584	24.691	324	314
WP_000410273.1	lcl|NZ_LUVO01000314.1_cds_WP_000723077.1_3583	21.014	276	314
WP_000410273.1	lcl|NZ_LUVO01000322.1_cds_WP_000723094.1_3743	24.306	288	314
WP_000884059.1	lcl|NZ_LUVO01000326.1_cds_WP_000351733.1_3893	40.000	140	185
WP_000646255.1	lcl|NZ_LUVO01000314.1_cds_WP_000699347.1_3592	31.304	345	329
WP_000646255.1	lcl|NZ_LUVO01000273.1_cds_WP_000744700.1_2584	32.063	315	329
WP_000646255.1	lcl|NZ_LUVO01000322.1_cds_WP_000723094.1_3743	31.343	335	329
WP_000646255.1	lcl|NZ_LUVO01000314.1_cds_WP_000723077.1_3583	31.788	302	329
WP_000646255.1	lcl|NZ_LUVO01000324.1_cds_WP_001984071.1_3813	31.475	305	329
WP_000646255.1	lcl|NZ_LUVO01000291.1_cds_WP_000649923.1_3211	30.183	328	329
WP_000646255.1	lcl|NZ_LUVO01000210.1_cds_WP_000709511.1_2123	29.538	325	329
WP_000646255.1	lcl|NZ_LUVO01000314.1_cds_WP_000697617.1_3548	24.221	289	329
WP_000646255.1	lcl|NZ_LUVO01000324.1_cds_WP_000688695.1_3793	28.975	283	329
WP_000646255.1	lcl|NZ_LUVO01000314.1_cds_WP_000412665.1_3596	26.766	269	329
WP_000646255.1	lcl|NZ_LUVO01000314.1_cds_WP_000377753.1_3550	24.725	364	329
WP_000646255.1	lcl|NZ_LUVO01000080.1_cds_WP_001074783.1_1290	28.302	265	329
WP_000646255.1	lcl|NZ_LUVO01000032.1_cds_WP_001003558.1_508	25.150	334	329
WP_000774259.1	lcl|NZ_LUVO01000314.1_cds_WP_000432841.1_3578	30.043	233	267
WP_000774259.1	lcl|NZ_LUVO01000322.1_cds_WP_000842260.1_3742	26.316	190	267
WP_000774259.1	lcl|NZ_LUVO01000314.1_cds_WP_000869621.1_3551	21.951	246	267
WP_000774259.1	lcl|NZ_LUVO01000124.1_cds_WP_000667727.1_1699	31.818	110	267
WP_000774259.1	lcl|NZ_LUVO01000016.1_cds_WP_000805359.1_239	26.667	210	267
