WP_000340715.1	lcl|NZ_RQGT01000122.1_cds_WP_100785494.1_1826	94.186	86	106
WP_000410273.1	lcl|NZ_RQGT01000122.1_cds_WP_135686416.1_1818	61.935	310	314
WP_000410273.1	lcl|NZ_RQGT01000030.1_cds_WP_135684154.1_293	23.077	325	314
WP_000410273.1	lcl|NZ_RQGT01000122.1_cds_WP_135686393.1_1825	24.275	276	314
WP_000410273.1	lcl|NZ_RQGT01000122.1_cds_WP_118981941.1_1775	25.301	249	314
WP_000410273.1	lcl|NZ_RQGT01000082.1_cds_WP_118970620.1_2992	22.162	185	314
WP_000410273.1	lcl|NZ_RQGT01000023.1_cds_WP_135684080.1_2362	23.881	268	314
WP_000884059.1	lcl|NZ_RQGT01000122.1_cds_WP_118968509.1_1804	40.113	177	185
WP_000884059.1	lcl|NZ_RQGT01000096.1_cds_WP_118982146.1_87	39.286	140	185
WP_000646255.1	lcl|NZ_RQGT01000122.1_cds_WP_118981941.1_1775	30.723	332	329
WP_000646255.1	lcl|NZ_RQGT01000122.1_cds_WP_135686393.1_1825	32.500	320	329
WP_000646255.1	lcl|NZ_RQGT01000030.1_cds_WP_135684154.1_293	30.794	315	329
WP_000646255.1	lcl|NZ_RQGT01000023.1_cds_WP_135684080.1_2362	31.715	309	329
WP_000646255.1	lcl|NZ_RQGT01000082.1_cds_WP_118970620.1_2992	27.679	336	329
WP_000646255.1	lcl|NZ_RQGT01000034.1_cds_WP_118981399.1_2020	29.814	322	329
WP_000646255.1	lcl|NZ_RQGT01000070.1_cds_WP_135685047.1_3184	28.829	333	329
WP_000646255.1	lcl|NZ_RQGT01000122.1_cds_WP_135686416.1_1818	25.080	311	329
WP_000646255.1	lcl|NZ_RQGT01000030.1_cds_WP_241686725.1_501	27.419	248	329
WP_000646255.1	lcl|NZ_RQGT01000111.1_cds_WP_135686226.1_940	25.540	278	329
WP_000646255.1	lcl|NZ_RQGT01000134.1_cds_WP_118982869.1_1449	25.000	264	329
WP_000646255.1	lcl|NZ_RQGT01000030.1_cds_WP_135684204.1_388	25.091	275	329
WP_000646255.1	lcl|NZ_RQGT01000122.1_cds_WP_118981923.1_1792	24.818	274	329
WP_000646255.1	lcl|NZ_RQGT01000074.1_cds_WP_118983674.1_647	25.194	258	329
WP_000646255.1	lcl|NZ_RQGT01000070.1_cds_WP_135684998.1_3136	31.008	129	329
WP_000774259.1	lcl|NZ_RQGT01000122.1_cds_WP_135686389.1_1820	26.531	245	267
WP_000774259.1	lcl|NZ_RQGT01000027.1_cds_WP_135684126.1_3349	34.746	118	267
WP_000774259.1	lcl|NZ_RQGT01000122.1_cds_WP_135686364.1_1774	24.868	189	267
WP_000774259.1	lcl|NZ_RQGT01000111.1_cds_WP_118980756.1_856	26.540	211	267
WP_000774259.1	lcl|NZ_RQGT01000082.1_cds_WP_210413367.1_2991	25.789	190	267
WP_000612799.1	lcl|NZ_RQGT01000133.1_cds_WP_118982276.1_2092	27.726	321	509
WP_000612799.1	lcl|NZ_RQGT01000133.1_cds_WP_118982277.1_2091	31.183	93	509
WP_000612799.1	lcl|NZ_RQGT01000133.1_cds_WP_118982276.1_2092	27.726	321	509
WP_000612799.1	lcl|NZ_RQGT01000133.1_cds_WP_118982277.1_2091	31.183	93	509
WP_001067557.1	lcl|NZ_RQGT01000023.1_cds_WP_135684080.1_2362	26.103	272	330
WP_001067557.1	lcl|NZ_RQGT01000122.1_cds_WP_135686393.1_1825	27.305	282	330
WP_001067557.1	lcl|NZ_RQGT01000030.1_cds_WP_135684154.1_293	25.633	316	330
WP_001067557.1	lcl|NZ_RQGT01000122.1_cds_WP_118981941.1_1775	26.769	325	330
