WP_000340715.1	lcl|NZ_JQQP01000063.1_cds_WP_000340715.1_1977	100.000	86	106
WP_000410273.1	lcl|NZ_JQQP01000063.1_cds_WP_000410273.1_1976	100.000	314	314
WP_000410273.1	lcl|NZ_JQQP01000063.1_cds_WP_000646249.1_1973	25.705	319	314
WP_000410273.1	lcl|NZ_JQQP01000083.1_cds_WP_000744700.1_2334	24.691	324	314
WP_000410273.1	lcl|NZ_JQQP01000063.1_cds_WP_000600886.1_1943	25.269	186	314
WP_000410273.1	lcl|NZ_JQQP01000012.1_cds_WP_000723090.1_324	23.958	288	314
WP_000410273.1	lcl|NZ_JQQP01000063.1_cds_WP_000025487.1_1949	21.362	323	314
WP_000410273.1	lcl|NZ_JQQP01000063.1_cds_WP_001067557.1_1970	24.695	328	314
WP_000604524.1	lcl|NZ_JQQP01000063.1_cds_WP_000604524.1_1975	99.726	365	365
WP_000884059.1	lcl|NZ_JQQP01000063.1_cds_WP_000884059.1_1974	100.000	185	185
WP_000884059.1	lcl|NZ_JQQP01000038.1_cds_WP_000351733.1_1170	40.000	140	185
WP_000646255.1	lcl|NZ_JQQP01000063.1_cds_WP_000646249.1_1973	98.480	329	329
WP_000646255.1	lcl|NZ_JQQP01000083.1_cds_WP_000744700.1_2334	32.063	315	329
WP_000646255.1	lcl|NZ_JQQP01000012.1_cds_WP_000723090.1_324	31.045	335	329
WP_000646255.1	lcl|NZ_JQQP01000063.1_cds_WP_000600886.1_1943	33.333	255	329
WP_000646255.1	lcl|NZ_JQQP01000076.1_cds_WP_001984071.1_2099	31.475	305	329
WP_000646255.1	lcl|NZ_JQQP01000026.1_cds_WP_000649924.1_794	30.183	328	329
WP_000646255.1	lcl|NZ_JQQP01000140.1_cds_WP_000709511.1_3249	29.538	325	329
WP_000646255.1	lcl|NZ_JQQP01000063.1_cds_WP_000601375.1_1917	25.091	275	329
WP_000646255.1	lcl|NZ_JQQP01000063.1_cds_WP_001067557.1_1970	30.350	257	329
WP_000646255.1	lcl|NZ_JQQP01000076.1_cds_WP_000688696.1_2119	28.975	283	329
WP_000646255.1	lcl|NZ_JQQP01000063.1_cds_WP_000025487.1_1949	24.451	319	329
WP_000646255.1	lcl|NZ_JQQP01000063.1_cds_WP_002079020.1_1947	28.889	270	329
WP_000646255.1	lcl|NZ_JQQP01000063.1_cds_WP_000475901.1_1908	27.737	274	329
WP_000646255.1	lcl|NZ_JQQP01000063.1_cds_WP_000410273.1_1976	26.019	319	329
WP_000646255.1	lcl|NZ_JQQP01000053.1_cds_WP_001074785.1_1653	29.057	265	329
WP_000646255.1	lcl|NZ_JQQP01000182.1_cds_WP_001003557.1_3625	25.000	332	329
WP_000646255.1	lcl|NZ_JQQP01000063.1_cds_WP_000487322.1_1919	27.077	325	329
WP_000774259.1	lcl|NZ_JQQP01000063.1_cds_WP_000774260.1_1972	98.502	267	267
