WP_000340715.1	lcl|NZ_JQPI01000023.1_cds_WP_000340715.1_754	100.000	86	106
WP_000410273.1	lcl|NZ_JQPI01000023.1_cds_WP_000410267.1_753	99.682	314	314
WP_000410273.1	lcl|NZ_JQPI01000023.1_cds_WP_042752260.1_750	25.705	319	314
WP_000410273.1	lcl|NZ_JQPI01000034.1_cds_WP_000744698.1_1053	24.691	324	314
WP_000410273.1	lcl|NZ_JQPI01000023.1_cds_WP_000600889.1_722	25.269	186	314
WP_000410273.1	lcl|NZ_JQPI01000023.1_cds_WP_061269945.1_669	23.958	288	314
WP_000410273.1	lcl|NZ_JQPI01000023.1_cds_WP_000025488.1_728	21.053	323	314
WP_000410273.1	lcl|NZ_JQPI01000023.1_cds_WP_001067556.1_747	24.695	328	314
WP_000604524.1	lcl|NZ_JQPI01000023.1_cds_WP_061269957.1_752	98.904	365	365
WP_000884059.1	lcl|NZ_JQPI01000023.1_cds_WP_000884059.1_751	100.000	185	185
WP_000884059.1	lcl|NZ_JQPI01000105.1_cds_WP_000351733.1_2554	40.000	140	185
WP_000646255.1	lcl|NZ_JQPI01000023.1_cds_WP_042752260.1_750	99.392	329	329
WP_000646255.1	lcl|NZ_JQPI01000034.1_cds_WP_000744698.1_1053	32.063	315	329
WP_000646255.1	lcl|NZ_JQPI01000023.1_cds_WP_061269945.1_669	31.045	335	329
WP_000646255.1	lcl|NZ_JQPI01000023.1_cds_WP_000600889.1_722	34.109	258	329
WP_000646255.1	lcl|NZ_JQPI01000081.1_cds_WP_002064390.1_2194	31.148	305	329
WP_000646255.1	lcl|NZ_JQPI01000001.1_cds_WP_000649925.1_50	30.183	328	329
WP_000646255.1	lcl|NZ_JQPI01000153.1_cds_WP_000709511.1_3094	29.538	325	329
WP_000646255.1	lcl|NZ_JQPI01000023.1_cds_WP_061234286.1_695	25.455	275	329
WP_000646255.1	lcl|NZ_JQPI01000023.1_cds_WP_001067556.1_747	30.350	257	329
WP_000646255.1	lcl|NZ_JQPI01000081.1_cds_WP_000688698.1_2214	28.975	283	329
WP_000646255.1	lcl|NZ_JQPI01000023.1_cds_WP_000025488.1_728	24.765	319	329
WP_000646255.1	lcl|NZ_JQPI01000023.1_cds_WP_000475904.1_686	27.737	274	329
WP_000646255.1	lcl|NZ_JQPI01000023.1_cds_WP_002079020.1_726	28.889	270	329
WP_000646255.1	lcl|NZ_JQPI01000023.1_cds_WP_000410267.1_753	25.705	319	329
