WP_000340715.1	lcl|NZ_MTCN01000028.1_cds_WP_004462903.1_2053	95.349	86	106
WP_000410273.1	lcl|NZ_MTCN01000028.1_cds_WP_004472299.1_2054	92.581	310	314
WP_000410273.1	lcl|NZ_MTCN01000007.1_cds_WP_008393339.1_339	24.611	321	314
WP_000410273.1	lcl|NZ_MTCN01000028.1_cds_WP_075979400.1_2057	27.138	269	314
WP_000410273.1	lcl|NZ_MTCN01000007.1_cds_WP_004472946.1_228	25.000	332	314
WP_000410273.1	lcl|NZ_MTCN01000029.1_cds_WP_008394652.1_2366	23.843	281	314
WP_000410273.1	lcl|NZ_MTCN01000042.1_cds_WP_075979556.1_849	22.353	170	314
WP_000410273.1	lcl|NZ_MTCN01000004.1_cds_WP_075978853.1_1612	25.359	209	314
WP_000604524.1	lcl|NZ_MTCN01000028.1_cds_WP_004472260.1_2055	83.836	365	365
WP_000884059.1	lcl|NZ_MTCN01000028.1_cds_WP_004485986.1_2056	94.054	185	185
WP_000884059.1	lcl|NZ_MTCN01000023.1_cds_WP_004460143.1_1505	35.616	146	185
WP_000646255.1	lcl|NZ_MTCN01000028.1_cds_WP_075979400.1_2057	92.683	328	329
WP_000646255.1	lcl|NZ_MTCN01000007.1_cds_WP_008393339.1_339	29.841	315	329
WP_000646255.1	lcl|NZ_MTCN01000029.1_cds_WP_008394652.1_2366	31.045	335	329
WP_000646255.1	lcl|NZ_MTCN01000004.1_cds_WP_075978853.1_1612	32.154	311	329
WP_000646255.1	lcl|NZ_MTCN01000042.1_cds_WP_075979556.1_849	27.381	336	329
WP_000646255.1	lcl|NZ_MTCN01000007.1_cds_WP_004472946.1_228	28.882	322	329
WP_000646255.1	lcl|NZ_MTCN01000004.1_cds_WP_004467290.1_1609	28.261	322	329
WP_000646255.1	lcl|NZ_MTCN01000028.1_cds_WP_046951346.1_2060	31.128	257	329
WP_000646255.1	lcl|NZ_MTCN01000052.1_cds_WP_032917901.1_441	24.638	345	329
WP_000646255.1	lcl|NZ_MTCN01000028.1_cds_WP_004472299.1_2054	27.037	270	329
WP_000646255.1	lcl|NZ_MTCN01000022.1_cds_WP_004464543.1_3496	27.099	262	329
WP_000646255.1	lcl|NZ_MTCN01000029.1_cds_WP_075979416.1_2384	26.050	238	329
