WP_000340715.1	lcl|NZ_AHQW01000082.1_cds_WP_000340715.1_2809	100.000	86	106
WP_000410266.1	lcl|NZ_AHQW01000082.1_cds_WP_000410268.1_2808	99.677	310	314
WP_000410266.1	lcl|NZ_AHQW01000082.1_cds_WP_000723079.1_2758	24.731	279	314
WP_000410266.1	lcl|NZ_AHQW01000146.1_cds_WP_000744700.1_2041	24.383	324	314
WP_000410266.1	lcl|NZ_AHQW01000082.1_cds_WP_000723083.1_2735	23.611	288	314
WP_000410266.1	lcl|NZ_AHQW01000082.1_cds_WP_000567886.1_2756	23.348	227	314
WP_000884059.1	lcl|NZ_AHQW01000199.1_cds_WP_000351733.1_1076	40.000	140	185
WP_000884059.1	lcl|NZ_AHQW01000082.1_cds_WP_001047906.1_2777	33.898	177	185
WP_000646254.1	lcl|NZ_AHQW01000082.1_cds_WP_000723079.1_2758	31.464	321	329
WP_000646254.1	lcl|NZ_AHQW01000146.1_cds_WP_000744700.1_2041	31.746	315	329
WP_000646254.1	lcl|NZ_AHQW01000082.1_cds_WP_000723083.1_2735	31.343	335	329
WP_000646254.1	lcl|NZ_AHQW01000250.1_cds_WP_001984071.1_570	31.475	305	329
WP_000646254.1	lcl|NZ_AHQW01000051.1_cds_WP_000649924.1_3417	30.183	328	329
WP_000646254.1	lcl|NZ_AHQW01000082.1_cds_WP_000567886.1_2756	29.180	305	329
WP_000646254.1	lcl|NZ_AHQW01000338.1_cds_WP_000709513.1_52	29.730	333	329
WP_000646254.1	lcl|NZ_AHQW01000068.1_cds_WP_000688693.1_2945	28.975	283	329
WP_000646254.1	lcl|NZ_AHQW01000082.1_cds_WP_000410268.1_2808	25.680	331	329
WP_000646254.1	lcl|NZ_AHQW01000082.1_cds_WP_000475907.1_2753	26.667	240	329
WP_000646254.1	lcl|NZ_AHQW01000048.1_cds_WP_001074779.1_3508	27.757	263	329
WP_000646254.1	lcl|NZ_AHQW01000145.1_cds_WP_001003557.1_2093	25.000	332	329
WP_000774259.1	lcl|NZ_AHQW01000082.1_cds_WP_000043899.1_2757	27.027	185	267
WP_000774259.1	lcl|NZ_AHQW01000082.1_cds_WP_000842260.1_2734	26.316	190	267
WP_000774259.1	lcl|NZ_AHQW01000324.1_cds_WP_000667727.1_164	31.818	110	267
WP_000774259.1	lcl|NZ_AHQW01000122.1_cds_WP_000805357.1_2299	26.190	210	267
WP_002072162.1	lcl|NZ_AHQW01000141.1_cds_WP_000291579.1_2212	26.911	327	509
WP_002072162.1	lcl|NZ_AHQW01000141.1_cds_WP_000364507.1_2211	31.111	90	509
