WP_000340715.1	lcl|NZ_JAFFPU010000033.1_cds_WP_205279481.1_592	93.023	86	106
WP_000410266.1	lcl|NZ_JAFFPU010000033.1_cds_WP_205279480.1_591	86.774	310	314
WP_000410266.1	lcl|NZ_JAFFPU010000033.1_cds_WP_205279426.1_534	24.731	279	314
WP_000410266.1	lcl|NZ_JAFFPU010000024.1_cds_WP_205278953.1_1403	22.086	326	314
WP_000410266.1	lcl|NZ_JAFFPU010000033.1_cds_WP_205279424.1_532	24.172	302	314
WP_000410266.1	lcl|NZ_JAFFPU010000033.1_cds_WP_205279409.1_514	23.973	292	314
WP_000410266.1	lcl|NZ_JAFFPU010000016.1_cds_WP_205278474.1_2568	22.222	171	314
WP_000410266.1	lcl|NZ_JAFFPU010000026.1_cds_WP_205278984.1_4075	22.360	322	314
WP_000884059.1	lcl|NZ_JAFFPU010000067.1_cds_WP_205280709.1_1706	40.000	140	185
WP_000884059.1	lcl|NZ_JAFFPU010000033.1_cds_WP_205279444.1_553	34.463	177	185
WP_000884059.1	lcl|NZ_JAFFPU010000033.1_cds_WP_205279454.1_563	31.548	168	185
WP_000646254.1	lcl|NZ_JAFFPU010000033.1_cds_WP_205279426.1_534	31.975	319	329
WP_000646254.1	lcl|NZ_JAFFPU010000033.1_cds_WP_205279409.1_514	31.024	332	329
WP_000646254.1	lcl|NZ_JAFFPU010000024.1_cds_WP_205278953.1_1403	30.159	315	329
WP_000646254.1	lcl|NZ_JAFFPU010000026.1_cds_WP_205278984.1_4075	32.051	312	329
WP_000646254.1	lcl|NZ_JAFFPU010000033.1_cds_WP_205279424.1_532	28.713	303	329
WP_000646254.1	lcl|NZ_JAFFPU010000016.1_cds_WP_205278474.1_2568	27.679	336	329
WP_000646254.1	lcl|NZ_JAFFPU010000035.1_cds_WP_205279612.1_1854	29.781	319	329
WP_000646254.1	lcl|NZ_JAFFPU010000070.1_cds_WP_118966605.1_3881	29.129	333	329
WP_000646254.1	lcl|NZ_JAFFPU010000033.1_cds_WP_205279480.1_591	27.044	318	329
WP_000646254.1	lcl|NZ_JAFFPU010000033.1_cds_WP_205279432.1_540	21.756	262	329
WP_000646254.1	lcl|NZ_JAFFPU010000075.1_cds_WP_205281384.1_306	27.935	247	329
WP_000646254.1	lcl|NZ_JAFFPU010000024.1_cds_WP_232380538.1_1202	25.896	251	329
WP_000646254.1	lcl|NZ_JAFFPU010000004.1_cds_WP_205277935.1_2231	25.758	264	329
WP_000646254.1	lcl|NZ_JAFFPU010000033.1_cds_WP_205279422.1_530	24.818	274	329
WP_000646254.1	lcl|NZ_JAFFPU010000048.1_cds_WP_205280321.1_3820	29.457	129	329
WP_000774259.1	lcl|NZ_JAFFPU010000033.1_cds_WP_205279425.1_533	29.101	189	267
WP_000774259.1	lcl|NZ_JAFFPU010000033.1_cds_WP_205279435.1_543	24.490	245	267
WP_000774259.1	lcl|NZ_JAFFPU010000033.1_cds_WP_205279408.1_513	25.926	189	267
WP_000774259.1	lcl|NZ_JAFFPU010000075.1_cds_WP_205281214.1_117	33.636	110	267
WP_000774259.1	lcl|NZ_JAFFPU010000033.1_cds_WP_205279456.1_566	27.197	239	267
WP_000774259.1	lcl|NZ_JAFFPU010000075.1_cds_WP_205281317.1_226	26.667	210	267
