WP_000340715.1	lcl|NZ_JQPR01000001.1_cds_WP_000340713.1_1	95.349	86	106
WP_000410266.1	lcl|NZ_JQPR01000001.1_cds_WP_000412665.1_2	94.872	312	314
WP_000410266.1	lcl|NZ_JQPR01000001.1_cds_WP_000699347.1_6	24.759	311	314
WP_000410266.1	lcl|NZ_JQPR01000039.1_cds_WP_000744700.1_1205	24.383	324	314
WP_000410266.1	lcl|NZ_JQPR01000181.1_cds_WP_000723090.1_3304	23.958	288	314
WP_000410266.1	lcl|NZ_JQPR01000001.1_cds_WP_000723077.1_15	21.014	276	314
WP_000410266.1	lcl|NZ_JQPR01000001.1_cds_WP_001168408.1_40	23.009	339	314
WP_000884059.1	lcl|NZ_JQPR01000067.1_cds_WP_000351733.1_1770	40.000	140	185
WP_000646254.1	lcl|NZ_JQPR01000001.1_cds_WP_001168408.1_40	32.738	336	329
WP_000646254.1	lcl|NZ_JQPR01000001.1_cds_WP_000699347.1_6	31.304	345	329
WP_000646254.1	lcl|NZ_JQPR01000039.1_cds_WP_000744700.1_1205	31.746	315	329
WP_000646254.1	lcl|NZ_JQPR01000181.1_cds_WP_000723090.1_3304	31.045	335	329
WP_000646254.1	lcl|NZ_JQPR01000001.1_cds_WP_000723077.1_15	31.788	302	329
WP_000646254.1	lcl|NZ_JQPR01000029.1_cds_WP_001984071.1_904	31.475	305	329
WP_000646254.1	lcl|NZ_JQPR01000023.1_cds_WP_000649923.1_636	30.183	328	329
WP_000646254.1	lcl|NZ_JQPR01000330.1_cds_WP_000709511.1_4024	29.730	333	329
WP_000646254.1	lcl|NZ_JQPR01000001.1_cds_WP_000697617.1_63	24.221	289	329
WP_000646254.1	lcl|NZ_JQPR01000029.1_cds_WP_000688695.1_884	28.975	283	329
WP_000646254.1	lcl|NZ_JQPR01000001.1_cds_WP_000412665.1_2	26.394	269	329
WP_000646254.1	lcl|NZ_JQPR01000001.1_cds_WP_000377752.1_61	24.309	362	329
WP_000646254.1	lcl|NZ_JQPR01000014.1_cds_WP_001074781.1_406	29.057	265	329
WP_000646254.1	lcl|NZ_JQPR01000079.1_cds_WP_001003557.1_2012	25.000	332	329
WP_000774259.1	lcl|NZ_JQPR01000001.1_cds_WP_000432841.1_21	30.043	233	267
WP_000774259.1	lcl|NZ_JQPR01000181.1_cds_WP_000842260.1_3303	26.316	190	267
WP_000774259.1	lcl|NZ_JQPR01000001.1_cds_WP_000869621.1_60	21.951	246	267
WP_000774259.1	lcl|NZ_JQPR01000200.1_cds_WP_000667727.1_3459	31.818	110	267
WP_000774259.1	lcl|NZ_JQPR01000075.1_cds_JG85_RS09695_1928	26.190	210	267
