WP_000340715.1	lcl|NZ_AHQD01000064.1_cds_WP_000340715.1_2876	100.000	86	106
WP_000410266.1	lcl|NZ_AHQD01000064.1_cds_WP_000410267.1_2875	99.682	314	314
WP_000410266.1	lcl|NZ_AHQD01000064.1_cds_WP_000093099.1_2856	46.988	83	314
WP_000410266.1	lcl|NZ_AHQD01000064.1_cds_WP_000646251.1_2872	25.392	319	314
WP_000410266.1	lcl|NZ_AHQD01000048.1_cds_WP_000744700.1_3287	24.383	324	314
WP_000410266.1	lcl|NZ_AHQD01000064.1_cds_WP_000600889.1_2847	25.269	186	314
WP_000410266.1	lcl|NZ_AHQD01000064.1_cds_WP_000723090.1_2793	23.958	288	314
WP_000410266.1	lcl|NZ_AHQD01000064.1_cds_WP_001067556.1_2869	24.695	328	314
WP_000604525.1	lcl|NZ_AHQD01000064.1_cds_WP_000604522.1_2874	98.630	365	365
WP_000884059.1	lcl|NZ_AHQD01000064.1_cds_WP_000884059.1_2873	100.000	185	185
WP_000884059.1	lcl|NZ_AHQD01000174.1_cds_WP_000351733.1_1266	40.000	140	185
WP_000646254.1	lcl|NZ_AHQD01000064.1_cds_WP_000646251.1_2872	99.392	329	329
WP_000646254.1	lcl|NZ_AHQD01000048.1_cds_WP_000744700.1_3287	31.746	315	329
WP_000646254.1	lcl|NZ_AHQD01000064.1_cds_WP_000723090.1_2793	31.045	335	329
WP_000646254.1	lcl|NZ_AHQD01000064.1_cds_WP_000600889.1_2847	34.109	258	329
WP_000646254.1	lcl|NZ_AHQD01000097.1_cds_WP_001984071.1_2257	31.475	305	329
WP_000646254.1	lcl|NZ_AHQD01000094.1_cds_WP_000649923.1_2408	30.183	328	329
WP_000646254.1	lcl|NZ_AHQD01000287.1_cds_WP_000709513.1_80	29.730	333	329
WP_000646254.1	lcl|NZ_AHQD01000064.1_cds_WP_000601375.1_2820	25.091	275	329
WP_000646254.1	lcl|NZ_AHQD01000064.1_cds_WP_001067556.1_2869	30.350	257	329
WP_000646254.1	lcl|NZ_AHQD01000097.1_cds_WP_000688696.1_2237	28.975	283	329
WP_000646254.1	lcl|NZ_AHQD01000064.1_cds_WP_000475904.1_2810	27.737	274	329
WP_000646254.1	lcl|NZ_AHQD01000064.1_cds_WP_000410267.1_2875	25.392	319	329
WP_000646254.1	lcl|NZ_AHQD01000183.1_cds_WP_001074784.1_1045	29.057	265	329
WP_000646254.1	lcl|NZ_AHQD01000244.1_cds_WP_001003557.1_436	25.000	332	329
WP_000646254.1	lcl|NZ_AHQD01000064.1_cds_WP_000487322.1_2822	27.077	325	329
WP_000774259.1	lcl|NZ_AHQD01000064.1_cds_WP_000774261.1_2871	99.251	267	267
WP_000774259.1	lcl|NZ_AHQD01000064.1_cds_WP_000859505.1_2823	25.820	244	267
WP_000774259.1	lcl|NZ_AHQD01000064.1_cds_WP_000800438.1_2842	24.786	234	267
WP_000774259.1	lcl|NZ_AHQD01000064.1_cds_WP_000842261.1_2792	26.316	190	267
WP_000774259.1	lcl|NZ_AHQD01000178.1_cds_WP_000667727.1_1164	31.818	110	267
WP_000774259.1	lcl|NZ_AHQD01000079.1_cds_WP_000805357.1_2562	26.190	210	267
WP_002072162.1	lcl|NZ_AHQD01000064.1_cds_WP_000612798.1_2870	99.804	509	509
WP_002072162.1	lcl|NZ_AHQD01000134.1_cds_WP_000291586.1_1788	26.911	327	509
WP_002072162.1	lcl|NZ_AHQD01000134.1_cds_WP_000364507.1_1789	31.111	90	509
WP_002072162.1	lcl|NZ_AHQD01000064.1_cds_WP_000612798.1_2870	99.804	509	509
