WP_000340715.1	lcl|NZ_AKWH02000012.1_cds_WP_000340713.1_3311	95.349	86	106
WP_000410266.1	lcl|NZ_AKWH02000012.1_cds_WP_004768487.1_3310	95.161	310	314
WP_000410266.1	lcl|NZ_AKWH02000012.1_cds_WP_004768436.1_3264	22.680	291	314
WP_000410266.1	lcl|NZ_AKWH02000008.1_cds_WP_004753565.1_3621	24.383	324	314
WP_000410266.1	lcl|NZ_AKWH02000012.1_cds_WP_004755262.1_3237	23.843	281	314
WP_000410266.1	lcl|NZ_AKWH02000012.1_cds_WP_004768472.1_3262	21.154	312	314
WP_000410266.1	lcl|NZ_AKWH02000021.1_cds_WP_004751543.1_2723	24.359	234	314
WP_000884059.1	lcl|NZ_AKWH02000043.1_cds_WP_004752075.1_1375	40.714	140	185
WP_000884059.1	lcl|NZ_AKWH02000012.1_cds_WP_002725884.1_3281	34.463	177	185
WP_000646254.1	lcl|NZ_AKWH02000012.1_cds_WP_004768436.1_3264	31.034	319	329
WP_000646254.1	lcl|NZ_AKWH02000008.1_cds_WP_004753565.1_3621	31.111	315	329
WP_000646254.1	lcl|NZ_AKWH02000012.1_cds_WP_004755262.1_3237	31.045	335	329
WP_000646254.1	lcl|NZ_AKWH02000021.1_cds_WP_004751543.1_2723	31.169	308	329
WP_000646254.1	lcl|NZ_AKWH02000072.1_cds_WP_004768899.1_449	30.816	331	329
WP_000646254.1	lcl|NZ_AKWH02000012.1_cds_WP_004768472.1_3262	28.387	310	329
WP_000646254.1	lcl|NZ_AKWH02000021.1_cds_WP_004762820.1_2712	29.305	331	329
WP_000646254.1	lcl|NZ_AKWH02000027.1_cds_WP_004769131.1_2491	29.091	275	329
WP_000646254.1	lcl|NZ_AKWH02000012.1_cds_WP_004768487.1_3310	25.000	328	329
WP_000646254.1	lcl|NZ_AKWH02000012.1_cds_WP_002759862.1_3259	26.642	274	329
WP_000646254.1	lcl|NZ_AKWH02000015.1_cds_WP_004768084.1_3104	26.230	244	329
WP_000646254.1	lcl|NZ_AKWH02000018.1_cds_WP_004769914.1_2915	27.925	265	329
