WP_000340715.1	lcl|NZ_AKWG02000038.1_cds_WP_000340713.1_1878	95.349	86	106
WP_000410266.1	lcl|NZ_AKWG02000038.1_cds_WP_004768487.1_1877	95.161	310	314
WP_000410266.1	lcl|NZ_AKWG02000038.1_cds_WP_004768436.1_1831	22.680	291	314
WP_000410266.1	lcl|NZ_AKWG02000043.1_cds_WP_004753565.1_1583	24.383	324	314
WP_000410266.1	lcl|NZ_AKWG02000038.1_cds_WP_004768474.1_1804	23.843	281	314
WP_000410266.1	lcl|NZ_AKWG02000038.1_cds_WP_004768472.1_1829	21.154	312	314
WP_000410266.1	lcl|NZ_AKWG02000058.1_cds_WP_004751543.1_1104	24.359	234	314
WP_000884059.1	lcl|NZ_AKWG02000001.1_cds_WP_004752075.1_3722	40.714	140	185
WP_000884059.1	lcl|NZ_AKWG02000038.1_cds_WP_002725884.1_1848	34.463	177	185
WP_000646254.1	lcl|NZ_AKWG02000038.1_cds_WP_004768436.1_1831	31.034	319	329
WP_000646254.1	lcl|NZ_AKWG02000043.1_cds_WP_004753565.1_1583	31.111	315	329
WP_000646254.1	lcl|NZ_AKWG02000038.1_cds_WP_004768474.1_1804	30.746	335	329
WP_000646254.1	lcl|NZ_AKWG02000058.1_cds_WP_004751543.1_1104	31.169	308	329
WP_000646254.1	lcl|NZ_AKWG02000066.1_cds_WP_004768899.1_851	30.816	331	329
WP_000646254.1	lcl|NZ_AKWG02000038.1_cds_WP_004768472.1_1829	28.387	310	329
WP_000646254.1	lcl|NZ_AKWG02000058.1_cds_WP_004762820.1_1115	29.305	331	329
WP_000646254.1	lcl|NZ_AKWG02000084.1_cds_WP_004769131.1_206	29.091	275	329
WP_000646254.1	lcl|NZ_AKWG02000038.1_cds_WP_004768487.1_1877	25.000	328	329
WP_000646254.1	lcl|NZ_AKWG02000038.1_cds_WP_002759862.1_1826	26.642	274	329
WP_000646254.1	lcl|NZ_AKWG02000012.1_cds_WP_004768084.1_2720	26.230	244	329
WP_000646254.1	lcl|NZ_AKWG02000001.1_cds_WP_004751780.1_3921	27.925	265	329
WP_000646254.1	lcl|NZ_AKWG02000069.1_cds_WP_004750263.1_748	25.191	262	329
WP_000646254.1	lcl|NZ_AKWG02000030.1_cds_WP_004768293.1_2225	27.984	243	329
WP_000774259.1	lcl|NZ_AKWG02000038.1_cds_WP_002725899.1_1830	29.293	198	267
WP_000774259.1	lcl|NZ_AKWG02000038.1_cds_WP_004754191.1_1803	25.926	189	267
WP_000774259.1	lcl|NZ_AKWG02000084.1_cds_WP_004758023.1_228	27.461	193	267
WP_000774259.1	lcl|NZ_AKWG02000008.1_cds_WP_004758210.1_3228	26.190	210	267
WP_002072162.1	lcl|NZ_AKWG02000001.1_cds_WP_004751764.1_3993	27.217	327	509
WP_002072162.1	lcl|NZ_AKWG02000001.1_cds_WP_004767754.1_3992	31.111	90	509
WP_002072162.1	lcl|NZ_AKWG02000001.1_cds_WP_004751764.1_3993	27.217	327	509
WP_002072162.1	lcl|NZ_AKWG02000001.1_cds_WP_004767754.1_3992	31.111	90	509
WP_001067557.1	lcl|NZ_AKWG02000058.1_cds_WP_004751543.1_1104	26.568	271	330
WP_001067557.1	lcl|NZ_AKWG02000038.1_cds_WP_004768436.1_1831	23.273	275	330
