WP_000340715.1	lcl|NZ_JADDXD010000022.1_cds_WP_002725873.1_1235	91.860	86	106
WP_000410266.1	lcl|NZ_JADDXD010000022.1_cds_WP_011669917.1_1236	92.903	310	314
WP_000410266.1	lcl|NZ_JADDXD010000716.1_cds_WP_193819757.1_3442	100.000	157	314
WP_000410266.1	lcl|NZ_JADDXD010000058.1_cds_WP_011669955.1_2843	23.381	278	314
WP_000410266.1	lcl|NZ_JADDXD010000024.1_cds_WP_011671202.1_1333	22.154	325	314
WP_000410266.1	lcl|NZ_JADDXD010000058.1_cds_WP_011669957.1_2841	25.137	183	314
WP_000410266.1	lcl|NZ_JADDXD010000059.1_cds_WP_011669973.1_2866	24.199	281	314
WP_000410266.1	lcl|NZ_JADDXD010000036.1_cds_WP_011670961.1_1947	25.152	330	314
WP_000410266.1	lcl|NZ_JADDXD010000091.1_cds_WP_011670813.1_3850	22.222	171	314
WP_000884059.1	lcl|NZ_JADDXD010000001.1_cds_WP_002750963.1_1017	36.301	146	185
WP_000884059.1	lcl|NZ_JADDXD010000022.1_cds_WP_011669938.1_1267	33.898	177	185
WP_000646254.1	lcl|NZ_JADDXD010000058.1_cds_WP_011669955.1_2843	31.153	321	329
WP_000646254.1	lcl|NZ_JADDXD010000059.1_cds_WP_011669973.1_2866	31.642	335	329
WP_000646254.1	lcl|NZ_JADDXD010000024.1_cds_WP_011671202.1_1333	30.476	315	329
WP_000646254.1	lcl|NZ_JADDXD010000036.1_cds_WP_011670961.1_1947	31.190	311	329
WP_000646254.1	lcl|NZ_JADDXD010000058.1_cds_WP_011669957.1_2841	28.852	305	329
WP_000646254.1	lcl|NZ_JADDXD010000091.1_cds_WP_011670813.1_3850	27.566	341	329
WP_000646254.1	lcl|NZ_JADDXD010000021.1_cds_WP_011671143.1_1181	30.032	313	329
WP_000646254.1	lcl|NZ_JADDXD010000036.1_cds_WP_002754065.1_1944	27.879	330	329
WP_000646254.1	lcl|NZ_JADDXD010000003.1_cds_WP_011671074.1_2138	24.260	338	329
WP_000646254.1	lcl|NZ_JADDXD010000022.1_cds_WP_011669917.1_1236	27.711	249	329
WP_000646254.1	lcl|NZ_JADDXD010000013.1_cds_WP_017859386.1_509	26.217	267	329
WP_000646254.1	lcl|NZ_JADDXD010000058.1_cds_WP_011669959.1_2839	25.993	277	329
WP_000646254.1	lcl|NZ_JADDXD010000055.1_cds_WP_011669202.1_2753	24.471	331	329
WP_000646254.1	lcl|NZ_JADDXD010000716.1_cds_WP_193819757.1_3442	32.558	129	329
WP_000774259.1	lcl|NZ_JADDXD010000058.1_cds_WP_011669956.1_2842	28.426	197	267
WP_000774259.1	lcl|NZ_JADDXD010000059.1_cds_WP_011669974.1_2865	26.455	189	267
WP_000774259.1	lcl|NZ_JADDXD010000034.1_cds_WP_011670832.1_1863	33.636	110	267
WP_000774259.1	lcl|NZ_JADDXD010000091.1_cds_WP_011670812.1_3849	27.749	191	267
WP_000774259.1	lcl|NZ_JADDXD010000847.1_cds_IQB76_RS20605_3844	24.113	141	267
WP_000774259.1	lcl|NZ_JADDXD010000085.1_cds_WP_002766579.1_3686	25.000	208	267
WP_002072162.1	lcl|NZ_JADDXD010000018.1_cds_WP_011670269.1_845	27.103	321	509
WP_002072162.1	lcl|NZ_JADDXD010000018.1_cds_WP_002751286.1_846	31.111	90	509
WP_002072162.1	lcl|NZ_JADDXD010000018.1_cds_WP_011670269.1_845	27.103	321	509
WP_002072162.1	lcl|NZ_JADDXD010000018.1_cds_WP_002751286.1_846	31.111	90	509
WP_001067557.1	lcl|NZ_JADDXD010000486.1_cds_IQB76_RS18840_2641	91.026	78	330
WP_001067557.1	lcl|NZ_JADDXD010000036.1_cds_WP_011670961.1_1947	27.106	273	330
WP_001067557.1	lcl|NZ_JADDXD010000058.1_cds_WP_011669955.1_2843	23.636	275	330
WP_001067557.1	lcl|NZ_JADDXD010000024.1_cds_WP_011671202.1_1333	27.798	277	330
WP_001067557.1	lcl|NZ_JADDXD010000059.1_cds_WP_011669973.1_2866	26.183	317	330
WP_001067557.1	lcl|NZ_JADDXD010000003.1_cds_WP_011671074.1_2138	26.457	223	330
WP_001067557.1	lcl|NZ_JADDXD010000021.1_cds_WP_011671143.1_1181	27.044	318	330
WP_001067557.1	lcl|NZ_JADDXD010000055.1_cds_WP_011669202.1_2753	24.898	245	330
WP_001067557.1	lcl|NZ_JADDXD010000091.1_cds_WP_011670813.1_3850	25.352	142	330
WP_001067557.1	lcl|NZ_JADDXD010000022.1_cds_WP_011669917.1_1236	23.708	329	330
WP_001067557.1	lcl|NZ_JADDXD010000695.1_cds_WP_193819746.1_3400	26.923	156	330
WP_001067557.1	lcl|NZ_JADDXD010000013.1_cds_WP_017859386.1_509	26.667	240	330
WP_001067557.1	lcl|NZ_JADDXD010000017.1_cds_WP_011671364.1_794	25.781	128	330
