WP_004462903.1	lcl|NZ_AFKG01000223.1_cds_WP_000340715.1_297	95.402	87	106
WP_004462901.1	lcl|NZ_AFKG01000223.1_cds_WP_000410273.1_296	92.581	310	318
WP_004462901.1	lcl|NZ_AFKG01000223.1_cds_WP_000646250.1_293	26.667	270	318
WP_004462901.1	lcl|NZ_AFKG01000109.1_cds_WP_000744700.1_1695	24.771	327	318
WP_004462901.1	lcl|NZ_AFKG01000223.1_cds_WP_000093099.1_276	53.968	63	318
WP_004462901.1	lcl|NZ_AFKG01000223.1_cds_WP_000600889.1_267	23.118	186	318
WP_004462901.1	lcl|NZ_AFKG01000223.1_cds_WP_000723090.1_214	23.368	291	318
WP_004462901.1	lcl|NZ_AFKG01000032.1_cds_WP_001984071.1_2997	21.678	286	318
WP_004462901.1	lcl|NZ_AFKG01000223.1_cds_WP_001067557.1_290	24.012	329	318
WP_016551805.1	lcl|NZ_AFKG01000118.1_cds_WP_000667646.1_1465	33.249	394	592
WP_016551805.1	lcl|NZ_AFKG01000171.1_cds_WP_000172202.1_563	35.772	369	592
WP_016551805.1	lcl|NZ_AFKG01000002.1_cds_WP_000828455.1_3696	30.612	392	592
WP_016551805.1	lcl|NZ_AFKG01000223.1_cds_WP_000834715.1_273	31.688	385	592
WP_016551805.1	lcl|NZ_AFKG01000043.1_cds_WP_000510777.1_2611	29.358	218	592
WP_016551805.1	lcl|NZ_AFKG01000125.1_cds_WP_001161019.1_1309	31.100	209	592
WP_016551805.1	lcl|NZ_AFKG01000227.1_cds_WP_001052498.1_160	25.514	243	592
WP_016551805.1	lcl|NZ_AFKG01000107.1_cds_WP_000942282.1_1738	30.043	233	592
WP_016551805.1	lcl|NZ_AFKG01000133.1_cds_WP_000619175.1_1125	27.490	251	592
WP_016551805.1	lcl|NZ_AFKG01000049.1_cds_WP_001982953.1_2435	26.050	238	592
WP_016551805.1	lcl|NZ_AFKG01000104.1_cds_WP_001141158.1_1792	30.769	221	592
WP_016551805.1	lcl|NZ_AFKG01000157.1_cds_WP_000666552.1_748	26.923	234	592
WP_016551805.1	lcl|NZ_AFKG01000133.1_cds_WP_000218838.1_1124	28.750	240	592
WP_016551805.1	lcl|NZ_AFKG01000018.1_cds_WP_000184524.1_3542	28.311	219	592
WP_016551805.1	lcl|NZ_AFKG01000034.1_cds_WP_000433117.1_2877	27.778	216	592
WP_016551805.1	lcl|NZ_AFKG01000017.1_cds_WP_000047473.1_3597	25.481	208	592
WP_016551805.1	lcl|NZ_AFKG01000034.1_cds_WP_001089500.1_2910	26.809	235	592
WP_016551805.1	lcl|NZ_AFKG01000137.1_cds_WP_000052667.1_998	26.638	229	592
WP_016551805.1	lcl|NZ_AFKG01000178.1_cds_WP_000675807.1_476	26.721	247	592
WP_016551805.1	lcl|NZ_AFKG01000026.1_cds_WP_000603361.1_3136	23.009	226	592
WP_016551805.1	lcl|NZ_AFKG01000038.1_cds_WP_000590867.1_2699	22.314	242	592
WP_016551805.1	lcl|NZ_AFKG01000038.1_cds_WP_000590867.1_2699	26.415	159	592
WP_016551805.1	lcl|NZ_AFKG01000146.1_cds_WP_001288326.1_901	28.151	238	592
WP_016551805.1	lcl|NZ_AFKG01000026.1_cds_WP_000054169.1_3120	26.866	201	592
WP_016551805.1	lcl|NZ_AFKG01000064.1_cds_WP_001049205.1_2225	27.049	244	592
WP_016551805.1	lcl|NZ_AFKG01000064.1_cds_WP_001049205.1_2225	25.110	227	592
WP_016551805.1	lcl|NZ_AFKG01000053.1_cds_WP_000626143.1_2383	27.885	208	592
WP_016551805.1	lcl|NZ_AFKG01000053.1_cds_WP_000626143.1_2383	23.596	178	592
WP_016551805.1	lcl|NZ_AFKG01000048.1_cds_WP_000481720.1_2453	24.786	234	592
WP_016551805.1	lcl|NZ_AFKG01000033.1_cds_WP_000136057.1_2940	26.316	228	592
WP_016551805.1	lcl|NZ_AFKG01000118.1_cds_WP_000667646.1_1465	33.249	394	592
