WP_004462903.1	lcl|NZ_AHQU01000009.1_cds_WP_000340715.1_3517	95.402	87	106
WP_004462901.1	lcl|NZ_AHQU01000009.1_cds_WP_000410273.1_3518	92.581	310	318
WP_004462901.1	lcl|NZ_AHQU01000009.1_cds_WP_000646250.1_3521	26.667	270	318
WP_004462901.1	lcl|NZ_AHQU01000042.1_cds_WP_000744700.1_2781	24.771	327	318
WP_004462901.1	lcl|NZ_AHQU01000009.1_cds_WP_000093099.1_3538	53.968	63	318
WP_004462901.1	lcl|NZ_AHQU01000009.1_cds_WP_000600889.1_3547	23.118	186	318
WP_004462901.1	lcl|NZ_AHQU01000009.1_cds_WP_000723090.1_3600	23.368	291	318
WP_004462901.1	lcl|NZ_AHQU01000043.1_cds_WP_001984071.1_2746	21.678	286	318
WP_004462901.1	lcl|NZ_AHQU01000009.1_cds_WP_001067557.1_3524	24.012	329	318
WP_016551805.1	lcl|NZ_AHQU01000077.1_cds_WP_000667646.1_1913	33.249	394	592
WP_016551805.1	lcl|NZ_AHQU01000204.1_cds_WP_000172202.1_330	35.772	369	592
WP_016551805.1	lcl|NZ_AHQU01000008.1_cds_WP_000828455.1_3626	30.612	392	592
WP_016551805.1	lcl|NZ_AHQU01000009.1_cds_WP_000834715.1_3541	31.688	385	592
WP_016551805.1	lcl|NZ_AHQU01000067.1_cds_WP_000510777.1_2021	29.358	218	592
WP_016551805.1	lcl|NZ_AHQU01000114.1_cds_WP_001161019.1_1482	31.100	209	592
WP_016551805.1	lcl|NZ_AHQU01000111.1_cds_WP_001052498.1_1610	25.514	243	592
WP_016551805.1	lcl|NZ_AHQU01000204.1_cds_WP_000942282.1_316	30.043	233	592
WP_016551805.1	lcl|NZ_AHQU01000122.1_cds_WP_000619175.1_1245	27.490	251	592
WP_016551805.1	lcl|NZ_AHQU01000037.1_cds_WP_001982953.1_3057	26.050	238	592
WP_016551805.1	lcl|NZ_AHQU01000168.1_cds_WP_001141158.1_490	30.769	221	592
WP_016551805.1	lcl|NZ_AHQU01000040.1_cds_WP_000666552.1_2868	26.923	234	592
WP_016551805.1	lcl|NZ_AHQU01000122.1_cds_WP_000218838.1_1244	28.750	240	592
WP_016551805.1	lcl|NZ_AHQU01000036.1_cds_WP_000184524.1_3116	28.311	219	592
WP_016551805.1	lcl|NZ_AHQU01000040.1_cds_WP_000433117.1_2920	27.778	216	592
WP_016551805.1	lcl|NZ_AHQU01000124.1_cds_WP_000047473.1_1223	25.481	208	592
WP_016551805.1	lcl|NZ_AHQU01000040.1_cds_WP_001089500.1_2888	26.809	235	592
WP_016551805.1	lcl|NZ_AHQU01000041.1_cds_WP_000052667.1_2828	26.638	229	592
WP_016551805.1	lcl|NZ_AHQU01000061.1_cds_WP_000675807.1_2126	26.721	247	592
WP_016551805.1	lcl|NZ_AHQU01000029.1_cds_WP_000603361.1_3385	23.009	226	592
WP_016551805.1	lcl|NZ_AHQU01000180.1_cds_WP_000590867.1_379	22.314	242	592
