WP_004462903.1	lcl|NZ_AFKR01000141.1_cds_WP_000340715.1_1407	95.402	87	106
WP_004462901.1	lcl|NZ_AFKR01000141.1_cds_WP_000410273.1_1406	92.581	310	318
WP_004462901.1	lcl|NZ_AFKR01000141.1_cds_WP_000646250.1_1403	26.667	270	318
WP_004462901.1	lcl|NZ_AFKR01000132.1_cds_WP_000744700.1_1511	24.771	327	318
WP_004462901.1	lcl|NZ_AFKR01000141.1_cds_WP_000093099.1_1386	53.968	63	318
WP_004462901.1	lcl|NZ_AFKR01000141.1_cds_WP_000600889.1_1377	23.118	186	318
WP_004462901.1	lcl|NZ_AFKR01000165.1_cds_WP_000293515.1_1198	23.592	284	318
WP_004462901.1	lcl|NZ_AFKR01000138.1_cds_WP_001984071.1_1424	21.678	286	318
WP_004462901.1	lcl|NZ_AFKR01000141.1_cds_WP_001067557.1_1400	24.012	329	318
WP_016551805.1	lcl|NZ_AFKR01000237.1_cds_WP_000667646.1_556	33.249	394	592
WP_016551805.1	lcl|NZ_AFKR01000267.1_cds_WP_000172202.1_365	35.772	369	592
WP_016551805.1	lcl|NZ_AFKR01000013.1_cds_WP_000828455.1_3631	30.612	392	592
WP_016551805.1	lcl|NZ_AFKR01000141.1_cds_WP_000834715.1_1383	31.688	385	592
WP_016551805.1	lcl|NZ_AFKR01000111.1_cds_WP_000510777.1_1668	29.358	218	592
WP_016551805.1	lcl|NZ_AFKR01000186.1_cds_WP_001161019.1_1092	31.100	209	592
WP_016551805.1	lcl|NZ_AFKR01000265.1_cds_WP_001052498.1_384	25.514	243	592
WP_016551805.1	lcl|NZ_AFKR01000041.1_cds_WP_000942282.1_3278	30.043	233	592
WP_016551805.1	lcl|NZ_AFKR01000080.1_cds_WP_000619175.1_2203	27.490	251	592
WP_016551805.1	lcl|NZ_AFKR01000062.1_cds_WP_001982953.1_2621	26.050	238	592
WP_016551805.1	lcl|NZ_AFKR01000242.1_cds_WP_001141158.1_511	30.769	221	592
WP_016551805.1	lcl|NZ_AFKR01000080.1_cds_WP_000218838.1_2204	28.750	240	592
WP_016551805.1	lcl|NZ_AFKR01000036.1_cds_WP_000184524.1_3374	28.311	219	592
WP_016551805.1	lcl|NZ_AFKR01000043.1_cds_WP_000433117.1_3216	27.778	216	592
WP_016551805.1	lcl|NZ_AFKR01000098.1_cds_WP_000047473.1_1880	25.481	208	592
WP_016551805.1	lcl|NZ_AFKR01000127.1_cds_WP_001089500.1_1587	26.809	235	592
WP_016551805.1	lcl|NZ_AFKR01000189.1_cds_WP_000052667.1_1038	26.638	229	592
WP_016551805.1	lcl|NZ_AFKR01000269.1_cds_WP_000675807.1_361	26.721	247	592
WP_016551805.1	lcl|NZ_AFKR01000038.1_cds_WP_000603361.1_3336	23.009	226	592
WP_016551805.1	lcl|NZ_AFKR01000112.1_cds_WP_000590867.1_1662	22.314	242	592
WP_016551805.1	lcl|NZ_AFKR01000112.1_cds_WP_000590867.1_1662	26.415	159	592
WP_016551805.1	lcl|NZ_AFKR01000099.1_cds_WP_001288326.1_1852	28.151	238	592
WP_016551805.1	lcl|NZ_AFKR01000038.1_cds_WP_000054169.1_3320	26.866	201	592
WP_016551805.1	lcl|NZ_AFKR01000053.1_cds_WP_001049206.1_2936	27.049	244	592
WP_016551805.1	lcl|NZ_AFKR01000053.1_cds_WP_001049206.1_2936	25.110	227	592
WP_016551805.1	lcl|NZ_AFKR01000278.1_cds_WP_000574704.1_323	32.258	93	592
WP_016551805.1	lcl|NZ_AFKR01000276.1_cds_WP_000626143.1_327	27.885	208	592
WP_016551805.1	lcl|NZ_AFKR01000276.1_cds_WP_000626143.1_327	23.596	178	592
WP_016551805.1	lcl|NZ_AFKR01000359.1_cds_WP_000481720.1_24	24.786	234	592
WP_016551805.1	lcl|NZ_AFKR01000182.1_cds_WP_000136057.1_1131	26.316	228	592
WP_016551805.1	lcl|NZ_AFKR01000211.1_cds_WP_000666549.1_808	30.667	75	592
WP_016551805.1	lcl|NZ_AFKR01000237.1_cds_WP_000667646.1_556	33.249	394	592
WP_016551805.1	lcl|NZ_AFKR01000267.1_cds_WP_000172202.1_365	35.772	369	592
WP_016551805.1	lcl|NZ_AFKR01000013.1_cds_WP_000828455.1_3631	30.612	392	592
WP_016551805.1	lcl|NZ_AFKR01000141.1_cds_WP_000834715.1_1383	31.688	385	592
