WP_004462903.1	lcl|NZ_JADDVU010000005.1_cds_WP_002725873.1_2782	95.402	87	106
WP_004462901.1	lcl|NZ_JADDVU010000005.1_cds_WP_002733579.1_2781	91.935	310	318
WP_004462901.1	lcl|NZ_JADDVU010000005.1_cds_WP_002733534.1_2778	25.926	270	318
WP_004462901.1	lcl|NZ_JADDVU010000017.1_cds_WP_002722638.1_588	23.242	327	318
WP_004462901.1	lcl|NZ_JADDVU010000005.1_cds_WP_002740024.1_2687	22.867	293	318
WP_004462901.1	lcl|NZ_JADDVU010000006.1_cds_WP_002728309.1_3036	23.397	312	318
WP_004462901.1	lcl|NZ_JADDVU010000005.1_cds_WP_016749081.1_2749	23.313	326	318
WP_004462901.1	lcl|NZ_JADDVU010000013.1_cds_WP_002743770.1_358	23.392	171	318
WP_016551805.1	lcl|NZ_JADDVU010000067.1_cds_WP_002742222.1_2899	36.612	366	592
WP_016551805.1	lcl|NZ_JADDVU010000001.1_cds_WP_002723347.1_743	32.995	394	592
WP_016551805.1	lcl|NZ_JADDVU010000005.1_cds_WP_002740724.1_2756	34.383	381	592
WP_016551805.1	lcl|NZ_JADDVU010000031.1_cds_WP_002741286.1_1614	31.633	392	592
WP_016551805.1	lcl|NZ_JADDVU010000005.1_cds_IP959_RS03180_2745	29.095	409	592
WP_016551805.1	lcl|NZ_JADDVU010000008.1_cds_WP_002739451.1_3296	28.378	222	592
WP_016551805.1	lcl|NZ_JADDVU010000009.1_cds_WP_002726143.1_3361	31.579	209	592
WP_016551805.1	lcl|NZ_JADDVU010000054.1_cds_WP_002738485.1_2582	30.851	188	592
WP_016551805.1	lcl|NZ_JADDVU010000011.1_cds_WP_002752475.1_135	26.271	236	592
WP_016551805.1	lcl|NZ_JADDVU010000002.1_cds_WP_002734207.1_1493	29.614	233	592
WP_016551805.1	lcl|NZ_JADDVU010000003.1_cds_WP_002721914.1_1960	28.241	216	592
WP_016551805.1	lcl|NZ_JADDVU010000004.1_cds_WP_002730493.1_2414	27.315	216	592
WP_016551805.1	lcl|NZ_JADDVU010000011.1_cds_WP_002729758.1_144	32.456	228	592
WP_016551805.1	lcl|NZ_JADDVU010000004.1_cds_WP_002724285.1_2396	30.000	220	592
WP_016551805.1	lcl|NZ_JADDVU010000010.1_cds_WP_002728388.1_68	25.962	208	592
