WP_004462903.1	lcl|NZ_RQFS01000120.1_cds_WP_135594790.1_1574	62.821	78	106
WP_004462901.1	lcl|NZ_RQFS01000120.1_cds_WP_135594788.1_1575	81.613	310	318
WP_004462901.1	lcl|NZ_RQFS01000167.1_cds_WP_100725791.1_3259	24.540	326	318
WP_004462901.1	lcl|NZ_RQFS01000104.1_cds_WP_135674754.1_3568	23.938	259	318
WP_004462901.1	lcl|NZ_RQFS01000104.1_cds_WP_135638522.1_3566	22.857	280	318
WP_004462901.1	lcl|NZ_RQFS01000142.1_cds_WP_135675635.1_3578	25.085	295	318
WP_004462901.1	lcl|NZ_RQFS01000015.1_cds_WP_100715920.1_2972	26.344	186	318
WP_004462901.1	lcl|NZ_RQFS01000186.1_cds_WP_135676294.1_3027	22.188	320	318
WP_016551805.1	lcl|NZ_RQFS01000120.1_cds_WP_167879885.1_1577	32.228	543	592
WP_016551805.1	lcl|NZ_RQFS01000040.1_cds_WP_135651700.1_278	33.676	389	592
WP_016551805.1	lcl|NZ_RQFS01000102.1_cds_WP_135639619.1_574	32.861	423	592
WP_016551805.1	lcl|NZ_RQFS01000186.1_cds_WP_135676286.1_3021	35.806	310	592
WP_016551805.1	lcl|NZ_RQFS01000102.1_cds_WP_135674674.1_513	38.912	239	592
WP_016551805.1	lcl|NZ_RQFS01000119.1_cds_WP_135675152.1_3338	35.931	231	592
WP_016551805.1	lcl|NZ_RQFS01000160.1_cds_WP_135675845.1_1341	31.538	260	592
WP_016551805.1	lcl|NZ_RQFS01000179.1_cds_WP_135676099.1_1094	30.734	218	592
WP_016551805.1	lcl|NZ_RQFS01000134.1_cds_WP_100728022.1_2689	30.093	216	592
WP_016551805.1	lcl|NZ_RQFS01000086.1_cds_WP_135674215.1_2954	29.817	218	592
WP_016551805.1	lcl|NZ_RQFS01000012.1_cds_WP_100726092.1_964	29.353	201	592
WP_016551805.1	lcl|NZ_RQFS01000094.1_cds_WP_100717653.1_1145	27.004	237	592
WP_016551805.1	lcl|NZ_RQFS01000118.1_cds_WP_135592251.1_2918	29.832	238	592
WP_016551805.1	lcl|NZ_RQFS01000028.1_cds_WP_135673383.1_2656	30.131	229	592
WP_016551805.1	lcl|NZ_RQFS01000036.1_cds_WP_135673573.1_2504	27.966	236	592
