WP_004462903.1	lcl|NZ_JAGGCF010000003.1_cds_WP_000340715.1_536	95.402	87	106
WP_004462901.1	lcl|NZ_JAGGCF010000003.1_cds_WP_000410273.1_537	92.581	310	318
WP_004462901.1	lcl|NZ_JAGGCF010000003.1_cds_WP_000646250.1_540	26.667	270	318
WP_004462901.1	lcl|NZ_JAGGCF010000008.1_cds_WP_000744700.1_1244	24.771	327	318
WP_004462901.1	lcl|NZ_JAGGCF010000003.1_cds_WP_000093099.1_557	53.968	63	318
WP_004462901.1	lcl|NZ_JAGGCF010000003.1_cds_WP_000600889.1_566	23.118	186	318
WP_004462901.1	lcl|NZ_JAGGCF010000003.1_cds_WP_000723090.1_619	23.368	291	318
WP_004462901.1	lcl|NZ_JAGGCF010000029.1_cds_WP_001984071.1_2849	21.678	286	318
WP_004462901.1	lcl|NZ_JAGGCF010000003.1_cds_WP_001067557.1_543	24.012	329	318
WP_016551805.1	lcl|NZ_JAGGCF010000005.1_cds_WP_000667646.1_862	33.249	394	592
WP_016551805.1	lcl|NZ_JAGGCF010000005.1_cds_WP_000172202.1_905	35.772	369	592
WP_016551805.1	lcl|NZ_JAGGCF010000032.1_cds_WP_000828455.1_2970	30.612	392	592
WP_016551805.1	lcl|NZ_JAGGCF010000003.1_cds_WP_000834715.1_560	31.688	385	592
WP_016551805.1	lcl|NZ_JAGGCF010000004.1_cds_WP_000510777.1_725	29.358	218	592
WP_016551805.1	lcl|NZ_JAGGCF010000012.1_cds_WP_001161019.1_1655	31.100	209	592
WP_016551805.1	lcl|NZ_JAGGCF010000018.1_cds_WP_001052498.1_2186	25.514	243	592
WP_016551805.1	lcl|NZ_JAGGCF010000005.1_cds_WP_000942282.1_919	30.043	233	592
WP_016551805.1	lcl|NZ_JAGGCF010000048.1_cds_WP_000619175.1_3432	27.490	251	592
WP_016551805.1	lcl|NZ_JAGGCF010000022.1_cds_WP_001982953.1_2466	26.050	238	592
WP_016551805.1	lcl|NZ_JAGGCF010000057.1_cds_WP_001141158.1_3596	30.769	221	592
WP_016551805.1	lcl|NZ_JAGGCF010000001.1_cds_WP_000666552.1_153	26.923	234	592
WP_016551805.1	lcl|NZ_JAGGCF010000048.1_cds_WP_000218838.1_3433	28.750	240	592
WP_016551805.1	lcl|NZ_JAGGCF010000026.1_cds_WP_000184524.1_2669	28.311	219	592
WP_016551805.1	lcl|NZ_JAGGCF010000028.1_cds_WP_000433117.1_2792	27.778	216	592
WP_016551805.1	lcl|NZ_JAGGCF010000020.1_cds_WP_000047473.1_2319	25.481	208	592
WP_016551805.1	lcl|NZ_JAGGCF010000028.1_cds_WP_001089500.1_2760	26.809	235	592
WP_016551805.1	lcl|NZ_JAGGCF010000009.1_cds_WP_000052667.1_1402	26.638	229	592
WP_016551805.1	lcl|NZ_JAGGCF010000064.1_cds_WP_000675807.1_3681	26.721	247	592
WP_016551805.1	lcl|NZ_JAGGCF010000033.1_cds_WP_000603361.1_2998	23.009	226	592
WP_016551805.1	lcl|NZ_JAGGCF010000034.1_cds_WP_000590867.1_3038	22.314	242	592
WP_016551805.1	lcl|NZ_JAGGCF010000034.1_cds_WP_000590867.1_3038	26.415	159	592
WP_016551805.1	lcl|NZ_JAGGCF010000007.1_cds_WP_001288326.1_1104	28.151	238	592
WP_016551805.1	lcl|NZ_JAGGCF010000033.1_cds_WP_000054169.1_2982	26.866	201	592
WP_016551805.1	lcl|NZ_JAGGCF010000024.1_cds_WP_001049205.1_2572	27.049	244	592
WP_016551805.1	lcl|NZ_JAGGCF010000024.1_cds_WP_001049205.1_2572	25.110	227	592
WP_016551805.1	lcl|NZ_JAGGCF010000005.1_cds_WP_000626143.1_900	27.885	208	592
WP_016551805.1	lcl|NZ_JAGGCF010000005.1_cds_WP_000626143.1_900	23.596	178	592
WP_016551805.1	lcl|NZ_JAGGCF010000007.1_cds_WP_002167151.1_1064	25.217	230	592
WP_016551805.1	lcl|NZ_JAGGCF010000005.1_cds_WP_000136057.1_813	26.316	228	592
WP_016551805.1	lcl|NZ_JAGGCF010000005.1_cds_WP_000667646.1_862	33.249	394	592
WP_016551805.1	lcl|NZ_JAGGCF010000005.1_cds_WP_000172202.1_905	35.772	369	592
WP_016551805.1	lcl|NZ_JAGGCF010000032.1_cds_WP_000828455.1_2970	30.612	392	592
WP_016551805.1	lcl|NZ_JAGGCF010000003.1_cds_WP_000834715.1_560	31.688	385	592
WP_016551805.1	lcl|NZ_JAGGCF010000004.1_cds_WP_000510777.1_725	29.358	218	592
WP_016551805.1	lcl|NZ_JAGGCF010000012.1_cds_WP_001161019.1_1655	31.100	209	592
WP_016551805.1	lcl|NZ_JAGGCF010000018.1_cds_WP_001052498.1_2186	25.514	243	592
