WP_004462903.1	lcl|NZ_JADDWE010000005.1_cds_WP_002725873.1_2713	95.402	87	106
WP_004462901.1	lcl|NZ_JADDWE010000005.1_cds_WP_002733579.1_2712	91.935	310	318
WP_004462901.1	lcl|NZ_JADDWE010000005.1_cds_WP_002733534.1_2709	25.926	270	318
WP_004462901.1	lcl|NZ_JADDWE010000017.1_cds_WP_002722638.1_566	23.242	327	318
WP_004462901.1	lcl|NZ_JADDWE010000005.1_cds_WP_002740024.1_2618	22.867	293	318
WP_004462901.1	lcl|NZ_JADDWE010000006.1_cds_WP_002728309.1_2886	23.397	312	318
WP_004462901.1	lcl|NZ_JADDWE010000005.1_cds_WP_016749081.1_2680	23.313	326	318
WP_004462901.1	lcl|NZ_JADDWE010000028.1_cds_WP_002743770.1_1320	23.392	171	318
WP_016551805.1	lcl|NZ_JADDWE010000070.1_cds_WP_002742222.1_3000	36.612	366	592
WP_016551805.1	lcl|NZ_JADDWE010000001.1_cds_WP_002723347.1_742	32.995	394	592
WP_016551805.1	lcl|NZ_JADDWE010000005.1_cds_WP_002740724.1_2687	34.383	381	592
WP_016551805.1	lcl|NZ_JADDWE010000029.1_cds_WP_002741286.1_1354	31.633	392	592
WP_016551805.1	lcl|NZ_JADDWE010000005.1_cds_IQA47_RS03070_2676	29.095	409	592
WP_016551805.1	lcl|NZ_JADDWE010000008.1_cds_WP_002739451.1_3290	28.378	222	592
WP_016551805.1	lcl|NZ_JADDWE010000009.1_cds_WP_002726143.1_3356	31.579	209	592
WP_016551805.1	lcl|NZ_JADDWE010000054.1_cds_WP_002738485.1_2500	30.851	188	592
WP_016551805.1	lcl|NZ_JADDWE010000011.1_cds_WP_002752475.1_182	26.271	236	592
WP_016551805.1	lcl|NZ_JADDWE010000004.1_cds_WP_002734207.1_2343	29.614	233	592
WP_016551805.1	lcl|NZ_JADDWE010000002.1_cds_WP_002721914.1_1489	28.241	216	592
WP_016551805.1	lcl|NZ_JADDWE010000003.1_cds_WP_002730493.1_1915	27.315	216	592
WP_016551805.1	lcl|NZ_JADDWE010000011.1_cds_WP_002729758.1_173	32.456	228	592
WP_016551805.1	lcl|NZ_JADDWE010000003.1_cds_WP_002724285.1_1933	30.000	220	592
WP_016551805.1	lcl|NZ_JADDWE010000010.1_cds_WP_002728388.1_67	25.962	208	592
WP_016551805.1	lcl|NZ_JADDWE010000026.1_cds_WP_002729296.1_1219	28.829	222	592
WP_016551805.1	lcl|NZ_JADDWE010000002.1_cds_WP_002721827.1_1521	29.767	215	592
WP_016551805.1	lcl|NZ_JADDWE010000003.1_cds_WP_002724311.1_1934	25.681	257	592
WP_016551805.1	lcl|NZ_JADDWE010000008.1_cds_WP_002725984.1_3258	24.336	226	592
WP_016551805.1	lcl|NZ_JADDWE010000023.1_cds_WP_002733837.1_1074	27.869	244	592
