WP_004462903.1	lcl|NZ_JADDXP010000007.1_cds_WP_002725873.1_3303	95.402	87	106
WP_004462901.1	lcl|NZ_JADDXP010000007.1_cds_WP_061209188.1_3302	91.935	310	318
WP_004462901.1	lcl|NZ_JADDXP010000092.1_cds_WP_061208146.1_3579	22.936	327	318
WP_004462901.1	lcl|NZ_JADDXP010000082.1_cds_WP_061209097.1_3377	22.043	186	318
WP_004462901.1	lcl|NZ_JADDXP010000012.1_cds_WP_011671706.1_422	22.867	293	318
WP_004462901.1	lcl|NZ_JADDXP010000028.1_cds_WP_061208650.1_1612	23.397	312	318
WP_004462901.1	lcl|NZ_JADDXP010000100.1_cds_WP_002729504.1_4	23.392	171	318
WP_016551805.1	lcl|NZ_JADDXP010000007.1_cds_WP_061208759.1_3300	82.432	592	592
WP_016551805.1	lcl|NZ_JADDXP010000018.1_cds_WP_061207593.1_916	36.885	366	592
WP_016551805.1	lcl|NZ_JADDXP010000014.1_cds_WP_061207469.1_646	32.995	394	592
WP_016551805.1	lcl|NZ_JADDXP010000078.1_cds_WP_011671171.1_3270	31.552	393	592
WP_016551805.1	lcl|NZ_JADDXP010000020.1_cds_WP_061208601.1_1254	28.378	222	592
WP_016551805.1	lcl|NZ_JADDXP010000075.1_cds_WP_061209087.1_3221	31.100	209	592
WP_016551805.1	lcl|NZ_JADDXP010000039.1_cds_WP_061209175.1_2165	30.851	188	592
WP_016551805.1	lcl|NZ_JADDXP010000006.1_cds_WP_061208213.1_3077	26.271	236	592
WP_016551805.1	lcl|NZ_JADDXP010000017.1_cds_WP_061207927.1_850	29.614	233	592
WP_016551805.1	lcl|NZ_JADDXP010000006.1_cds_WP_061208218.1_3068	32.895	228	592
WP_016551805.1	lcl|NZ_JADDXP010000001.1_cds_WP_002721914.1_1073	28.241	216	592
WP_016551805.1	lcl|NZ_JADDXP010000061.1_cds_WP_002730493.1_2887	27.315	216	592
WP_016551805.1	lcl|NZ_JADDXP010000019.1_cds_WP_002724285.1_1006	30.000	220	592
WP_016551805.1	lcl|NZ_JADDXP010000001.1_cds_WP_061207856.1_1124	28.829	222	592
WP_016551805.1	lcl|NZ_JADDXP010000002.1_cds_WP_002751341.1_1745	25.481	208	592
WP_016551805.1	lcl|NZ_JADDXP010000001.1_cds_WP_011670070.1_1105	29.767	215	592
WP_016551805.1	lcl|NZ_JADDXP010000019.1_cds_WP_002724311.1_1005	25.681	257	592
WP_016551805.1	lcl|NZ_JADDXP010000097.1_cds_WP_002725984.1_3638	24.336	226	592
WP_016551805.1	lcl|NZ_JADDXP010000005.1_cds_WP_061208560.1_2827	27.869	244	592
WP_016551805.1	lcl|NZ_JADDXP010000005.1_cds_WP_061208560.1_2827	26.230	183	592
WP_016551805.1	lcl|NZ_JADDXP010000094.1_cds_WP_061209043.1_3609	23.047	256	592
WP_016551805.1	lcl|NZ_JADDXP010000094.1_cds_WP_061209043.1_3609	28.025	157	592
WP_016551805.1	lcl|NZ_JADDXP010000006.1_cds_WP_011671589.1_3084	25.941	239	592
WP_016551805.1	lcl|NZ_JADDXP010000013.1_cds_WP_002735056.1_542	28.421	190	592
WP_016551805.1	lcl|NZ_JADDXP010000069.1_cds_WP_061208076.1_3056	25.911	247	592
