WP_002725873.1	lcl|NZ_JADDWF010000005.1_cds_WP_002725873.1_2765	100.000	106	106
WP_011669917.1	lcl|NZ_JADDWF010000005.1_cds_WP_002733579.1_2764	99.677	310	318
WP_011669917.1	lcl|NZ_JADDWF010000005.1_cds_WP_002733534.1_2761	27.309	249	318
WP_011669917.1	lcl|NZ_JADDWF010000017.1_cds_WP_002722638.1_602	24.611	321	318
WP_011669917.1	lcl|NZ_JADDWF010000005.1_cds_WP_002740024.1_2670	23.132	281	318
WP_011669917.1	lcl|NZ_JADDWF010000006.1_cds_WP_002728309.1_3027	25.723	311	318
WP_011669917.1	lcl|NZ_JADDWF010000029.1_cds_WP_002743770.1_1379	21.387	173	318
WP_011669917.1	lcl|NZ_JADDWF010000005.1_cds_WP_016749081.1_2732	23.841	151	318
WP_011669919.1	lcl|NZ_JADDWF010000033.1_cds_WP_032856387.1_1704	27.556	225	220
WP_011669919.1	lcl|NZ_JADDWF010000005.1_cds_WP_002742128.1_2674	26.609	233	220
WP_011669919.1	lcl|NZ_JADDWF010000005.1_cds_WP_002733661.1_2694	34.783	92	220
WP_011669919.1	lcl|NZ_JADDWF010000018.1_cds_WP_002731944.1_667	30.172	116	220
WP_011669919.1	lcl|NZ_JADDWF010000009.1_cds_WP_002726501.1_3381	30.851	94	220
WP_011669919.1	lcl|NZ_JADDWF010000005.1_cds_WP_002733618.1_2667	25.000	176	220
WP_011669919.1	lcl|NZ_JADDWF010000062.1_cds_WP_016749129.1_2811	24.155	207	220
WP_020780109.1	lcl|NZ_JADDWF010000005.1_cds_WP_002740722.1_2721	36.607	336	354
WP_020780109.1	lcl|NZ_JADDWF010000005.1_cds_WP_002740726.1_2717	33.432	338	354
WP_020780109.1	lcl|NZ_JADDWF010000025.1_cds_WP_002730849.1_1210	34.722	288	354
WP_020780109.1	lcl|NZ_JADDWF010000005.1_cds_WP_002740722.1_2721	36.607	336	354
WP_020780109.1	lcl|NZ_JADDWF010000005.1_cds_WP_002740726.1_2717	33.432	338	354
WP_020780109.1	lcl|NZ_JADDWF010000025.1_cds_WP_002730849.1_1210	34.722	288	354
WP_011669921.1	lcl|NZ_JADDWF010000034.1_cds_WP_002738760.1_1729	30.144	209	230
WP_011669921.1	lcl|NZ_JADDWF010000013.1_cds_WP_002723863.1_361	30.631	111	230
WP_011669921.1	lcl|NZ_JADDWF010000005.1_cds_WP_002733600.1_2703	28.814	118	230
WP_011669922.1	lcl|NZ_JADDWF010000078.1_cds_WP_004278354.1_3103	28.550	655	599
WP_011669923.1	lcl|NZ_JADDWF010000023.1_cds_WP_002728994.1_1116	31.183	372	387
WP_011669923.1	lcl|NZ_JADDWF010000005.1_cds_WP_002740861.1_2756	33.475	236	387
WP_011669923.1	lcl|NZ_JADDWF010000005.1_cds_WP_002740826.1_2757	37.379	206	387
WP_011669923.1	lcl|NZ_JADDWF010000005.1_cds_WP_002733599.1_2723	31.939	263	387
WP_011669923.1	lcl|NZ_JADDWF010000005.1_cds_WP_002733737.1_2736	30.137	219	387
WP_011669923.1	lcl|NZ_JADDWF010000005.1_cds_WP_002740294.1_2676	31.095	283	387
WP_011669923.1	lcl|NZ_JADDWF010000006.1_cds_WP_002738884.1_2979	27.245	323	387
WP_011669923.1	lcl|NZ_JADDWF010000007.1_cds_WP_002724641.1_3199	23.706	367	387
WP_011669924.1	lcl|NZ_JADDWF010000078.1_cds_WP_004278354.1_3103	40.902	599	583
WP_020780103.1	lcl|NZ_JADDWF010000048.1_cds_WP_002740796.1_2289	23.622	127	572
WP_020780103.1	lcl|NZ_JADDWF010000005.1_cds_WP_002740235.1_2707	18.981	216	572
WP_020780103.1	lcl|NZ_JADDWF010000048.1_cds_WP_002740796.1_2289	23.622	127	572
WP_020780103.1	lcl|NZ_JADDWF010000005.1_cds_WP_002740235.1_2707	18.981	216	572
WP_011669926.1	lcl|NZ_JADDWF010000005.1_cds_WP_002740826.1_2757	36.296	270	417
WP_011669926.1	lcl|NZ_JADDWF010000023.1_cds_WP_002728994.1_1116	29.885	348	417
WP_011669926.1	lcl|NZ_JADDWF010000005.1_cds_WP_002740861.1_2756	33.562	292	417
WP_011669926.1	lcl|NZ_JADDWF010000005.1_cds_WP_002740294.1_2676	34.252	254	417
WP_011669926.1	lcl|NZ_JADDWF010000005.1_cds_WP_002733737.1_2736	31.061	264	417
WP_011669926.1	lcl|NZ_JADDWF010000005.1_cds_WP_002733599.1_2723	29.461	241	417
WP_011669926.1	lcl|NZ_JADDWF010000006.1_cds_WP_002738884.1_2979	27.686	242	417
WP_011669926.1	lcl|NZ_JADDWF010000007.1_cds_WP_002724641.1_3199	25.105	239	417
WP_020780101.1	lcl|NZ_JADDWF010000002.1_cds_WP_002724039.1_1424	25.225	111	342
WP_020780101.1	lcl|NZ_JADDWF010000002.1_cds_WP_002724039.1_1424	25.225	111	342
