WP_002725873.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000340715.1_3464	93.902	82	106
WP_011669917.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000410273.1_3465	92.903	310	318
WP_011669917.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000093099.1_3485	58.730	63	318
WP_011669917.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000646250.1_3468	28.112	249	318
WP_011669917.1	lcl|NZ_JAPDQZ010000015.1_cds_WP_000744700.1_861	23.148	324	318
WP_011669917.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000600889.1_3494	23.273	275	318
WP_011669917.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000723090.1_3547	23.875	289	318
WP_011669917.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_001067557.1_3471	23.708	329	318
WP_011669918.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000202830.1_3504	42.776	353	361
WP_011669919.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000282880.1_3543	37.903	124	220
WP_011669919.1	lcl|NZ_JAPDQZ010000003.1_cds_WP_001099029.1_2129	27.803	223	220
WP_011669919.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_001068986.1_3522	31.522	92	220
WP_011669919.1	lcl|NZ_JAPDQZ010000031.1_cds_WP_000840858.1_2231	29.808	104	220
WP_011669919.1	lcl|NZ_JAPDQZ010000012.1_cds_WP_000868621.1_622	29.670	91	220
WP_011669919.1	lcl|NZ_JAPDQZ010000005.1_cds_WP_000262844.1_2843	25.121	207	220
WP_011669919.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_001114267.1_3550	26.136	176	220
WP_020780109.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_001230564.1_3497	36.873	339	354
WP_020780109.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000582618.1_3501	34.663	326	354
WP_020780109.1	lcl|NZ_JAPDQZ010000010.1_cds_WP_001011675.1_411	34.237	295	354
