WP_002725873.1	lcl|NZ_JAGGCQ010000002.1_cds_WP_000340715.1_380	93.902	82	106
WP_011669917.1	lcl|NZ_JAGGCQ010000002.1_cds_WP_000410273.1_381	92.903	310	318
WP_011669917.1	lcl|NZ_JAGGCQ010000002.1_cds_WP_000093099.1_401	58.730	63	318
WP_011669917.1	lcl|NZ_JAGGCQ010000002.1_cds_WP_000646250.1_384	28.112	249	318
WP_011669917.1	lcl|NZ_JAGGCQ010000009.1_cds_WP_000744700.1_1528	23.148	324	318
WP_011669917.1	lcl|NZ_JAGGCQ010000002.1_cds_WP_000600889.1_410	23.273	275	318
WP_011669917.1	lcl|NZ_JAGGCQ010000002.1_cds_WP_000723090.1_463	23.875	289	318
WP_011669917.1	lcl|NZ_JAGGCQ010000002.1_cds_WP_001067557.1_387	23.708	329	318
WP_011669918.1	lcl|NZ_JAGGCQ010000002.1_cds_WP_000202830.1_420	42.776	353	361
WP_011669919.1	lcl|NZ_JAGGCQ010000002.1_cds_WP_000282880.1_459	37.903	124	220
WP_011669919.1	lcl|NZ_JAGGCQ010000024.1_cds_WP_001099029.1_2696	27.803	223	220
WP_011669919.1	lcl|NZ_JAGGCQ010000002.1_cds_WP_001068986.1_438	31.522	92	220
WP_011669919.1	lcl|NZ_JAGGCQ010000039.1_cds_WP_000840858.1_3244	29.808	104	220
WP_011669919.1	lcl|NZ_JAGGCQ010000019.1_cds_WP_000868621.1_2412	29.670	91	220
WP_011669919.1	lcl|NZ_JAGGCQ010000016.1_cds_WP_000262844.1_2183	25.121	207	220
WP_011669919.1	lcl|NZ_JAGGCQ010000002.1_cds_WP_001114267.1_466	26.136	176	220
WP_020780109.1	lcl|NZ_JAGGCQ010000002.1_cds_WP_001230564.1_413	36.873	339	354
WP_020780109.1	lcl|NZ_JAGGCQ010000002.1_cds_WP_000582618.1_417	34.663	326	354
WP_020780109.1	lcl|NZ_JAGGCQ010000052.1_cds_WP_001011675.1_3543	34.237	295	354
WP_020780109.1	lcl|NZ_JAGGCQ010000002.1_cds_WP_001230564.1_413	36.873	339	354
WP_020780109.1	lcl|NZ_JAGGCQ010000002.1_cds_WP_000582618.1_417	34.663	326	354
WP_020780109.1	lcl|NZ_JAGGCQ010000052.1_cds_WP_001011675.1_3543	34.237	295	354
WP_011669921.1	lcl|NZ_JAGGCQ010000016.1_cds_WP_001014594.1_2223	29.577	213	230
WP_011669921.1	lcl|NZ_JAGGCQ010000005.1_cds_WP_000721859.1_975	32.743	113	230
WP_011669922.1	lcl|NZ_JAGGCQ010000002.1_cds_WP_000698820.1_423	41.857	614	599
WP_011669923.1	lcl|NZ_JAGGCQ010000002.1_cds_WP_000582222.1_399	37.805	246	387
WP_011669923.1	lcl|NZ_JAGGCQ010000025.1_cds_WP_001281953.1_2723	31.989	372	387
