WP_002725873.1	lcl|NZ_RQHJ01000014.1_cds_WP_135594790.1_2507	62.162	74	106
WP_011669917.1	lcl|NZ_RQHJ01000014.1_cds_WP_135688240.1_2506	82.166	314	318
WP_011669917.1	lcl|NZ_RQHJ01000011.1_cds_WP_135687476.1_394	22.727	330	318
WP_011669917.1	lcl|NZ_RQHJ01000014.1_cds_WP_135594691.1_2455	22.857	280	318
WP_011669917.1	lcl|NZ_RQHJ01000014.1_cds_WP_135688220.1_2453	22.013	318	318
WP_011669917.1	lcl|NZ_RQHJ01000007.1_cds_WP_100715920.1_3210	23.077	169	318
WP_011669917.1	lcl|NZ_RQHJ01000011.1_cds_WP_135687660.1_972	24.458	323	318
WP_011669918.1	lcl|NZ_RQHJ01000014.1_cds_WP_135594731.1_2478	42.373	354	361
WP_011669919.1	lcl|NZ_RQHJ01000014.1_cds_WP_135638558.1_2432	34.234	111	220
WP_011669919.1	lcl|NZ_RQHJ01000014.1_cds_WP_135688123.1_2140	25.325	154	220
WP_011669919.1	lcl|NZ_RQHJ01000014.1_cds_WP_135594701.1_2461	34.694	98	220
WP_011669919.1	lcl|NZ_RQHJ01000014.1_cds_WP_135688214.1_2437	33.846	130	220
WP_011669919.1	lcl|NZ_RQHJ01000014.1_cds_WP_135688210.1_2429	34.043	94	220
WP_011669919.1	lcl|NZ_RQHJ01000014.1_cds_WP_135688100.1_2056	33.333	108	220
WP_011669919.1	lcl|NZ_RQHJ01000010.1_cds_WP_100727529.1_2953	30.526	95	220
WP_011669919.1	lcl|NZ_RQHJ01000014.1_cds_WP_135592290.1_2431	29.126	103	220
WP_020780109.1	lcl|NZ_RQHJ01000014.1_cds_WP_135638469.1_2498	31.624	351	354
WP_020780109.1	lcl|NZ_RQHJ01000011.1_cds_WP_135593803.1_1465	34.797	296	354
WP_020780109.1	lcl|NZ_RQHJ01000014.1_cds_WP_135688225.1_2481	31.579	342	354
WP_020780109.1	lcl|NZ_RQHJ01000014.1_cds_WP_135638469.1_2498	31.624	351	354
WP_020780109.1	lcl|NZ_RQHJ01000011.1_cds_WP_135593803.1_1465	34.797	296	354
