WP_002725873.1	lcl|NZ_JMDI01000098.1_cds_WP_000340715.1_1867	93.902	82	106
WP_011669917.1	lcl|NZ_JMDI01000098.1_cds_WP_000410273.1_1868	92.903	310	318
WP_011669917.1	lcl|NZ_JMDI01000098.1_cds_WP_000646255.1_1871	28.112	249	318
WP_011669917.1	lcl|NZ_JMDI01000085.1_cds_WP_000744695.1_1535	23.148	324	318
WP_011669917.1	lcl|NZ_JMDI01000112.1_cds_WP_000600891.1_2227	23.273	275	318
WP_011669917.1	lcl|NZ_JMDI01000086.1_cds_WP_000723081.1_1592	23.875	289	318
WP_011669917.1	lcl|NZ_JMDI01000014.1_cds_WP_000649929.1_104	25.382	327	318
WP_011669917.1	lcl|NZ_JMDI01000098.1_cds_WP_001067557.1_1874	23.708	329	318
WP_011669918.1	lcl|NZ_JMDI01000112.1_cds_WP_000202832.1_2217	42.776	353	361
WP_011669919.1	lcl|NZ_JMDI01000122.1_cds_WP_000282882.1_2442	37.097	124	220
WP_011669919.1	lcl|NZ_JMDI01000027.1_cds_WP_001099039.1_361	27.803	223	220
WP_011669919.1	lcl|NZ_JMDI01000122.1_cds_WP_001068984.1_2462	31.522	92	220
WP_011669919.1	lcl|NZ_JMDI01000113.1_cds_WP_000840861.1_2252	29.808	104	220
WP_011669919.1	lcl|NZ_JMDI01000108.1_cds_WP_000868621.1_2109	29.670	91	220
WP_011669919.1	lcl|NZ_JMDI01000086.1_cds_WP_001114262.1_1595	26.136	176	220
WP_011669919.1	lcl|NZ_JMDI01000066.1_cds_WP_000262844.1_970	25.121	207	220
WP_020780109.1	lcl|NZ_JMDI01000112.1_cds_WP_001230563.1_2224	36.873	339	354
WP_020780109.1	lcl|NZ_JMDI01000112.1_cds_WP_000582623.1_2220	34.969	326	354
WP_020780109.1	lcl|NZ_JMDI01000203.1_cds_WP_001011666.1_3513	34.576	295	354
WP_020780109.1	lcl|NZ_JMDI01000112.1_cds_WP_001230563.1_2224	36.873	339	354
WP_020780109.1	lcl|NZ_JMDI01000112.1_cds_WP_000582623.1_2220	34.969	326	354
WP_020780109.1	lcl|NZ_JMDI01000203.1_cds_WP_001011666.1_3513	34.576	295	354
WP_011669921.1	lcl|NZ_JMDI01000034.1_cds_WP_001014594.1_421	29.577	213	230
WP_011669921.1	lcl|NZ_JMDI01000023.1_cds_WP_000721855.1_256	33.613	119	230
WP_011669922.1	lcl|NZ_JMDI01000122.1_cds_WP_330848327.1_2477	45.161	341	599
WP_011669922.1	lcl|NZ_JMDI01000112.1_cds_WP_330848324.1_2214	36.364	253	599
WP_011669923.1	lcl|NZ_JMDI01000172.1_cds_WP_001281953.1_3253	31.989	372	387
WP_011669923.1	lcl|NZ_JMDI01000098.1_cds_WP_000608291.1_1876	33.898	236	387
WP_011669923.1	lcl|NZ_JMDI01000112.1_cds_WP_000947841.1_2226	32.824	262	387
WP_011669923.1	lcl|NZ_JMDI01000098.1_cds_WP_001198107.1_1875	37.864	206	387
WP_011669923.1	lcl|NZ_JMDI01000112.1_cds_WP_000346041.1_2219	26.944	360	387
WP_011669923.1	lcl|NZ_JMDI01000122.1_cds_WP_000575181.1_2444	27.915	283	387
WP_011669923.1	lcl|NZ_JMDI01000181.1_cds_WP_000538755.1_3349	26.168	321	387
WP_011669923.1	lcl|NZ_JMDI01000056.1_cds_WP_001982414.1_773	24.895	237	387
WP_011669924.1	lcl|NZ_JMDI01000122.1_cds_WP_330848327.1_2477	28.857	350	583
WP_011669924.1	lcl|NZ_JMDI01000112.1_cds_WP_330848324.1_2214	49.180	61	583
WP_020780103.1	lcl|NZ_JMDI01000081.1_cds_WP_000613389.1_1458	23.077	130	572
WP_020780103.1	lcl|NZ_JMDI01000081.1_cds_WP_000613389.1_1458	23.077	130	572
WP_011669926.1	lcl|NZ_JMDI01000172.1_cds_WP_001281953.1_3253	29.969	327	417
WP_011669926.1	lcl|NZ_JMDI01000098.1_cds_WP_001198107.1_1875	36.667	270	417
WP_011669926.1	lcl|NZ_JMDI01000098.1_cds_WP_000608291.1_1876	33.219	292	417
WP_011669926.1	lcl|NZ_JMDI01000122.1_cds_WP_000575181.1_2444	34.363	259	417
WP_011669926.1	lcl|NZ_JMDI01000112.1_cds_WP_000346041.1_2219	29.367	395	417
WP_011669926.1	lcl|NZ_JMDI01000112.1_cds_WP_000947841.1_2226	27.306	271	417
WP_011669926.1	lcl|NZ_JMDI01000181.1_cds_WP_000538755.1_3349	25.130	386	417
WP_011669926.1	lcl|NZ_JMDI01000056.1_cds_WP_001982414.1_773	24.686	239	417
WP_004779587.1	lcl|NZ_JMDI01000108.1_cds_WP_000242331.1_2083	24.176	91	181
WP_020780101.1	lcl|NZ_JMDI01000169.1_cds_WP_000870128.1_3172	25.503	149	342
WP_020780101.1	lcl|NZ_JMDI01000169.1_cds_WP_000870128.1_3172	25.503	149	342
WP_011669928.1	lcl|NZ_JMDI01000081.1_cds_WP_000613389.1_1458	22.308	130	362
WP_011669928.1	lcl|NZ_JMDI01000081.1_cds_WP_000613389.1_1458	22.308	130	362
WP_004779589.1	lcl|NZ_JMDI01000147.1_cds_WP_000012765.1_2917	30.833	120	210
WP_004779550.1	lcl|NZ_JMDI01000098.1_cds_WP_000517242.1_1883	32.941	85	244
WP_004779595.1	lcl|NZ_JMDI01000034.1_cds_WP_001014594.1_421	31.100	209	242
