WP_002725873.1	lcl|NZ_AOWF01000155.1_cds_WP_000340715.1_3478	93.902	82	106
WP_011669917.1	lcl|NZ_AOWF01000155.1_cds_WP_000410273.1_3479	92.903	310	318
WP_011669917.1	lcl|NZ_AOWF01000155.1_cds_WP_000093099.1_3499	58.730	63	318
WP_011669917.1	lcl|NZ_AOWF01000155.1_cds_WP_000646250.1_3482	28.112	249	318
WP_011669917.1	lcl|NZ_AOWF01000050.1_cds_WP_000744700.1_941	23.148	324	318
WP_011669917.1	lcl|NZ_AOWF01000155.1_cds_WP_017857197.1_3508	24.194	186	318
WP_011669917.1	lcl|NZ_AOWF01000155.1_cds_WP_000723090.1_3561	23.875	289	318
WP_011669917.1	lcl|NZ_AOWF01000155.1_cds_WP_001067557.1_3485	23.708	329	318
WP_011669918.1	lcl|NZ_AOWF01000155.1_cds_WP_000202830.1_3518	42.776	353	361
WP_011669919.1	lcl|NZ_AOWF01000155.1_cds_WP_000282880.1_3557	37.903	124	220
WP_011669919.1	lcl|NZ_AOWF01000020.1_cds_WP_001099029.1_210	27.803	223	220
WP_011669919.1	lcl|NZ_AOWF01000155.1_cds_WP_001068986.1_3536	31.522	92	220
WP_011669919.1	lcl|NZ_AOWF01000027.1_cds_WP_000840858.1_554	29.808	104	220
WP_011669919.1	lcl|NZ_AOWF01000105.1_cds_WP_000868621.1_2052	29.670	91	220
WP_011669919.1	lcl|NZ_AOWF01000113.1_cds_WP_000262844.1_2223	25.121	207	220
WP_011669919.1	lcl|NZ_AOWF01000155.1_cds_WP_001114267.1_3564	26.136	176	220
WP_020780109.1	lcl|NZ_AOWF01000155.1_cds_WP_001230564.1_3511	36.873	339	354
WP_020780109.1	lcl|NZ_AOWF01000155.1_cds_WP_000582618.1_3515	34.663	326	354
WP_020780109.1	lcl|NZ_AOWF01000126.1_cds_WP_001011675.1_2718	34.237	295	354
WP_020780109.1	lcl|NZ_AOWF01000155.1_cds_WP_001230564.1_3511	36.873	339	354
WP_020780109.1	lcl|NZ_AOWF01000155.1_cds_WP_000582618.1_3515	34.663	326	354
WP_020780109.1	lcl|NZ_AOWF01000126.1_cds_WP_001011675.1_2718	34.237	295	354
WP_011669921.1	lcl|NZ_AOWF01000005.1_cds_WP_001014594.1_15	29.577	213	230
WP_011669921.1	lcl|NZ_AOWF01000114.1_cds_WP_000721859.1_2238	32.743	113	230
WP_011669922.1	lcl|NZ_AOWF01000155.1_cds_WP_000698820.1_3521	41.857	614	599
WP_011669923.1	lcl|NZ_AOWF01000155.1_cds_WP_000582222.1_3497	37.805	246	387
WP_011669923.1	lcl|NZ_AOWF01000080.1_cds_WP_001281953.1_1463	31.989	372	387
WP_011669923.1	lcl|NZ_AOWF01000155.1_cds_WP_000608295.1_3487	33.898	236	387
WP_011669923.1	lcl|NZ_AOWF01000155.1_cds_WP_000947844.1_3509	32.700	263	387
WP_011669923.1	lcl|NZ_AOWF01000155.1_cds_WP_001198107.1_3486	37.864	206	387
WP_011669923.1	lcl|NZ_AOWF01000155.1_cds_WP_000346036.1_3516	26.944	360	387
WP_011669923.1	lcl|NZ_AOWF01000155.1_cds_WP_000575178.1_3555	28.269	283	387
WP_011669923.1	lcl|NZ_AOWF01000023.1_cds_WP_000538752.1_350	26.168	321	387
WP_011669923.1	lcl|NZ_AOWF01000134.1_cds_WP_001982414.1_2846	24.895	237	387
WP_011669924.1	lcl|NZ_AOWF01000155.1_cds_WP_000698820.1_3521	27.316	626	583
WP_020780103.1	lcl|NZ_AOWF01000068.1_cds_WP_000613386.1_1269	24.841	157	572
WP_020780103.1	lcl|NZ_AOWF01000114.1_cds_WP_000721859.1_2238	32.479	117	572
WP_020780103.1	lcl|NZ_AOWF01000068.1_cds_WP_000613386.1_1269	24.841	157	572
WP_020780103.1	lcl|NZ_AOWF01000114.1_cds_WP_000721859.1_2238	32.479	117	572
WP_011669926.1	lcl|NZ_AOWF01000080.1_cds_WP_001281953.1_1463	29.969	327	417
WP_011669926.1	lcl|NZ_AOWF01000155.1_cds_WP_001198107.1_3486	36.667	270	417
