WP_002725873.1	lcl|NZ_JADDWO010000005.1_cds_WP_002725873.1_2692	100.000	106	106
WP_011669917.1	lcl|NZ_JADDWO010000005.1_cds_WP_002733579.1_2693	99.677	310	318
WP_011669917.1	lcl|NZ_JADDWO010000005.1_cds_WP_002733534.1_2696	27.309	249	318
WP_011669917.1	lcl|NZ_JADDWO010000019.1_cds_WP_002722638.1_754	24.611	321	318
WP_011669917.1	lcl|NZ_JADDWO010000005.1_cds_WP_002740024.1_2787	23.132	281	318
WP_011669917.1	lcl|NZ_JADDWO010000006.1_cds_WP_002728309.1_2938	25.723	311	318
WP_011669917.1	lcl|NZ_JADDWO010000014.1_cds_WP_002743770.1_411	21.387	173	318
WP_011669917.1	lcl|NZ_JADDWO010000005.1_cds_WP_016749081.1_2725	23.841	151	318
WP_011669919.1	lcl|NZ_JADDWO010000031.1_cds_WP_032856387.1_1682	27.556	225	220
WP_011669919.1	lcl|NZ_JADDWO010000005.1_cds_WP_002742128.1_2783	26.609	233	220
WP_011669919.1	lcl|NZ_JADDWO010000005.1_cds_WP_002733661.1_2763	34.783	92	220
WP_011669919.1	lcl|NZ_JADDWO010000015.1_cds_WP_002731944.1_522	30.172	116	220
WP_011669919.1	lcl|NZ_JADDWO010000009.1_cds_WP_002726501.1_3387	30.851	94	220
WP_011669919.1	lcl|NZ_JADDWO010000005.1_cds_WP_002733618.1_2790	25.000	176	220
WP_011669919.1	lcl|NZ_JADDWO010000015.1_cds_WP_016749129.1_486	24.155	207	220
WP_020780109.1	lcl|NZ_JADDWO010000005.1_cds_WP_002740722.1_2736	36.607	336	354
WP_020780109.1	lcl|NZ_JADDWO010000005.1_cds_WP_002740726.1_2740	33.432	338	354
WP_020780109.1	lcl|NZ_JADDWO010000025.1_cds_WP_002730849.1_1250	34.722	288	354
WP_020780109.1	lcl|NZ_JADDWO010000005.1_cds_WP_002740722.1_2736	36.607	336	354
WP_020780109.1	lcl|NZ_JADDWO010000005.1_cds_WP_002740726.1_2740	33.432	338	354
WP_020780109.1	lcl|NZ_JADDWO010000025.1_cds_WP_002730849.1_1250	34.722	288	354
WP_011669921.1	lcl|NZ_JADDWO010000032.1_cds_WP_002738760.1_1712	30.144	209	230
WP_011669921.1	lcl|NZ_JADDWO010000013.1_cds_WP_002723863.1_326	30.631	111	230
WP_011669921.1	lcl|NZ_JADDWO010000005.1_cds_WP_002733600.1_2754	28.814	118	230
WP_011669922.1	lcl|NZ_JADDWO010000077.1_cds_WP_004278354.1_3110	28.550	655	599
WP_011669923.1	lcl|NZ_JADDWO010000051.1_cds_WP_002728994.1_2511	31.183	372	387
WP_011669923.1	lcl|NZ_JADDWO010000005.1_cds_WP_002740861.1_2701	33.475	236	387
WP_011669923.1	lcl|NZ_JADDWO010000005.1_cds_WP_002740826.1_2700	37.379	206	387
WP_011669923.1	lcl|NZ_JADDWO010000005.1_cds_WP_002733599.1_2734	31.939	263	387
WP_011669923.1	lcl|NZ_JADDWO010000005.1_cds_WP_002733737.1_2721	30.137	219	387
