WP_002725873.1	lcl|NZ_JADDVT010000005.1_cds_WP_002725873.1_2687	100.000	106	106
WP_011669917.1	lcl|NZ_JADDVT010000005.1_cds_WP_002733579.1_2688	99.677	310	318
WP_011669917.1	lcl|NZ_JADDVT010000005.1_cds_WP_002733534.1_2691	27.309	249	318
WP_011669917.1	lcl|NZ_JADDVT010000018.1_cds_WP_002722638.1_672	24.611	321	318
WP_011669917.1	lcl|NZ_JADDVT010000005.1_cds_WP_002740024.1_2782	23.132	281	318
WP_011669917.1	lcl|NZ_JADDVT010000006.1_cds_WP_002728309.1_2941	25.723	311	318
WP_011669917.1	lcl|NZ_JADDVT010000029.1_cds_WP_002743770.1_1418	21.387	173	318
WP_011669917.1	lcl|NZ_JADDVT010000005.1_cds_WP_016749081.1_2720	23.841	151	318
WP_011669919.1	lcl|NZ_JADDVT010000033.1_cds_WP_032856387.1_1718	27.556	225	220
WP_011669919.1	lcl|NZ_JADDVT010000005.1_cds_WP_002742128.1_2778	26.609	233	220
WP_011669919.1	lcl|NZ_JADDVT010000005.1_cds_WP_002733661.1_2758	34.783	92	220
WP_011669919.1	lcl|NZ_JADDVT010000019.1_cds_WP_002731944.1_737	30.172	116	220
WP_011669919.1	lcl|NZ_JADDVT010000009.1_cds_WP_002726501.1_3379	30.851	94	220
WP_011669919.1	lcl|NZ_JADDVT010000005.1_cds_WP_002733618.1_2785	25.000	176	220
WP_011669919.1	lcl|NZ_JADDVT010000063.1_cds_WP_016749129.1_2843	24.155	207	220
WP_020780109.1	lcl|NZ_JADDVT010000005.1_cds_WP_002740722.1_2731	36.607	336	354
WP_020780109.1	lcl|NZ_JADDVT010000005.1_cds_WP_002740726.1_2735	33.432	338	354
WP_020780109.1	lcl|NZ_JADDVT010000014.1_cds_WP_002730849.1_427	34.722	288	354
WP_020780109.1	lcl|NZ_JADDVT010000005.1_cds_WP_002740722.1_2731	36.607	336	354
WP_020780109.1	lcl|NZ_JADDVT010000005.1_cds_WP_002740726.1_2735	33.432	338	354
WP_020780109.1	lcl|NZ_JADDVT010000014.1_cds_WP_002730849.1_427	34.722	288	354
WP_011669921.1	lcl|NZ_JADDVT010000034.1_cds_WP_002738760.1_1764	30.144	209	230
WP_011669921.1	lcl|NZ_JADDVT010000013.1_cds_WP_002723863.1_325	30.631	111	230
WP_011669921.1	lcl|NZ_JADDVT010000005.1_cds_WP_002733600.1_2749	28.814	118	230
WP_011669922.1	lcl|NZ_JADDVT010000077.1_cds_WP_004278354.1_3110	28.550	655	599
WP_011669923.1	lcl|NZ_JADDVT010000024.1_cds_WP_002728994.1_1171	31.183	372	387
WP_011669923.1	lcl|NZ_JADDVT010000005.1_cds_WP_002740861.1_2696	33.475	236	387
WP_011669923.1	lcl|NZ_JADDVT010000005.1_cds_WP_002740826.1_2695	37.379	206	387
WP_011669923.1	lcl|NZ_JADDVT010000005.1_cds_WP_002733599.1_2729	31.939	263	387
WP_011669923.1	lcl|NZ_JADDVT010000005.1_cds_WP_002733737.1_2716	30.137	219	387
WP_011669923.1	lcl|NZ_JADDVT010000005.1_cds_WP_002740294.1_2776	31.095	283	387
WP_011669923.1	lcl|NZ_JADDVT010000006.1_cds_WP_002738884.1_2989	27.245	323	387
WP_011669923.1	lcl|NZ_JADDVT010000007.1_cds_WP_002724641.1_3205	23.706	367	387
WP_011669924.1	lcl|NZ_JADDVT010000077.1_cds_WP_004278354.1_3110	40.902	599	583
WP_020780103.1	lcl|NZ_JADDVT010000047.1_cds_WP_002740796.1_2288	23.622	127	572
WP_020780103.1	lcl|NZ_JADDVT010000005.1_cds_WP_002740235.1_2745	18.981	216	572
WP_020780103.1	lcl|NZ_JADDVT010000047.1_cds_WP_002740796.1_2288	23.622	127	572
WP_020780103.1	lcl|NZ_JADDVT010000005.1_cds_WP_002740235.1_2745	18.981	216	572
WP_011669926.1	lcl|NZ_JADDVT010000005.1_cds_WP_002740826.1_2695	36.296	270	417
WP_011669926.1	lcl|NZ_JADDVT010000024.1_cds_WP_002728994.1_1171	29.885	348	417
WP_011669926.1	lcl|NZ_JADDVT010000005.1_cds_WP_002740861.1_2696	33.562	292	417
