WP_002725873.1	lcl|NZ_RQFG01000019.1_cds_WP_135633099.1_1550	63.514	74	106
WP_011669917.1	lcl|NZ_RQFG01000019.1_cds_WP_135633097.1_1551	80.317	315	318
WP_011669917.1	lcl|NZ_RQFG01000005.1_cds_WP_135634167.1_1386	23.839	323	318
WP_011669917.1	lcl|NZ_RQFG01000005.1_cds_WP_135634215.1_1359	26.562	320	318
WP_011669917.1	lcl|NZ_RQFG01000019.1_cds_WP_135632088.1_1601	27.128	188	318
WP_011669917.1	lcl|NZ_RQFG01000019.1_cds_WP_135633059.1_1570	20.818	269	318
WP_011669917.1	lcl|NZ_RQFG01000005.1_cds_WP_135635229.1_773	22.590	332	318
WP_011669919.1	lcl|NZ_RQFG01000019.1_cds_WP_135633035.1_1583	35.079	191	220
WP_011669919.1	lcl|NZ_RQFG01000019.1_cds_WP_135632091.1_1604	34.646	127	220
WP_011669919.1	lcl|NZ_RQFG01000019.1_cds_WP_167482667.1_1582	33.333	105	220
WP_011669919.1	lcl|NZ_RQFG01000019.1_cds_WP_135632086.1_1599	25.234	214	220
WP_011669919.1	lcl|NZ_RQFG01000019.1_cds_WP_135632094.1_1607	33.673	98	220
WP_011669919.1	lcl|NZ_RQFG01000012.1_cds_WP_135636053.1_3080	32.039	103	220
WP_011669919.1	lcl|NZ_RQFG01000019.1_cds_WP_135632101.1_1613	31.959	97	220
WP_011669919.1	lcl|NZ_RQFG01000018.1_cds_WP_135633366.1_2721	32.110	109	220
WP_011669919.1	lcl|NZ_RQFG01000019.1_cds_WP_135632381.1_1977	31.481	108	220
WP_011669919.1	lcl|NZ_RQFG01000019.1_cds_WP_208742318.1_1605	26.733	101	220
WP_020780109.1	lcl|NZ_RQFG01000019.1_cds_WP_135633073.1_1563	32.011	353	354
WP_020780109.1	lcl|NZ_RQFG01000005.1_cds_WP_135636959.1_205	35.714	266	354
WP_020780109.1	lcl|NZ_RQFG01000019.1_cds_WP_135633073.1_1563	32.011	353	354
WP_020780109.1	lcl|NZ_RQFG01000005.1_cds_WP_135636959.1_205	35.714	266	354
WP_011669921.1	lcl|NZ_RQFG01000005.1_cds_WP_135634883.1_954	29.767	215	230
WP_011669921.1	lcl|NZ_RQFG01000005.1_cds_WP_135634909.1_939	26.050	119	230
WP_011669923.1	lcl|NZ_RQFG01000005.1_cds_WP_135635538.1_1102	29.974	387	387
WP_011669923.1	lcl|NZ_RQFG01000019.1_cds_WP_135633091.1_1554	29.730	259	387
WP_011669923.1	lcl|NZ_RQFG01000005.1_cds_WP_135636626.1_393	23.529	357	387
WP_020780103.1	lcl|NZ_RQFG01000019.1_cds_WP_135632275.1_1847	25.962	208	572
WP_020780103.1	lcl|NZ_RQFG01000005.1_cds_WP_135634883.1_954	27.843	255	572
WP_020780103.1	lcl|NZ_RQFG01000019.1_cds_WP_135632275.1_1847	25.962	208	572
WP_020780103.1	lcl|NZ_RQFG01000005.1_cds_WP_135634883.1_954	27.843	255	572
WP_011669926.1	lcl|NZ_RQFG01000005.1_cds_WP_135635538.1_1102	28.135	327	417
WP_011669926.1	lcl|NZ_RQFG01000019.1_cds_WP_135633091.1_1554	29.775	356	417
WP_011669926.1	lcl|NZ_RQFG01000005.1_cds_WP_135637239.1_29	28.632	234	417
WP_011669926.1	lcl|NZ_RQFG01000005.1_cds_WP_135636626.1_393	25.279	269	417
WP_004779587.1	lcl|NZ_RQFG01000018.1_cds_WP_135633463.1_2670	30.857	175	181
WP_020780101.1	lcl|NZ_RQFG01000005.1_cds_WP_135634273.1_1326	27.044	159	342
WP_020780101.1	lcl|NZ_RQFG01000005.1_cds_WP_135634273.1_1326	27.044	159	342
WP_004779589.1	lcl|NZ_RQFG01000018.1_cds_WP_244242078.1_2518	31.138	167	210
WP_004779589.1	lcl|NZ_RQFG01000018.1_cds_WP_135633517.1_2639	26.852	108	210
WP_004779589.1	lcl|NZ_RQFG01000016.1_cds_WP_135632035.1_3410	32.353	136	210
WP_004779550.1	lcl|NZ_RQFG01000005.1_cds_WP_135636336.1_550	38.158	76	244
WP_004779595.1	lcl|NZ_RQFG01000005.1_cds_WP_135634883.1_954	28.641	206	242
WP_004779595.1	lcl|NZ_RQFG01000005.1_cds_WP_135634909.1_939	27.679	112	242
WP_011669930.1	lcl|NZ_RQFG01000005.1_cds_WP_135634609.1_1123	29.762	252	255
WP_011669930.1	lcl|NZ_RQFG01000010.1_cds_WP_004787563.1_2791	28.800	250	255
WP_011669930.1	lcl|NZ_RQFG01000010.1_cds_WP_135631549.1_2861	27.907	258	255
WP_011669930.1	lcl|NZ_RQFG01000019.1_cds_WP_135632442.1_2054	28.906	256	255
WP_011669930.1	lcl|NZ_RQFG01000016.1_cds_WP_135632046.1_3398	28.063	253	255
WP_011669930.1	lcl|NZ_RQFG01000005.1_cds_WP_135634662.1_1092	25.188	266	255
WP_011669930.1	lcl|NZ_RQFG01000005.1_cds_WP_135636479.1_465	27.568	185	255
WP_011669930.1	lcl|NZ_RQFG01000019.1_cds_WP_135632105.1_1618	25.556	270	255
WP_011669930.1	lcl|NZ_RQFG01000005.1_cds_WP_135636607.1_402	25.773	194	255
WP_011669930.1	lcl|NZ_RQFG01000005.1_cds_WP_135634238.1_1345	23.936	188	255
WP_011669930.1	lcl|NZ_RQFG01000018.1_cds_WP_135633440.1_2683	23.590	195	255
WP_011669930.1	lcl|NZ_RQFG01000019.1_cds_WP_135632088.1_1601	26.961	204	255
WP_011669930.1	lcl|NZ_RQFG01000005.1_cds_WP_135634167.1_1386	37.681	69	255
WP_011669930.1	lcl|NZ_RQFG01000010.1_cds_WP_135631542.1_2855	25.773	194	255
WP_011669930.1	lcl|NZ_RQFG01000018.1_cds_WP_135633413.1_2695	25.506	247	255
WP_011669930.1	lcl|NZ_RQFG01000005.1_cds_WP_135636256.1_594	24.615	195	255
WP_011669930.1	lcl|NZ_RQFG01000010.1_cds_WP_135631679.1_2964	22.010	209	255
WP_011669930.1	lcl|NZ_RQFG01000019.1_cds_WP_135632444.1_2056	22.951	183	255
WP_011669931.1	lcl|NZ_RQFG01000005.1_cds_WP_135634339.1_1288	32.087	321	314
WP_011669931.1	lcl|NZ_RQFG01000018.1_cds_WP_135633452.1_2676	25.430	291	314
WP_011669931.1	lcl|NZ_RQFG01000012.1_cds_WP_135635791.1_3244	25.373	201	314
WP_004779598.1	lcl|NZ_RQFG01000005.1_cds_WP_135636959.1_205	36.052	233	282
WP_004779598.1	lcl|NZ_RQFG01000019.1_cds_WP_135633073.1_1563	31.724	290	282
WP_011669932.1	lcl|NZ_RQFG01000005.1_cds_WP_135635538.1_1102	37.157	401	401
WP_011669932.1	lcl|NZ_RQFG01000019.1_cds_WP_135633091.1_1554	30.848	389	401
WP_011669932.1	lcl|NZ_RQFG01000005.1_cds_WP_135636626.1_393	25.445	393	401
WP_011669932.1	lcl|NZ_RQFG01000005.1_cds_WP_135637239.1_29	27.095	358	401
WP_011669933.1	lcl|NZ_RQFG01000005.1_cds_WP_135636913.1_232	33.942	274	568
WP_011669933.1	lcl|NZ_RQFG01000005.1_cds_WP_135634674.1_1083	33.036	224	568
