WP_002725873.1	lcl|NZ_AOVF01000047.1_cds_WP_000340715.1_684	93.902	82	106
WP_011669917.1	lcl|NZ_AOVF01000047.1_cds_WP_000410273.1_685	92.903	310	318
WP_011669917.1	lcl|NZ_AOVF01000047.1_cds_WP_000093099.1_705	58.730	63	318
WP_011669917.1	lcl|NZ_AOVF01000047.1_cds_WP_000646252.1_688	28.112	249	318
WP_011669917.1	lcl|NZ_AOVF01000125.1_cds_WP_000744700.1_2885	23.148	324	318
WP_011669917.1	lcl|NZ_AOVF01000047.1_cds_WP_000600889.1_714	23.273	275	318
WP_011669917.1	lcl|NZ_AOVF01000047.1_cds_WP_000723090.1_767	23.875	289	318
WP_011669917.1	lcl|NZ_AOVF01000047.1_cds_WP_001067557.1_691	23.708	329	318
WP_011669918.1	lcl|NZ_AOVF01000047.1_cds_WP_000202830.1_724	42.776	353	361
WP_011669919.1	lcl|NZ_AOVF01000047.1_cds_WP_000282880.1_763	37.903	124	220
WP_011669919.1	lcl|NZ_AOVF01000025.1_cds_WP_001099029.1_316	27.803	223	220
WP_011669919.1	lcl|NZ_AOVF01000047.1_cds_WP_001068986.1_742	31.522	92	220
WP_011669919.1	lcl|NZ_AOVF01000083.1_cds_WP_000840858.1_1752	29.808	104	220
WP_011669919.1	lcl|NZ_AOVF01000068.1_cds_WP_000868621.1_1300	29.670	91	220
WP_011669919.1	lcl|NZ_AOVF01000052.1_cds_WP_000262844.1_842	25.121	207	220
WP_011669919.1	lcl|NZ_AOVF01000047.1_cds_WP_001114267.1_770	26.136	176	220
WP_020780109.1	lcl|NZ_AOVF01000047.1_cds_WP_001230564.1_717	36.873	339	354
WP_020780109.1	lcl|NZ_AOVF01000047.1_cds_WP_000582618.1_721	34.663	326	354
WP_020780109.1	lcl|NZ_AOVF01000106.1_cds_WP_001011675.1_2425	34.237	295	354
WP_020780109.1	lcl|NZ_AOVF01000047.1_cds_WP_001230564.1_717	36.873	339	354
WP_020780109.1	lcl|NZ_AOVF01000047.1_cds_WP_000582618.1_721	34.663	326	354
WP_020780109.1	lcl|NZ_AOVF01000106.1_cds_WP_001011675.1_2425	34.237	295	354
WP_011669921.1	lcl|NZ_AOVF01000118.1_cds_WP_001014594.1_2749	29.577	213	230
WP_011669921.1	lcl|NZ_AOVF01000131.1_cds_WP_000721859.1_3047	32.743	113	230
WP_011669922.1	lcl|NZ_AOVF01000047.1_cds_WP_000698820.1_727	41.857	614	599
WP_011669923.1	lcl|NZ_AOVF01000047.1_cds_WP_000582222.1_703	37.805	246	387
WP_011669923.1	lcl|NZ_AOVF01000061.1_cds_WP_001281953.1_1076	31.989	372	387
WP_011669923.1	lcl|NZ_AOVF01000047.1_cds_WP_000608295.1_693	33.898	236	387
WP_011669923.1	lcl|NZ_AOVF01000047.1_cds_WP_000947844.1_715	32.700	263	387
WP_011669923.1	lcl|NZ_AOVF01000047.1_cds_WP_001198107.1_692	37.864	206	387
WP_011669923.1	lcl|NZ_AOVF01000047.1_cds_WP_000346036.1_722	26.944	360	387
WP_011669923.1	lcl|NZ_AOVF01000047.1_cds_WP_000575178.1_761	28.269	283	387
WP_011669923.1	lcl|NZ_AOVF01000131.1_cds_WP_000538752.1_3065	26.168	321	387
WP_011669923.1	lcl|NZ_AOVF01000102.1_cds_WP_001982414.1_2189	24.895	237	387
WP_011669924.1	lcl|NZ_AOVF01000047.1_cds_WP_000698820.1_727	27.316	626	583
WP_020780103.1	lcl|NZ_AOVF01000020.1_cds_WP_000613386.1_222	24.841	157	572
WP_020780103.1	lcl|NZ_AOVF01000131.1_cds_WP_000721859.1_3047	32.479	117	572
WP_020780103.1	lcl|NZ_AOVF01000020.1_cds_WP_000613386.1_222	24.841	157	572
WP_020780103.1	lcl|NZ_AOVF01000131.1_cds_WP_000721859.1_3047	32.479	117	572
WP_011669926.1	lcl|NZ_AOVF01000061.1_cds_WP_001281953.1_1076	29.969	327	417
