WP_002725873.1	lcl|NZ_JQOL01000109.1_cds_WP_000340715.1_2561	93.902	82	106
WP_011669917.1	lcl|NZ_JQOL01000109.1_cds_WP_000410273.1_2562	92.903	310	318
WP_011669917.1	lcl|NZ_JQOL01000109.1_cds_WP_000646249.1_2565	28.112	249	318
WP_011669917.1	lcl|NZ_JQOL01000020.1_cds_WP_000744704.1_624	23.148	324	318
WP_011669917.1	lcl|NZ_JQOL01000109.1_cds_WP_001033107.1_2587	22.180	266	318
WP_011669917.1	lcl|NZ_JQOL01000104.1_cds_WP_000723090.1_2518	23.875	289	318
WP_011669917.1	lcl|NZ_JQOL01000109.1_cds_WP_001067556.1_2568	23.708	329	318
WP_011669919.1	lcl|NZ_JQOL01000104.1_cds_WP_000282884.1_2522	37.097	124	220
WP_011669919.1	lcl|NZ_JQOL01000044.1_cds_WP_061239591.1_1326	27.803	223	220
WP_011669919.1	lcl|NZ_JQOL01000088.1_cds_WP_000840860.1_2257	29.808	104	220
WP_011669919.1	lcl|NZ_JQOL01000109.1_cds_WP_000730131.1_2576	30.928	97	220
WP_011669919.1	lcl|NZ_JQOL01000007.1_cds_WP_000868621.1_179	29.670	91	220
WP_011669919.1	lcl|NZ_JQOL01000104.1_cds_WP_001114264.1_2515	26.136	176	220
WP_011669919.1	lcl|NZ_JQOL01000114.1_cds_WP_000262844.1_2729	25.121	207	220
WP_020780109.1	lcl|NZ_JQOL01000109.1_cds_WP_061239844.1_2602	32.102	352	354
WP_020780109.1	lcl|NZ_JQOL01000102.1_cds_WP_001011674.1_2470	34.237	295	354
WP_020780109.1	lcl|NZ_JQOL01000109.1_cds_WP_061239844.1_2602	32.102	352	354
WP_020780109.1	lcl|NZ_JQOL01000102.1_cds_WP_001011674.1_2470	34.237	295	354
WP_011669921.1	lcl|NZ_JQOL01000109.1_cds_WP_000691020.1_2599	42.771	166	230
WP_011669921.1	lcl|NZ_JQOL01000051.1_cds_WP_045192941.1_1503	29.577	213	230
WP_011669921.1	lcl|NZ_JQOL01000089.1_cds_WP_000721859.1_2266	32.743	113	230
WP_011669923.1	lcl|NZ_JQOL01000109.1_cds_WP_000331752.1_2591	37.805	246	387
WP_011669923.1	lcl|NZ_JQOL01000010.1_cds_WP_002188046.1_240	31.989	372	387
WP_011669923.1	lcl|NZ_JQOL01000109.1_cds_WP_000172653.1_2597	32.016	253	387
WP_011669923.1	lcl|NZ_JQOL01000109.1_cds_WP_000575178.1_2633	28.269	283	387
WP_011669923.1	lcl|NZ_JQOL01000035.1_cds_WP_000538750.1_1049	26.168	321	387
WP_011669923.1	lcl|NZ_JQOL01000011.1_cds_WP_001982414.1_286	24.895	237	387
WP_020780103.1	lcl|NZ_JQOL01000109.1_cds_WP_000691020.1_2599	35.802	243	572
WP_020780103.1	lcl|NZ_JQOL01000028.1_cds_WP_000613386.1_857	24.841	157	572
WP_020780103.1	lcl|NZ_JQOL01000089.1_cds_WP_000721859.1_2266	32.479	117	572
WP_020780103.1	lcl|NZ_JQOL01000109.1_cds_WP_000691020.1_2599	35.802	243	572
WP_020780103.1	lcl|NZ_JQOL01000028.1_cds_WP_000613386.1_857	24.841	157	572
WP_020780103.1	lcl|NZ_JQOL01000089.1_cds_WP_000721859.1_2266	32.479	117	572
WP_011669926.1	lcl|NZ_JQOL01000010.1_cds_WP_002188046.1_240	29.664	327	417
WP_011669926.1	lcl|NZ_JQOL01000109.1_cds_WP_000575178.1_2633	34.749	259	417
WP_011669926.1	lcl|NZ_JQOL01000109.1_cds_WP_000331752.1_2591	37.850	214	417
WP_011669926.1	lcl|NZ_JQOL01000109.1_cds_WP_000172653.1_2597	29.938	324	417
WP_011669926.1	lcl|NZ_JQOL01000035.1_cds_WP_000538750.1_1049	25.258	388	417
WP_011669926.1	lcl|NZ_JQOL01000011.1_cds_WP_001982414.1_286	24.686	239	417
WP_004779587.1	lcl|NZ_JQOL01000109.1_cds_WP_001975371.1_2603	27.857	140	181
WP_020780101.1	lcl|NZ_JQOL01000241.1_cds_WP_000870126.1_3903	25.503	149	342
WP_020780101.1	lcl|NZ_JQOL01000241.1_cds_WP_000870126.1_3903	25.503	149	342
WP_011669928.1	lcl|NZ_JQOL01000028.1_cds_WP_000613386.1_857	22.308	130	362
WP_011669928.1	lcl|NZ_JQOL01000028.1_cds_WP_000613386.1_857	22.308	130	362
WP_004779589.1	lcl|NZ_JQOL01000137.1_cds_WP_000482996.1_3075	31.373	102	210
WP_004779589.1	lcl|NZ_JQOL01000042.1_cds_WP_000012765.1_1232	30.833	120	210
WP_004779550.1	lcl|NZ_JQOL01000109.1_cds_WP_000517242.1_2575	32.941	85	244
WP_004779595.1	lcl|NZ_JQOL01000109.1_cds_WP_000691020.1_2599	33.043	230	242
WP_004779595.1	lcl|NZ_JQOL01000051.1_cds_WP_045192941.1_1503	31.100	209	242
WP_011669930.1	lcl|NZ_JQOL01000023.1_cds_WP_000998676.1_685	31.474	251	255
WP_011669930.1	lcl|NZ_JQOL01000109.1_cds_WP_000412931.1_2609	28.846	260	255
WP_011669930.1	lcl|NZ_JQOL01000043.1_cds_WP_000566240.1_1274	34.884	172	255
WP_011669930.1	lcl|NZ_JQOL01000027.1_cds_WP_000043153.1_766	26.038	265	255
WP_011669930.1	lcl|NZ_JQOL01000043.1_cds_WP_001968389.1_1302	27.757	263	255
WP_011669930.1	lcl|NZ_JQOL01000040.1_cds_WP_000653653.1_1190	27.481	262	255
WP_011669930.1	lcl|NZ_JQOL01000117.1_cds_WP_000351753.1_2776	24.164	269	255
WP_011669930.1	lcl|NZ_JQOL01000109.1_cds_WP_000750438.1_2613	23.622	254	255
WP_011669930.1	lcl|NZ_JQOL01000013.1_cds_WP_042751881.1_350	27.568	185	255
WP_011669930.1	lcl|NZ_JQOL01000076.1_cds_WP_001069862.1_1970	26.220	164	255
WP_011669930.1	lcl|NZ_JQOL01000104.1_cds_WP_000723090.1_2518	27.861	201	255
WP_011669930.1	lcl|NZ_JQOL01000076.1_cds_WP_002067215.1_1965	27.320	194	255
WP_011669930.1	lcl|NZ_JQOL01000045.1_cds_WP_000093664.1_1378	23.000	200	255
WP_011669930.1	lcl|NZ_JQOL01000020.1_cds_WP_000744704.1_624	33.333	72	255
WP_011669930.1	lcl|NZ_JQOL01000058.1_cds_WP_001074690.1_1636	24.352	193	255
