WP_002725873.1	lcl|NZ_AOVI01000120.1_cds_WP_000340715.1_2886	93.902	82	106
WP_011669917.1	lcl|NZ_AOVI01000120.1_cds_WP_000410273.1_2885	92.903	310	318
WP_011669917.1	lcl|NZ_AOVI01000120.1_cds_WP_000093099.1_2865	58.730	63	318
WP_011669917.1	lcl|NZ_AOVI01000120.1_cds_WP_000646250.1_2882	28.112	249	318
WP_011669917.1	lcl|NZ_AOVI01000133.1_cds_WP_000744700.1_3284	23.148	324	318
WP_011669917.1	lcl|NZ_AOVI01000120.1_cds_WP_000600889.1_2856	23.273	275	318
WP_011669917.1	lcl|NZ_AOVI01000064.1_cds_WP_000723090.1_1412	23.875	289	318
WP_011669917.1	lcl|NZ_AOVI01000120.1_cds_WP_001067557.1_2879	23.708	329	318
WP_011669918.1	lcl|NZ_AOVI01000120.1_cds_WP_000202830.1_2846	42.776	353	361
WP_011669919.1	lcl|NZ_AOVI01000064.1_cds_WP_000282880.1_1408	37.903	124	220
WP_011669919.1	lcl|NZ_AOVI01000074.1_cds_WP_001099029.1_1691	27.803	223	220
WP_011669919.1	lcl|NZ_AOVI01000120.1_cds_WP_001068986.1_2828	31.522	92	220
WP_011669919.1	lcl|NZ_AOVI01000033.1_cds_WP_000840858.1_881	29.808	104	220
WP_011669919.1	lcl|NZ_AOVI01000058.1_cds_WP_000868621.1_1314	29.670	91	220
WP_011669919.1	lcl|NZ_AOVI01000065.1_cds_WP_000262844.1_1445	25.121	207	220
WP_011669919.1	lcl|NZ_AOVI01000064.1_cds_WP_001114267.1_1415	26.136	176	220
WP_020780109.1	lcl|NZ_AOVI01000120.1_cds_WP_001230564.1_2853	36.873	339	354
WP_020780109.1	lcl|NZ_AOVI01000120.1_cds_WP_000582618.1_2849	34.663	326	354
WP_020780109.1	lcl|NZ_AOVI01000018.1_cds_WP_001011675.1_317	34.237	295	354
WP_020780109.1	lcl|NZ_AOVI01000120.1_cds_WP_001230564.1_2853	36.873	339	354
WP_020780109.1	lcl|NZ_AOVI01000120.1_cds_WP_000582618.1_2849	34.663	326	354
WP_020780109.1	lcl|NZ_AOVI01000018.1_cds_WP_001011675.1_317	34.237	295	354
WP_011669921.1	lcl|NZ_AOVI01000104.1_cds_WP_001014594.1_2363	29.577	213	230
WP_011669921.1	lcl|NZ_AOVI01000099.1_cds_WP_000721859.1_2242	32.743	113	230
WP_011669922.1	lcl|NZ_AOVI01000120.1_cds_WP_000698820.1_2843	41.857	614	599
WP_011669923.1	lcl|NZ_AOVI01000120.1_cds_WP_000582222.1_2867	37.805	246	387
WP_011669923.1	lcl|NZ_AOVI01000116.1_cds_WP_001281953.1_2721	31.989	372	387
WP_011669923.1	lcl|NZ_AOVI01000120.1_cds_WP_000608295.1_2877	33.898	236	387
WP_011669923.1	lcl|NZ_AOVI01000120.1_cds_WP_000947844.1_2855	32.700	263	387
WP_011669923.1	lcl|NZ_AOVI01000120.1_cds_WP_001198107.1_2878	37.864	206	387
WP_011669923.1	lcl|NZ_AOVI01000120.1_cds_WP_000346036.1_2848	26.944	360	387
WP_011669923.1	lcl|NZ_AOVI01000120.1_cds_WP_000575178.1_2809	28.269	283	387
WP_011669923.1	lcl|NZ_AOVI01000099.1_cds_WP_000538752.1_2224	26.168	321	387
WP_011669923.1	lcl|NZ_AOVI01000122.1_cds_WP_001982414.1_2959	24.895	237	387
WP_011669924.1	lcl|NZ_AOVI01000120.1_cds_WP_000698820.1_2843	27.316	626	583
WP_020780103.1	lcl|NZ_AOVI01000114.1_cds_WP_000613386.1_2675	24.841	157	572
WP_020780103.1	lcl|NZ_AOVI01000099.1_cds_WP_000721859.1_2242	32.479	117	572
WP_020780103.1	lcl|NZ_AOVI01000114.1_cds_WP_000613386.1_2675	24.841	157	572
WP_020780103.1	lcl|NZ_AOVI01000099.1_cds_WP_000721859.1_2242	32.479	117	572
WP_011669926.1	lcl|NZ_AOVI01000116.1_cds_WP_001281953.1_2721	29.969	327	417
WP_011669926.1	lcl|NZ_AOVI01000120.1_cds_WP_001198107.1_2878	36.667	270	417
WP_011669926.1	lcl|NZ_AOVI01000120.1_cds_WP_000575178.1_2809	34.749	259	417
WP_011669926.1	lcl|NZ_AOVI01000120.1_cds_WP_000608295.1_2877	33.219	292	417
WP_011669926.1	lcl|NZ_AOVI01000120.1_cds_WP_000346036.1_2848	29.367	395	417
WP_011669926.1	lcl|NZ_AOVI01000120.1_cds_WP_000582222.1_2867	37.850	214	417
WP_011669926.1	lcl|NZ_AOVI01000120.1_cds_WP_000947844.1_2855	28.044	271	417
WP_011669926.1	lcl|NZ_AOVI01000099.1_cds_WP_000538752.1_2224	25.130	386	417
WP_011669926.1	lcl|NZ_AOVI01000122.1_cds_WP_001982414.1_2959	24.686	239	417
WP_020780101.1	lcl|NZ_AOVI01000069.1_cds_WP_000870126.1_1512	25.503	149	342
WP_020780101.1	lcl|NZ_AOVI01000069.1_cds_WP_000870126.1_1512	25.503	149	342
WP_011669928.1	lcl|NZ_AOVI01000114.1_cds_WP_000613386.1_2675	22.308	130	362
WP_011669928.1	lcl|NZ_AOVI01000114.1_cds_WP_000613386.1_2675	22.308	130	362
WP_004779589.1	lcl|NZ_AOVI01000138.1_cds_WP_000012765.1_3379	30.833	120	210
WP_004779550.1	lcl|NZ_AOVI01000120.1_cds_WP_000517242.1_2870	32.941	85	244
WP_004779595.1	lcl|NZ_AOVI01000104.1_cds_WP_001014594.1_2363	31.100	209	242
WP_004779595.1	lcl|NZ_AOVI01000120.1_cds_WP_000848239.1_2838	31.092	119	242
WP_011669930.1	lcl|NZ_AOVI01000113.1_cds_WP_000998676.1_2652	31.474	251	255
WP_011669930.1	lcl|NZ_AOVI01000149.1_cds_WP_000566240.1_3697	34.884	172	255
WP_011669930.1	lcl|NZ_AOVI01000088.1_cds_WP_000043153.1_1959	26.038	265	255
WP_011669930.1	lcl|NZ_AOVI01000149.1_cds_WP_001968389.1_3669	27.757	263	255
