WP_002725873.1	lcl|NZ_AFLP01000207.1_cds_WP_000340715.1_1625	93.902	82	106
WP_011669917.1	lcl|NZ_AFLP01000207.1_cds_WP_000410273.1_1624	92.903	310	318
WP_011669917.1	lcl|NZ_AFLP01000207.1_cds_WP_000646255.1_1621	28.112	249	318
WP_011669917.1	lcl|NZ_AFLP01000070.1_cds_WP_000744695.1_3217	23.148	324	318
WP_011669917.1	lcl|NZ_AFLP01000076.1_cds_WP_000600891.1_3076	23.273	275	318
WP_011669917.1	lcl|NZ_AFLP01000076.1_cds_WP_000723081.1_3024	23.875	289	318
WP_011669917.1	lcl|NZ_AFLP01000056.1_cds_WP_000649929.1_3532	25.382	327	318
WP_011669917.1	lcl|NZ_AFLP01000207.1_cds_WP_001067557.1_1618	23.708	329	318
WP_011669918.1	lcl|NZ_AFLP01000076.1_cds_WP_000202832.1_3066	42.776	353	361
WP_011669919.1	lcl|NZ_AFLP01000076.1_cds_WP_000282882.1_3028	37.097	124	220
WP_011669919.1	lcl|NZ_AFLP01000229.1_cds_WP_001099039.1_1320	27.803	223	220
WP_011669919.1	lcl|NZ_AFLP01000076.1_cds_WP_001068984.1_3048	31.522	92	220
WP_011669919.1	lcl|NZ_AFLP01000380.1_cds_WP_000840861.1_439	29.808	104	220
WP_011669919.1	lcl|NZ_AFLP01000063.1_cds_WP_000868621.1_3384	29.670	91	220
WP_011669919.1	lcl|NZ_AFLP01000076.1_cds_WP_001114262.1_3021	26.136	176	220
WP_011669919.1	lcl|NZ_AFLP01000263.1_cds_WP_000262844.1_956	25.121	207	220
WP_020780109.1	lcl|NZ_AFLP01000076.1_cds_WP_001230563.1_3073	36.873	339	354
WP_020780109.1	lcl|NZ_AFLP01000076.1_cds_WP_000582623.1_3069	34.969	326	354
WP_020780109.1	lcl|NZ_AFLP01000058.1_cds_WP_001011666.1_3504	34.576	295	354
WP_020780109.1	lcl|NZ_AFLP01000076.1_cds_WP_001230563.1_3073	36.873	339	354
WP_020780109.1	lcl|NZ_AFLP01000076.1_cds_WP_000582623.1_3069	34.969	326	354
WP_020780109.1	lcl|NZ_AFLP01000058.1_cds_WP_001011666.1_3504	34.576	295	354
WP_011669921.1	lcl|NZ_AFLP01000281.1_cds_WP_001014594.1_784	29.577	213	230
WP_011669921.1	lcl|NZ_AFLP01000157.1_cds_WP_000721855.1_2047	33.613	119	230
WP_011669922.1	lcl|NZ_AFLP01000076.1_cds_WP_000698813.1_3063	42.020	614	599
WP_011669923.1	lcl|NZ_AFLP01000117.1_cds_WP_001281953.1_2485	31.989	372	387
WP_011669923.1	lcl|NZ_AFLP01000207.1_cds_WP_000608291.1_1616	33.898	236	387
