WP_002725873.1	lcl|NZ_AOWR01000126.1_cds_WP_000340715.1_2810	93.902	82	106
WP_011669917.1	lcl|NZ_AOWR01000126.1_cds_WP_000410273.1_2811	92.903	310	318
WP_011669917.1	lcl|NZ_AOWR01000126.1_cds_WP_000093099.1_2831	58.730	63	318
WP_011669917.1	lcl|NZ_AOWR01000126.1_cds_WP_000646250.1_2814	28.112	249	318
WP_011669917.1	lcl|NZ_AOWR01000116.1_cds_WP_000744700.1_2253	23.148	324	318
WP_011669917.1	lcl|NZ_AOWR01000126.1_cds_WP_000600889.1_2840	23.273	275	318
WP_011669917.1	lcl|NZ_AOWR01000126.1_cds_WP_000723090.1_2893	23.875	289	318
WP_011669917.1	lcl|NZ_AOWR01000126.1_cds_WP_001067557.1_2817	23.708	329	318
WP_011669918.1	lcl|NZ_AOWR01000126.1_cds_WP_000202830.1_2850	42.776	353	361
WP_011669919.1	lcl|NZ_AOWR01000126.1_cds_WP_000282880.1_2889	37.903	124	220
WP_011669919.1	lcl|NZ_AOWR01000022.1_cds_WP_001099029.1_225	27.803	223	220
WP_011669919.1	lcl|NZ_AOWR01000126.1_cds_WP_001068986.1_2868	31.522	92	220
WP_011669919.1	lcl|NZ_AOWR01000043.1_cds_WP_000840858.1_542	29.808	104	220
WP_011669919.1	lcl|NZ_AOWR01000110.1_cds_WP_000868621.1_2004	29.670	91	220
WP_011669919.1	lcl|NZ_AOWR01000138.1_cds_WP_000262844.1_3485	25.121	207	220
WP_011669919.1	lcl|NZ_AOWR01000126.1_cds_WP_001114267.1_2896	26.136	176	220
WP_020780109.1	lcl|NZ_AOWR01000126.1_cds_WP_001230564.1_2843	36.873	339	354
WP_020780109.1	lcl|NZ_AOWR01000126.1_cds_WP_000582618.1_2847	34.663	326	354
WP_020780109.1	lcl|NZ_AOWR01000063.1_cds_WP_001011675.1_896	34.237	295	354
WP_020780109.1	lcl|NZ_AOWR01000126.1_cds_WP_001230564.1_2843	36.873	339	354
WP_020780109.1	lcl|NZ_AOWR01000126.1_cds_WP_000582618.1_2847	34.663	326	354
WP_020780109.1	lcl|NZ_AOWR01000063.1_cds_WP_001011675.1_896	34.237	295	354
WP_011669921.1	lcl|NZ_AOWR01000086.1_cds_WP_001014594.1_1392	29.577	213	230
WP_011669921.1	lcl|NZ_AOWR01000009.1_cds_WP_000721859.1_74	32.743	113	230
WP_011669922.1	lcl|NZ_AOWR01000126.1_cds_WP_000698820.1_2853	41.857	614	599
WP_011669923.1	lcl|NZ_AOWR01000126.1_cds_WP_000582222.1_2829	37.805	246	387
WP_011669923.1	lcl|NZ_AOWR01000033.1_cds_WP_001281953.1_415	31.989	372	387
WP_011669923.1	lcl|NZ_AOWR01000126.1_cds_WP_000608295.1_2819	33.898	236	387
WP_011669923.1	lcl|NZ_AOWR01000126.1_cds_WP_000947844.1_2841	32.700	263	387
WP_011669923.1	lcl|NZ_AOWR01000126.1_cds_WP_001198107.1_2818	37.864	206	387
WP_011669923.1	lcl|NZ_AOWR01000126.1_cds_WP_000346036.1_2848	26.944	360	387
WP_011669923.1	lcl|NZ_AOWR01000126.1_cds_WP_000575178.1_2887	28.269	283	387
WP_011669923.1	lcl|NZ_AOWR01000009.1_cds_WP_000538752.1_92	26.168	321	387
