WP_002725873.1	lcl|NZ_JQRF01000103.1_cds_WP_017214669.1_2902	92.683	82	106
WP_011669917.1	lcl|NZ_JQRF01000103.1_cds_WP_017214670.1_2903	91.935	310	318
WP_011669917.1	lcl|NZ_JQRF01000031.1_cds_WP_017214696.1_1153	24.164	269	318
WP_011669917.1	lcl|NZ_JQRF01000103.1_cds_WP_017214673.1_2906	27.799	259	318
WP_011669917.1	lcl|NZ_JQRF01000013.1_cds_WP_017215072.1_482	24.074	324	318
WP_011669917.1	lcl|NZ_JQRF01000049.1_cds_WP_017214755.1_1587	22.945	292	318
WP_011669917.1	lcl|NZ_JQRF01000041.1_cds_WP_002179265.1_1330	25.362	276	318
WP_011669919.1	lcl|NZ_JQRF01000049.1_cds_WP_020981233.1_1591	26.087	207	220
WP_011669919.1	lcl|NZ_JQRF01000116.1_cds_WP_017214492.1_3160	26.457	223	220
WP_011669919.1	lcl|NZ_JQRF01000100.1_cds_WP_002177122.1_2857	29.808	104	220
WP_011669919.1	lcl|NZ_JQRF01000064.1_cds_WP_002176998.1_2027	29.670	91	220
WP_011669919.1	lcl|NZ_JQRF01000028.1_cds_WP_002177414.1_1064	25.121	207	220
WP_011669919.1	lcl|NZ_JQRF01000049.1_cds_WP_017214757.1_1584	25.143	175	220
WP_020780109.1	lcl|NZ_JQRF01000031.1_cds_WP_017214713.1_1136	31.073	354	354
WP_020780109.1	lcl|NZ_JQRF01000026.1_cds_WP_020980987.1_933	33.922	283	354
WP_020780109.1	lcl|NZ_JQRF01000031.1_cds_WP_017214713.1_1136	31.073	354	354
WP_020780109.1	lcl|NZ_JQRF01000026.1_cds_WP_020980987.1_933	33.922	283	354
WP_011669921.1	lcl|NZ_JQRF01000031.1_cds_WP_020981175.1_1140	41.566	166	230
WP_011669921.1	lcl|NZ_JQRF01000065.1_cds_WP_020980864.1_2076	26.923	208	230
WP_011669921.1	lcl|NZ_JQRF01000113.1_cds_WP_002180250.1_3103	30.000	110	230
WP_011669923.1	lcl|NZ_JQRF01000031.1_cds_WP_017214700.1_1149	36.863	255	387
WP_011669923.1	lcl|NZ_JQRF01000002.1_cds_WP_017215259.1_77	31.892	370	387
WP_011669923.1	lcl|NZ_JQRF01000031.1_cds_WP_017214708.1_1142	26.923	364	387
WP_011669923.1	lcl|NZ_JQRF01000049.1_cds_WP_017214751.1_1593	28.269	283	387
WP_011669923.1	lcl|NZ_JQRF01000185.1_cds_WP_017214038.1_3782	27.273	275	387
WP_011669923.1	lcl|NZ_JQRF01000034.1_cds_WP_017213985.1_1173	24.731	372	387
WP_020780103.1	lcl|NZ_JQRF01000031.1_cds_WP_020981175.1_1140	35.950	242	572
WP_020780103.1	lcl|NZ_JQRF01000108.1_cds_WP_017215756.1_2970	22.835	127	572
WP_020780103.1	lcl|NZ_JQRF01000031.1_cds_WP_020981175.1_1140	35.950	242	572
WP_020780103.1	lcl|NZ_JQRF01000108.1_cds_WP_017215756.1_2970	22.835	127	572
WP_011669926.1	lcl|NZ_JQRF01000002.1_cds_WP_017215259.1_77	29.358	327	417
WP_011669926.1	lcl|NZ_JQRF01000031.1_cds_WP_017214708.1_1142	29.213	356	417
WP_011669926.1	lcl|NZ_JQRF01000049.1_cds_WP_017214751.1_1593	33.858	254	417
WP_011669926.1	lcl|NZ_JQRF01000031.1_cds_WP_017214700.1_1149	36.916	214	417
WP_011669926.1	lcl|NZ_JQRF01000185.1_cds_WP_017214038.1_3782	25.722	381	417
WP_011669926.1	lcl|NZ_JQRF01000034.1_cds_WP_017213985.1_1173	25.941	239	417
WP_004779587.1	lcl|NZ_JQRF01000031.1_cds_WP_017214714.1_1135	26.429	140	181
WP_004779587.1	lcl|NZ_JQRF01000031.1_cds_WP_017214712.1_1137	26.027	146	181
WP_020780101.1	lcl|NZ_JQRF01000188.1_cds_WP_017215664.1_3801	25.352	142	342
WP_020780101.1	lcl|NZ_JQRF01000188.1_cds_WP_017215664.1_3801	25.352	142	342
WP_011669928.1	lcl|NZ_JQRF01000108.1_cds_WP_017215756.1_2970	23.967	121	362
WP_011669928.1	lcl|NZ_JQRF01000108.1_cds_WP_017215756.1_2970	23.967	121	362
WP_004779589.1	lcl|NZ_JQRF01000031.1_cds_WP_017214691.1_1158	29.245	106	210
WP_004779589.1	lcl|NZ_JQRF01000116.1_cds_WP_017214485.1_3177	30.508	118	210
