WP_002725873.1	lcl|NZ_AFKH01000148.1_cds_WP_000340715.1_860	93.902	82	106
WP_002733579.1	lcl|NZ_AFKH01000148.1_cds_WP_000410273.1_859	92.994	314	314
WP_002733579.1	lcl|NZ_AFKH01000148.1_cds_WP_000093099.1_839	58.730	63	314
WP_002733579.1	lcl|NZ_AFKH01000148.1_cds_WP_000646250.1_856	27.711	249	314
WP_002733579.1	lcl|NZ_AFKH01000114.1_cds_WP_000744697.1_1424	23.171	328	314
WP_002733579.1	lcl|NZ_AFKH01000148.1_cds_WP_000600889.1_830	22.909	275	314
WP_002733579.1	lcl|NZ_AFKH01000148.1_cds_WP_000723090.1_777	23.875	289	314
WP_002733579.1	lcl|NZ_AFKH01000148.1_cds_WP_001067557.1_853	24.540	326	314
WP_026054882.1	lcl|NZ_AFKH01000148.1_cds_WP_000604524.1_858	85.479	365	365
WP_002733646.1	lcl|NZ_AFKH01000148.1_cds_WP_000884059.1_857	95.676	185	185
WP_002733646.1	lcl|NZ_AFKH01000068.1_cds_WP_000351733.1_2126	40.714	140	185
WP_002733534.1	lcl|NZ_AFKH01000148.1_cds_WP_000646250.1_856	97.872	329	329
WP_002733534.1	lcl|NZ_AFKH01000114.1_cds_WP_000744697.1_1424	32.063	315	329
WP_002733534.1	lcl|NZ_AFKH01000148.1_cds_WP_000723090.1_777	30.746	335	329
WP_002733534.1	lcl|NZ_AFKH01000148.1_cds_WP_000600889.1_830	31.677	322	329
WP_002733534.1	lcl|NZ_AFKH01000071.1_cds_WP_001984071.1_2004	31.803	305	329
WP_002733534.1	lcl|NZ_AFKH01000120.1_cds_WP_000649925.1_1296	30.183	328	329
WP_002733534.1	lcl|NZ_AFKH01000232.1_cds_WP_000709511.1_196	28.923	325	329
WP_002733534.1	lcl|NZ_AFKH01000148.1_cds_WP_000601375.1_803	24.727	275	329
WP_002733534.1	lcl|NZ_AFKH01000148.1_cds_WP_001067557.1_853	28.990	307	329
WP_002733534.1	lcl|NZ_AFKH01000071.1_cds_WP_000688695.1_1984	29.682	283	329
WP_002733534.1	lcl|NZ_AFKH01000148.1_cds_WP_000475904.1_794	27.007	274	329
WP_002733534.1	lcl|NZ_AFKH01000148.1_cds_WP_000410273.1_859	25.078	319	329
