WP_002725873.1	lcl|NZ_LMAQ01000058.1_cds_WP_000340715.1_270	93.902	82	106
WP_002733579.1	lcl|NZ_LMAQ01000058.1_cds_WP_000410266.1_271	92.994	314	314
WP_002733579.1	lcl|NZ_LMAQ01000321.1_cds_WP_000744698.1_2034	23.171	328	314
WP_002733579.1	lcl|NZ_LMAQ01000058.1_cds_WP_000646254.1_274	27.309	249	314
WP_002733579.1	lcl|NZ_LMAQ01000483.1_cds_WP_000723091.1_3135	24.221	289	314
WP_002733579.1	lcl|NZ_LMAQ01000058.1_cds_WP_001067557.1_277	24.540	326	314
WP_026054882.1	lcl|NZ_LMAQ01000058.1_cds_WP_000604525.1_272	84.932	365	365
WP_002733646.1	lcl|NZ_LMAQ01000058.1_cds_WP_000884059.1_273	95.676	185	185
WP_002733646.1	lcl|NZ_LMAQ01000196.1_cds_WP_143465171.1_1153	42.697	89	185
WP_002733534.1	lcl|NZ_LMAQ01000058.1_cds_WP_000646254.1_274	97.872	329	329
WP_002733534.1	lcl|NZ_LMAQ01000321.1_cds_WP_000744698.1_2034	32.063	315	329
WP_002733534.1	lcl|NZ_LMAQ01000483.1_cds_WP_000723091.1_3135	31.045	335	329
WP_002733534.1	lcl|NZ_LMAQ01000468.1_cds_WP_002072074.1_3048	31.475	305	329
WP_002733534.1	lcl|NZ_LMAQ01000117.1_cds_WP_000649924.1_654	30.183	328	329
WP_002733534.1	lcl|NZ_LMAQ01000179.1_cds_WP_000709508.1_1019	28.615	325	329
WP_002733534.1	lcl|NZ_LMAQ01000058.1_cds_WP_001067557.1_277	28.990	307	329
WP_002733534.1	lcl|NZ_LMAQ01000164.1_cds_WP_000688696.1_975	29.682	283	329
WP_002733534.1	lcl|NZ_LMAQ01000227.1_cds_WP_000475901.1_1425	27.007	274	329
WP_002733534.1	lcl|NZ_LMAQ01000058.1_cds_WP_000410266.1_271	24.765	319	329
WP_002733534.1	lcl|NZ_LMAQ01000574.1_cds_WP_001074779.1_3657	29.057	265	329
WP_002733534.1	lcl|NZ_LMAQ01000482.1_cds_WP_001003560.1_3119	26.378	254	329
WP_002733534.1	lcl|NZ_LMAQ01000388.1_cds_WP_000378097.1_2404	24.419	172	329
WP_002733627.1	lcl|NZ_LMAQ01000058.1_cds_WP_000774259.1_275	92.884	267	267
WP_002733627.1	lcl|NZ_LMAQ01000483.1_cds_WP_000842260.1_3136	27.895	190	267
WP_002733627.1	lcl|NZ_LMAQ01000418.1_cds_WP_000667727.1_2738	31.818	110	267
WP_002733627.1	lcl|NZ_LMAQ01000108.1_cds_WP_000805357.1_607	27.660	188	267
WP_002740779.1	lcl|NZ_LMAQ01000058.1_cds_WP_002072162.1_276	97.053	509	509
WP_002740779.1	lcl|NZ_LMAQ01000178.1_cds_WP_000291581.1_1010	26.852	324	509
WP_002740779.1	lcl|NZ_LMAQ01000178.1_cds_WP_000364504.1_1009	31.111	90	509
WP_002740779.1	lcl|NZ_LMAQ01000058.1_cds_WP_002072162.1_276	97.053	509	509
WP_002740779.1	lcl|NZ_LMAQ01000178.1_cds_WP_000291581.1_1010	26.852	324	509
WP_002740779.1	lcl|NZ_LMAQ01000178.1_cds_WP_000364504.1_1009	31.111	90	509
WP_002740721.1	lcl|NZ_LMAQ01000058.1_cds_WP_001067557.1_277	95.455	330	330
WP_002740721.1	lcl|NZ_LMAQ01000058.1_cds_WP_000646254.1_274	28.990	307	330
WP_002740721.1	lcl|NZ_LMAQ01000468.1_cds_WP_002072074.1_3048	24.632	272	330
WP_002740721.1	lcl|NZ_LMAQ01000321.1_cds_WP_000744698.1_2034	26.899	316	330
WP_002740721.1	lcl|NZ_LMAQ01000483.1_cds_WP_000723091.1_3135	24.324	333	330
WP_002740721.1	lcl|NZ_LMAQ01000482.1_cds_WP_001003560.1_3119	27.490	251	330
WP_002740721.1	lcl|NZ_LMAQ01000117.1_cds_WP_000649924.1_654	29.249	253	330
WP_002740721.1	lcl|NZ_LMAQ01000164.1_cds_WP_000688696.1_975	25.571	219	330
WP_002740826.1	lcl|NZ_LMAQ01000058.1_cds_WP_001198107.1_278	95.628	366	366
WP_002740826.1	lcl|NZ_LMAQ01000058.1_cds_WP_000608294.1_279	39.726	365	366
WP_002740826.1	lcl|NZ_LMAQ01000227.1_cds_WP_000575181.1_1414	33.705	359	366
WP_002740826.1	lcl|NZ_LMAQ01000475.1_cds_WP_001281953.1_3088	28.232	379	366
WP_002740826.1	lcl|NZ_LMAQ01000388.1_cds_WP_000172659.1_2405	31.937	382	366
WP_002740826.1	lcl|NZ_LMAQ01000210.1_cds_WP_000228801.1_1321	32.544	338	366
WP_002740826.1	lcl|NZ_LMAQ01000238.1_cds_WP_000538754.1_1496	30.084	359	366
WP_002740826.1	lcl|NZ_LMAQ01000425.1_cds_WP_001982414.1_2786	31.579	190	366
WP_002740861.1	lcl|NZ_LMAQ01000058.1_cds_WP_000608294.1_279	95.640	367	367
WP_002740861.1	lcl|NZ_LMAQ01000058.1_cds_WP_001198107.1_278	39.452	365	367
WP_002740861.1	lcl|NZ_LMAQ01000227.1_cds_WP_000575181.1_1414	36.043	369	367
WP_002740861.1	lcl|NZ_LMAQ01000388.1_cds_WP_000172659.1_2405	32.240	366	367
WP_002740861.1	lcl|NZ_LMAQ01000238.1_cds_WP_000538754.1_1496	31.383	376	367
WP_002740861.1	lcl|NZ_LMAQ01000210.1_cds_WP_000228801.1_1321	33.787	367	367
WP_002740861.1	lcl|NZ_LMAQ01000475.1_cds_WP_001281953.1_3088	30.159	378	367
WP_002740861.1	lcl|NZ_LMAQ01000425.1_cds_WP_001982414.1_2786	24.581	358	367
WP_002740729.1	lcl|NZ_LMAQ01000058.1_cds_WP_000689740.1_280	92.096	544	544
WP_002740729.1	lcl|NZ_LMAQ01000058.1_cds_WP_000689740.1_280	92.096	544	544
WP_002740998.1	lcl|NZ_LMAQ01000058.1_cds_WP_000342716.1_281	94.717	265	265
WP_002740998.1	lcl|NZ_LMAQ01000357.1_cds_WP_001002662.1_2247	46.091	243	265
WP_032853071.1	lcl|NZ_LMAQ01000058.1_cds_WP_001246619.1_282	93.871	310	310
WP_032853071.1	lcl|NZ_LMAQ01000476.1_cds_WP_000501205.1_3094	36.513	304	310
WP_032853071.1	lcl|NZ_LMAQ01000398.1_cds_WP_001183721.1_2555	26.471	306	310
WP_032853071.1	lcl|NZ_LMAQ01000267.1_cds_WP_000279896.1_1654	22.901	262	310
WP_032853071.1	lcl|NZ_LMAQ01000058.1_cds_WP_001246619.1_282	93.871	310	310
