WP_002725873.1	lcl|NZ_RQFU01000026.1_cds_WP_015678341.1_2957	62.162	74	106
WP_002733579.1	lcl|NZ_RQFU01000026.1_cds_WP_135637401.1_2956	84.194	310	314
WP_002733579.1	lcl|NZ_RQFU01000005.1_cds_WP_135633018.1_104	22.601	323	314
WP_002733579.1	lcl|NZ_RQFU01000028.1_cds_WP_135637665.1_3402	27.778	180	314
WP_002733579.1	lcl|NZ_RQFU01000005.1_cds_WP_135633797.1_669	23.511	319	314
WP_002733579.1	lcl|NZ_RQFU01000016.1_cds_WP_135635337.1_2468	21.893	169	314
WP_002733579.1	lcl|NZ_RQFU01000026.1_cds_WP_135637363.1_2938	22.000	150	314
WP_002733646.1	lcl|NZ_RQFU01000019.1_cds_WP_135636384.1_1148	30.899	178	185
WP_002733534.1	lcl|NZ_RQFU01000005.1_cds_WP_135633018.1_104	30.573	314	329
WP_002733534.1	lcl|NZ_RQFU01000005.1_cds_WP_135633797.1_669	30.645	310	329
WP_002733534.1	lcl|NZ_RQFU01000016.1_cds_WP_135635337.1_2468	29.326	341	329
WP_002733534.1	lcl|NZ_RQFU01000028.1_cds_WP_135637665.1_3402	27.795	331	329
WP_002733534.1	lcl|NZ_RQFU01000005.1_cds_WP_015676887.1_486	28.000	325	329
WP_002733534.1	lcl|NZ_RQFU01000005.1_cds_WP_135633056.1_131	28.435	313	329
WP_002733534.1	lcl|NZ_RQFU01000026.1_cds_WP_135637401.1_2956	27.358	318	329
WP_002733534.1	lcl|NZ_RQFU01000026.1_cds_WP_135637363.1_2938	27.778	270	329
WP_002733534.1	lcl|NZ_RQFU01000016.1_cds_WP_208597430.1_2479	26.407	231	329
WP_002733534.1	lcl|NZ_RQFU01000005.1_cds_WP_135632959.1_51	28.916	249	329
WP_002733534.1	lcl|NZ_RQFU01000028.1_cds_WP_015678111.1_3386	25.279	269	329
WP_002733534.1	lcl|NZ_RQFU01000001.1_cds_WP_135632670.1_2769	26.087	184	329
WP_002733534.1	lcl|NZ_RQFU01000005.1_cds_WP_135633423.1_432	22.305	269	329
WP_002733627.1	lcl|NZ_RQFU01000028.1_cds_WP_135637619.1_3325	25.287	261	267
WP_002733627.1	lcl|NZ_RQFU01000005.1_cds_WP_135633389.1_405	30.128	156	267
WP_002733627.1	lcl|NZ_RQFU01000005.1_cds_WP_135633588.1_552	28.324	173	267
WP_002733627.1	lcl|NZ_RQFU01000028.1_cds_WP_135637664.1_3401	25.131	191	267
WP_002740779.1	lcl|NZ_RQFU01000019.1_cds_WP_167880757.1_1126	25.000	328	509
WP_002740779.1	lcl|NZ_RQFU01000019.1_cds_WP_015675751.1_1125	28.972	107	509
WP_002740779.1	lcl|NZ_RQFU01000019.1_cds_WP_167880757.1_1126	25.000	328	509
WP_002740779.1	lcl|NZ_RQFU01000019.1_cds_WP_015675751.1_1125	28.972	107	509
WP_002740721.1	lcl|NZ_RQFU01000005.1_cds_WP_135633797.1_669	23.741	278	330
WP_002740721.1	lcl|NZ_RQFU01000005.1_cds_WP_135633056.1_131	25.228	329	330
WP_002740721.1	lcl|NZ_RQFU01000005.1_cds_WP_135633018.1_104	26.812	276	330
WP_002740721.1	lcl|NZ_RQFU01000005.1_cds_WP_135633423.1_432	26.357	258	330
WP_002740721.1	lcl|NZ_RQFU01000026.1_cds_WP_135637363.1_2938	26.339	224	330
