WP_002725873.1	lcl|NZ_JQQW01000059.1_cds_WP_000340715.1_1610	93.902	82	106
WP_002733579.1	lcl|NZ_JQQW01000059.1_cds_WP_000410268.1_1611	93.548	310	314
WP_002733579.1	lcl|NZ_JQQW01000134.1_cds_WP_000744695.1_3131	23.171	328	314
WP_002733579.1	lcl|NZ_JQQW01000059.1_cds_WP_000723079.1_1665	22.302	278	314
WP_002733579.1	lcl|NZ_JQQW01000059.1_cds_WP_000723082.1_1687	23.875	289	314
WP_002733579.1	lcl|NZ_JQQW01000059.1_cds_WP_000567886.1_1667	23.009	226	314
WP_002733646.1	lcl|NZ_JQQW01000047.1_cds_WP_000351733.1_1252	40.714	140	185
WP_002733646.1	lcl|NZ_JQQW01000059.1_cds_WP_001047906.1_1644	33.898	177	185
WP_002733534.1	lcl|NZ_JQQW01000134.1_cds_WP_000744695.1_3131	32.063	315	329
WP_002733534.1	lcl|NZ_JQQW01000059.1_cds_WP_000723079.1_1665	30.530	321	329
WP_002733534.1	lcl|NZ_JQQW01000059.1_cds_WP_000723082.1_1687	30.746	335	329
WP_002733534.1	lcl|NZ_JQQW01000026.1_cds_WP_002123515.1_679	31.803	305	329
WP_002733534.1	lcl|NZ_JQQW01000024.1_cds_WP_000649924.1_610	30.183	328	329
WP_002733534.1	lcl|NZ_JQQW01000059.1_cds_WP_000567886.1_1667	29.508	305	329
WP_002733534.1	lcl|NZ_JQQW01000217.1_cds_WP_000709511.1_4065	28.923	325	329
WP_002733534.1	lcl|NZ_JQQW01000026.1_cds_WP_000688698.1_659	29.682	283	329
WP_002733534.1	lcl|NZ_JQQW01000059.1_cds_WP_000410268.1_1611	25.076	331	329
WP_002733534.1	lcl|NZ_JQQW01000059.1_cds_WP_000475907.1_1670	26.250	240	329
WP_002733534.1	lcl|NZ_JQQW01000045.1_cds_WP_001074779.1_1214	29.057	265	329
WP_002733534.1	lcl|NZ_JQQW01000070.1_cds_WP_001003560.1_1966	26.378	254	329
WP_002733627.1	lcl|NZ_JQQW01000059.1_cds_WP_002108504.1_1666	26.122	245	267
WP_002733627.1	lcl|NZ_JQQW01000059.1_cds_WP_000842260.1_1688	27.895	190	267
WP_002733627.1	lcl|NZ_JQQW01000097.1_cds_WP_000667727.1_2419	31.818	110	267
WP_002733627.1	lcl|NZ_JQQW01000058.1_cds_WP_000805357.1_1606	27.660	188	267
WP_002740779.1	lcl|NZ_JQQW01000041.1_cds_WP_000291581.1_1101	26.852	324	509
WP_002740779.1	lcl|NZ_JQQW01000041.1_cds_WP_000364504.1_1100	31.111	90	509
WP_002740779.1	lcl|NZ_JQQW01000041.1_cds_WP_000291581.1_1101	26.852	324	509
WP_002740779.1	lcl|NZ_JQQW01000041.1_cds_WP_000364504.1_1100	31.111	90	509
WP_002740721.1	lcl|NZ_JQQW01000059.1_cds_WP_000723079.1_1665	22.545	275	330
WP_002740721.1	lcl|NZ_JQQW01000026.1_cds_WP_002123515.1_679	24.632	272	330
WP_002740721.1	lcl|NZ_JQQW01000134.1_cds_WP_000744695.1_3131	27.215	316	330
WP_002740721.1	lcl|NZ_JQQW01000059.1_cds_WP_000723082.1_1687	24.625	333	330
WP_002740721.1	lcl|NZ_JQQW01000070.1_cds_WP_001003560.1_1966	27.490	251	330
WP_002740721.1	lcl|NZ_JQQW01000024.1_cds_WP_000649924.1_610	29.249	253	330
WP_002740721.1	lcl|NZ_JQQW01000026.1_cds_WP_000688698.1_659	24.658	219	330
WP_002740826.1	lcl|NZ_JQQW01000059.1_cds_WP_061246405.1_1681	33.705	359	366
WP_002740826.1	lcl|NZ_JQQW01000059.1_cds_WP_000041234.1_1621	33.876	307	366
WP_002740826.1	lcl|NZ_JQQW01000268.1_cds_WP_001281953.1_4181	28.232	379	366
WP_002740826.1	lcl|NZ_JQQW01000059.1_cds_WP_002099944.1_1638	29.412	391	366
WP_002740826.1	lcl|NZ_JQQW01000083.1_cds_WP_061246018.1_2218	30.084	359	366
WP_002740826.1	lcl|NZ_JQQW01000059.1_cds_WP_001117631.1_1618	37.379	206	366
WP_002740826.1	lcl|NZ_JQQW01000048.1_cds_WP_001982414.1_1300	31.579	190	366
WP_002740861.1	lcl|NZ_JQQW01000059.1_cds_WP_061246405.1_1681	36.314	369	367
WP_002740861.1	lcl|NZ_JQQW01000059.1_cds_WP_002099944.1_1638	31.720	372	367
WP_002740861.1	lcl|NZ_JQQW01000083.1_cds_WP_061246018.1_2218	30.108	372	367
WP_002740861.1	lcl|NZ_JQQW01000059.1_cds_WP_000041234.1_1621	32.143	336	367
WP_002740861.1	lcl|NZ_JQQW01000268.1_cds_WP_001281953.1_4181	30.159	378	367
WP_002740861.1	lcl|NZ_JQQW01000059.1_cds_WP_001117631.1_1618	33.475	236	367
WP_002740861.1	lcl|NZ_JQQW01000048.1_cds_WP_001982414.1_1300	24.581	358	367
WP_002740998.1	lcl|NZ_JQQW01000165.1_cds_WP_001002662.1_3668	46.091	243	265
WP_032853071.1	lcl|NZ_JQQW01000011.1_cds_WP_000501205.1_363	36.513	304	310
WP_032853071.1	lcl|NZ_JQQW01000131.1_cds_WP_002102485.1_3050	26.471	306	310
WP_032853071.1	lcl|NZ_JQQW01000043.1_cds_WP_000279896.1_1169	22.901	262	310
WP_032853071.1	lcl|NZ_JQQW01000011.1_cds_WP_000501205.1_363	36.513	304	310
WP_032853071.1	lcl|NZ_JQQW01000131.1_cds_WP_002102485.1_3050	26.471	306	310
WP_032853071.1	lcl|NZ_JQQW01000043.1_cds_WP_000279896.1_1169	22.901	262	310
WP_002740917.1	lcl|NZ_JQQW01000134.1_cds_WP_001082179.1_3102	29.487	78	221
WP_002740917.1	lcl|NZ_JQQW01000071.1_cds_WP_001069834.1_2034	28.440	109	221
WP_230456811.1	lcl|NZ_JQQW01000134.1_cds_WP_001082179.1_3102	30.588	170	388
WP_230456811.1	lcl|NZ_JQQW01000071.1_cds_WP_061231906.1_2035	28.139	231	388
WP_230456811.1	lcl|NZ_JQQW01000139.1_cds_WP_000402849.1_3181	26.531	147	388
WP_230456811.1	lcl|NZ_JQQW01000096.1_cds_WP_000283290.1_2394	22.353	170	388
WP_002740724.1	lcl|NZ_JQQW01000037.1_cds_WP_061246023.1_1008	31.102	508	596
WP_002740724.1	lcl|NZ_JQQW01000079.1_cds_WP_000667646.1_2161	35.154	421	596
WP_002740724.1	lcl|NZ_JQQW01000027.1_cds_WP_000828456.1_741	41.202	233	596
WP_002740724.1	lcl|NZ_JQQW01000059.1_cds_WP_000615263.1_1639	26.429	420	596
WP_002740724.1	lcl|NZ_JQQW01000070.1_cds_WP_001052496.1_1987	31.933	238	596
WP_002740724.1	lcl|NZ_JQQW01000121.1_cds_WP_000510773.1_2951	30.472	233	596
WP_002740724.1	lcl|NZ_JQQW01000152.1_cds_WP_000536763.1_3400	32.536	209	596
WP_002740724.1	lcl|NZ_JQQW01000034.1_cds_WP_001161019.1_950	28.270	237	596
WP_002740724.1	lcl|NZ_JQQW01000090.1_cds_WP_002071818.1_2319	27.530	247	596
