WP_002725873.1	lcl|NZ_JAGGCM010000002.1_cds_WP_000340715.1_382	93.902	82	106
WP_002733579.1	lcl|NZ_JAGGCM010000002.1_cds_WP_000410273.1_383	92.994	314	314
WP_002733579.1	lcl|NZ_JAGGCM010000002.1_cds_WP_000093099.1_403	58.730	63	314
WP_002733579.1	lcl|NZ_JAGGCM010000002.1_cds_WP_000646250.1_386	27.711	249	314
WP_002733579.1	lcl|NZ_JAGGCM010000008.1_cds_WP_000744700.1_1405	23.171	328	314
WP_002733579.1	lcl|NZ_JAGGCM010000002.1_cds_WP_000600889.1_412	22.909	275	314
WP_002733579.1	lcl|NZ_JAGGCM010000002.1_cds_WP_000723090.1_465	23.875	289	314
WP_002733579.1	lcl|NZ_JAGGCM010000002.1_cds_WP_001067557.1_389	24.540	326	314
WP_026054882.1	lcl|NZ_JAGGCM010000002.1_cds_WP_000604524.1_384	85.479	365	365
WP_002733646.1	lcl|NZ_JAGGCM010000002.1_cds_WP_000884059.1_385	95.676	185	185
WP_002733646.1	lcl|NZ_JAGGCM010000004.1_cds_WP_000351733.1_764	40.714	140	185
WP_002733534.1	lcl|NZ_JAGGCM010000002.1_cds_WP_000646250.1_386	97.872	329	329
WP_002733534.1	lcl|NZ_JAGGCM010000008.1_cds_WP_000744700.1_1405	32.063	315	329
WP_002733534.1	lcl|NZ_JAGGCM010000002.1_cds_WP_000723090.1_465	30.746	335	329
WP_002733534.1	lcl|NZ_JAGGCM010000002.1_cds_WP_000600889.1_412	31.677	322	329
WP_002733534.1	lcl|NZ_JAGGCM010000026.1_cds_WP_001984071.1_2812	31.803	305	329
WP_002733534.1	lcl|NZ_JAGGCM010000009.1_cds_WP_000649925.1_1528	30.183	328	329
WP_002733534.1	lcl|NZ_JAGGCM010000060.1_cds_WP_000709511.1_3678	28.923	325	329
WP_002733534.1	lcl|NZ_JAGGCM010000002.1_cds_WP_000601375.1_439	24.727	275	329
WP_002733534.1	lcl|NZ_JAGGCM010000002.1_cds_WP_001067557.1_389	28.990	307	329
WP_002733534.1	lcl|NZ_JAGGCM010000026.1_cds_WP_000688695.1_2832	29.682	283	329
WP_002733534.1	lcl|NZ_JAGGCM010000002.1_cds_WP_000475904.1_448	27.007	274	329
WP_002733534.1	lcl|NZ_JAGGCM010000002.1_cds_WP_000410273.1_383	25.078	319	329
WP_002733534.1	lcl|NZ_JAGGCM010000017.1_cds_WP_001074785.1_2247	29.434	265	329
WP_002733534.1	lcl|NZ_JAGGCM010000018.1_cds_WP_001003555.1_2317	26.772	254	329
WP_002733534.1	lcl|NZ_JAGGCM010000002.1_cds_WP_000487322.1_437	26.852	324	329
WP_002733627.1	lcl|NZ_JAGGCM010000002.1_cds_WP_000774262.1_387	92.884	267	267
WP_002733627.1	lcl|NZ_JAGGCM010000002.1_cds_WP_000859505.1_436	28.155	206	267
WP_002733627.1	lcl|NZ_JAGGCM010000002.1_cds_WP_000800438.1_417	28.492	179	267
WP_002733627.1	lcl|NZ_JAGGCM010000002.1_cds_WP_000842260.1_466	27.895	190	267
WP_002733627.1	lcl|NZ_JAGGCM010000024.1_cds_WP_000667727.1_2755	31.818	110	267
