WP_002725873.1	lcl|NZ_ANCE01000179.1_cds_WP_004753574.1_2885	91.463	82	106
WP_002733579.1	lcl|NZ_ANCE01000179.1_cds_WP_004766657.1_2884	92.357	314	314
WP_002733579.1	lcl|NZ_ANCE01000179.1_cds_WP_020763887.1_2881	27.309	249	314
WP_002733579.1	lcl|NZ_ANCE01000111.1_cds_WP_004753565.1_1893	23.171	328	314
WP_002733579.1	lcl|NZ_ANCE01000068.1_cds_WP_004766668.1_935	22.776	281	314
WP_002733579.1	lcl|NZ_ANCE01000179.1_cds_WP_004755319.1_2878	25.152	330	314
WP_026054882.1	lcl|NZ_ANCE01000179.1_cds_WP_004766736.1_2883	87.123	365	365
WP_002733646.1	lcl|NZ_ANCE01000179.1_cds_WP_004766667.1_2882	96.757	185	185
WP_002733646.1	lcl|NZ_ANCE01000190.1_cds_WP_004752075.1_3164	41.429	140	185
WP_002733534.1	lcl|NZ_ANCE01000179.1_cds_WP_020763887.1_2881	98.176	329	329
WP_002733534.1	lcl|NZ_ANCE01000111.1_cds_WP_004753565.1_1893	31.429	315	329
WP_002733534.1	lcl|NZ_ANCE01000068.1_cds_WP_004766668.1_935	30.746	335	329
WP_002733534.1	lcl|NZ_ANCE01000090.1_cds_WP_004766600.1_1424	32.143	308	329
WP_002733534.1	lcl|NZ_ANCE01000007.1_cds_WP_020762466.1_120	30.887	327	329
WP_002733534.1	lcl|NZ_ANCE01000090.1_cds_WP_004766610.1_1434	29.231	325	329
WP_002733534.1	lcl|NZ_ANCE01000185.1_cds_WP_004766589.1_2930	29.603	277	329
WP_002733534.1	lcl|NZ_ANCE01000179.1_cds_WP_004755319.1_2878	29.316	307	329
WP_002733534.1	lcl|NZ_ANCE01000179.1_cds_WP_004766657.1_2884	25.651	269	329
WP_002733534.1	lcl|NZ_ANCE01000068.1_cds_WP_020762909.1_952	25.912	274	329
WP_002733534.1	lcl|NZ_ANCE01000006.1_cds_WP_025183403.1_108	30.000	180	329
WP_002733534.1	lcl|NZ_ANCE01000221.1_cds_WP_004766127.1_3743	29.213	267	329
WP_002733534.1	lcl|NZ_ANCE01000106.1_cds_WP_004766563.1_1762	25.573	262	329
WP_002733534.1	lcl|NZ_ANCE01000193.1_cds_WP_020764095.1_3264	27.572	243	329
WP_002733627.1	lcl|NZ_ANCE01000179.1_cds_WP_020763884.1_2880	97.004	267	267
WP_002733627.1	lcl|NZ_ANCE01000068.1_cds_WP_004766678.1_934	27.513	189	267
WP_002733627.1	lcl|NZ_ANCE01000102.1_cds_WP_020763320.1_1663	28.342	187	267
WP_002733627.1	lcl|NZ_ANCE01000142.1_cds_WP_016761591.1_2305	36.047	86	267
WP_002740779.1	lcl|NZ_ANCE01000179.1_cds_WP_016753424.1_2879	99.607	509	509
WP_002740779.1	lcl|NZ_ANCE01000221.1_cds_WP_004751764.1_3814	25.758	330	509
WP_002740779.1	lcl|NZ_ANCE01000221.1_cds_WP_004766128.1_3813	31.111	90	509
WP_002740779.1	lcl|NZ_ANCE01000179.1_cds_WP_016753424.1_2879	99.607	509	509
