WP_002725873.1	lcl|NZ_AKWD02000043.1_cds_WP_002178848.1_1640	93.902	82	106
WP_002733579.1	lcl|NZ_AKWD02000043.1_cds_WP_002178480.1_1639	92.038	314	314
WP_002733579.1	lcl|NZ_AKWD02000043.1_cds_WP_002178756.1_1635	22.442	303	314
WP_002733579.1	lcl|NZ_AKWD02000053.1_cds_WP_002179185.1_1221	24.390	328	314
WP_002733579.1	lcl|NZ_AKWD02000043.1_cds_WP_002178687.1_1626	22.464	276	314
WP_002733579.1	lcl|NZ_AKWD02000043.1_cds_WP_002178501.1_1604	23.602	322	314
WP_002733579.1	lcl|NZ_AKWD02000043.1_cds_WP_002178495.1_1551	22.759	290	314
WP_002733579.1	lcl|NZ_AKWD02000053.1_cds_WP_002179265.1_956	25.362	276	314
WP_002733646.1	lcl|NZ_AKWD02000040.1_cds_WP_002178322.1_1971	40.714	140	185
WP_002733534.1	lcl|NZ_AKWD02000043.1_cds_WP_002178501.1_1604	33.333	336	329
WP_002733534.1	lcl|NZ_AKWD02000043.1_cds_WP_002178756.1_1635	31.014	345	329
WP_002733534.1	lcl|NZ_AKWD02000053.1_cds_WP_002179185.1_1221	31.111	315	329
WP_002733534.1	lcl|NZ_AKWD02000043.1_cds_WP_002178495.1_1551	31.045	335	329
WP_002733534.1	lcl|NZ_AKWD02000043.1_cds_WP_002178687.1_1626	31.126	302	329
WP_002733534.1	lcl|NZ_AKWD02000053.1_cds_WP_002179265.1_956	31.392	309	329
WP_002733534.1	lcl|NZ_AKWD02000053.1_cds_WP_002179548.1_1071	29.091	330	329
WP_002733534.1	lcl|NZ_AKWD02000053.1_cds_WP_002179271.1_966	29.231	325	329
WP_002733534.1	lcl|NZ_AKWD02000053.1_cds_WP_002179304.1_936	28.231	294	329
WP_002733534.1	lcl|NZ_AKWD02000043.1_cds_WP_002178480.1_1639	25.746	268	329
WP_002733534.1	lcl|NZ_AKWD02000043.1_cds_WP_002178597.1_1583	24.069	349	329
WP_002733534.1	lcl|NZ_AKWD02000007.1_cds_WP_002176597.1_3555	28.519	270	329
WP_002733534.1	lcl|NZ_AKWD02000057.1_cds_WP_002179684.1_462	25.191	262	329
WP_002733534.1	lcl|NZ_AKWD02000068.1_cds_WP_002180626.1_39	27.049	244	329
WP_002733534.1	lcl|NZ_AKWD02000043.1_cds_WP_002178821.1_1616	25.714	245	329
WP_002733534.1	lcl|NZ_AKWD02000060.1_cds_WP_002180158.1_384	27.459	244	329
WP_002733627.1	lcl|NZ_AKWD02000043.1_cds_WP_002178459.1_1621	30.472	233	267
WP_002733627.1	lcl|NZ_AKWD02000043.1_cds_WP_002178630.1_1550	28.042	189	267
WP_002733627.1	lcl|NZ_AKWD02000026.1_cds_WP_002177623.1_2618	27.320	194	267
WP_002733627.1	lcl|NZ_AKWD02000043.1_cds_WP_002178723.1_1584	22.311	251	267
WP_002733627.1	lcl|NZ_AKWD02000015.1_cds_WP_002176989.1_3197	34.884	86	267
WP_002740779.1	lcl|NZ_AKWD02000007.1_cds_WP_002176673.1_3632	26.852	324	509
WP_002740779.1	lcl|NZ_AKWD02000007.1_cds_WP_002148203.1_3631	31.111	90	509
WP_002740779.1	lcl|NZ_AKWD02000007.1_cds_WP_002176673.1_3632	26.852	324	509
WP_002740779.1	lcl|NZ_AKWD02000007.1_cds_WP_002148203.1_3631	31.111	90	509
WP_002740721.1	lcl|NZ_AKWD02000043.1_cds_WP_002178501.1_1604	27.668	253	330
WP_002740721.1	lcl|NZ_AKWD02000043.1_cds_WP_002178495.1_1551	26.648	349	330
WP_002740721.1	lcl|NZ_AKWD02000053.1_cds_WP_002179265.1_956	25.182	274	330
WP_002740721.1	lcl|NZ_AKWD02000043.1_cds_WP_002178687.1_1626	25.362	276	330
WP_002740721.1	lcl|NZ_AKWD02000053.1_cds_WP_002179185.1_1221	26.899	316	330
