WP_002725873.1	lcl|NZ_AHOS02000009.1_cds_WP_002725873.1_2257	100.000	106	106
WP_002733579.1	lcl|NZ_AHOS02000009.1_cds_WP_002725867.1_2258	99.045	314	314
WP_002733579.1	lcl|NZ_AHOS02000002.1_cds_WP_002722638.1_3103	24.615	325	314
WP_002733579.1	lcl|NZ_AHOS02000009.1_cds_WP_002759839.1_2308	20.761	289	314
WP_002733579.1	lcl|NZ_AHOS02000040.1_cds_WP_002727919.1_22	23.132	281	314
WP_002733579.1	lcl|NZ_AHOS02000039.1_cds_WP_002728309.1_297	25.723	311	314
WP_002733579.1	lcl|NZ_AHOS02000009.1_cds_WP_002725944.1_2310	20.900	311	314
WP_002733579.1	lcl|NZ_AHOS02000016.1_cds_WP_002729504.1_2002	20.809	173	314
WP_002733646.1	lcl|NZ_AHOS02000017.1_cds_WP_002721790.1_1813	36.364	154	185
WP_002733646.1	lcl|NZ_AHOS02000009.1_cds_WP_002759930.1_2291	33.898	177	185
WP_002733534.1	lcl|NZ_AHOS02000009.1_cds_WP_002759839.1_2308	30.530	321	329
WP_002733534.1	lcl|NZ_AHOS02000002.1_cds_WP_002722638.1_3103	29.841	315	329
WP_002733534.1	lcl|NZ_AHOS02000040.1_cds_WP_002727919.1_22	30.448	335	329
WP_002733534.1	lcl|NZ_AHOS02000039.1_cds_WP_002728309.1_297	31.190	311	329
WP_002733534.1	lcl|NZ_AHOS02000016.1_cds_WP_002729504.1_2002	27.273	341	329
WP_002733534.1	lcl|NZ_AHOS02000009.1_cds_WP_002725944.1_2310	28.710	310	329
WP_002733534.1	lcl|NZ_AHOS02000002.1_cds_WP_002759122.1_3231	29.393	313	329
WP_002733534.1	lcl|NZ_AHOS02000039.1_cds_WP_002728316.1_294	27.576	330	329
WP_002733534.1	lcl|NZ_AHOS02000002.1_cds_WP_002732331.1_3375	27.636	275	329
WP_002733534.1	lcl|NZ_AHOS02000009.1_cds_WP_002725867.1_2258	26.908	249	329
WP_002733534.1	lcl|NZ_AHOS02000009.1_cds_WP_002759862.1_2312	25.912	274	329
WP_002733534.1	lcl|NZ_AHOS02000040.1_cds_WP_002728462.1_223	26.592	267	329
WP_002733534.1	lcl|NZ_AHOS02000002.1_cds_WP_002721725.1_3012	25.223	337	329
WP_002733534.1	lcl|NZ_AHOS02000002.1_cds_WP_002728696.1_2925	26.908	249	329
WP_002733627.1	lcl|NZ_AHOS02000009.1_cds_WP_002725899.1_2309	27.706	231	267
WP_002733627.1	lcl|NZ_AHOS02000040.1_cds_WP_002727921.1_23	27.513	189	267
WP_002733627.1	lcl|NZ_AHOS02000020.1_cds_WP_002758629.1_1490	33.636	110	267
WP_002733627.1	lcl|NZ_AHOS02000021.1_cds_WP_002766579.1_1366	36.047	86	267
WP_002733627.1	lcl|NZ_AHOS02000016.1_cds_WP_002729513.1_2003	26.344	186	267
WP_002740779.1	lcl|NZ_AHOS02000040.1_cds_WP_002728536.1_150	28.223	287	509
WP_002740779.1	lcl|NZ_AHOS02000040.1_cds_WP_002728534.1_151	31.111	90	509
WP_002740779.1	lcl|NZ_AHOS02000040.1_cds_WP_002728536.1_150	28.223	287	509
WP_002740779.1	lcl|NZ_AHOS02000040.1_cds_WP_002728534.1_151	31.111	90	509
WP_002740721.1	lcl|NZ_AHOS02000039.1_cds_WP_002728309.1_297	25.275	273	330
WP_002740721.1	lcl|NZ_AHOS02000009.1_cds_WP_002759839.1_2308	22.545	275	330
WP_002740721.1	lcl|NZ_AHOS02000040.1_cds_WP_002727919.1_22	25.526	333	330
WP_002740721.1	lcl|NZ_AHOS02000002.1_cds_WP_002722638.1_3103	28.369	282	330
WP_002740721.1	lcl|NZ_AHOS02000002.1_cds_WP_002732331.1_3375	26.754	228	330
WP_002740721.1	lcl|NZ_AHOS02000002.1_cds_WP_002721725.1_3012	24.898	245	330
WP_002740721.1	lcl|NZ_AHOS02000002.1_cds_WP_002759122.1_3231	27.329	322	330
WP_002740721.1	lcl|NZ_AHOS02000016.1_cds_WP_002729504.1_2002	26.761	142	330
WP_002740721.1	lcl|NZ_AHOS02000040.1_cds_WP_002728462.1_223	24.803	254	330
WP_002740826.1	lcl|NZ_AHOS02000040.1_cds_WP_002727932.1_16	34.278	353	366
WP_002740826.1	lcl|NZ_AHOS02000020.1_cds_WP_002728994.1_1496	28.307	378	366
WP_002740826.1	lcl|NZ_AHOS02000009.1_cds_WP_002725894.1_2268	33.876	307	366
WP_002740826.1	lcl|NZ_AHOS02000009.1_cds_WP_002759991.1_2285	29.412	391	366
WP_002740826.1	lcl|NZ_AHOS02000020.1_cds_WP_002724694.1_1620	29.444	360	366
WP_002740826.1	lcl|NZ_AHOS02000009.1_cds_WP_002725930.1_2265	37.864	206	366
WP_002740826.1	lcl|NZ_AHOS02000002.1_cds_WP_002724641.1_3374	32.086	187	366
