WP_002725873.1	lcl|NZ_ANNW01000072.1_cds_WP_004462903.1_2144	97.561	82	106
WP_002733579.1	lcl|NZ_ANNW01000072.1_cds_WP_004472299.1_2145	91.935	310	314
WP_002733579.1	lcl|NZ_ANNW01000049.1_cds_WP_004461583.1_1308	23.692	325	314
WP_002733579.1	lcl|NZ_ANNW01000072.1_cds_WP_004479538.1_2148	26.908	249	314
WP_002733579.1	lcl|NZ_ANNW01000061.1_cds_WP_004476514.1_1844	23.132	281	314
WP_002733579.1	lcl|NZ_ANNW01000103.1_cds_WP_004461234.1_3319	25.087	287	314
WP_002733579.1	lcl|NZ_ANNW01000076.1_cds_WP_004468319.1_2412	20.710	169	314
WP_026054882.1	lcl|NZ_ANNW01000072.1_cds_WP_004479563.1_2146	89.315	365	365
WP_002733646.1	lcl|NZ_ANNW01000072.1_cds_WP_004472170.1_2147	94.595	185	185
WP_002733646.1	lcl|NZ_ANNW01000020.1_cds_WP_004460143.1_346	35.714	154	185
WP_002733534.1	lcl|NZ_ANNW01000072.1_cds_WP_004479538.1_2148	93.598	328	329
WP_002733534.1	lcl|NZ_ANNW01000049.1_cds_WP_004461583.1_1308	29.524	315	329
WP_002733534.1	lcl|NZ_ANNW01000103.1_cds_WP_004461234.1_3319	32.797	311	329
WP_002733534.1	lcl|NZ_ANNW01000061.1_cds_WP_004476514.1_1844	30.838	334	329
WP_002733534.1	lcl|NZ_ANNW01000076.1_cds_WP_004468319.1_2412	27.381	336	329
WP_002733534.1	lcl|NZ_ANNW01000083.1_cds_WP_004480590.1_2697	28.882	322	329
WP_002733534.1	lcl|NZ_ANNW01000103.1_cds_WP_004461242.1_3316	27.950	322	329
WP_002733534.1	lcl|NZ_ANNW01000072.1_cds_WP_020783865.1_2151	30.164	305	329
WP_002733534.1	lcl|NZ_ANNW01000074.1_cds_WP_032913026.1_2256	26.277	274	329
WP_002733534.1	lcl|NZ_ANNW01000072.1_cds_WP_004472299.1_2145	25.926	270	329
