WP_002725873.1	lcl|NZ_JQRX01000029.1_cds_WP_002733653.1_1180	99.057	106	106
WP_002733579.1	lcl|NZ_JQRX01000029.1_cds_WP_002733579.1_1181	100.000	314	314
WP_002733579.1	lcl|NZ_JQRX01000025.1_cds_WP_002722638.1_963	24.615	325	314
WP_002733579.1	lcl|NZ_JQRX01000029.1_cds_WP_002733534.1_1184	26.908	249	314
WP_002733579.1	lcl|NZ_JQRX01000075.1_cds_WP_002727919.1_2619	23.132	281	314
WP_002733579.1	lcl|NZ_JQRX01000001.1_cds_WP_002728309.1_3	25.723	311	314
WP_002733579.1	lcl|NZ_JQRX01000123.1_cds_WP_002729504.1_3246	20.809	173	314
WP_002733579.1	lcl|NZ_JQRX01000029.1_cds_WP_016749081.1_1208	24.503	151	314
WP_026054882.1	lcl|NZ_JQRX01000029.1_cds_WP_026054882.1_1182	99.726	365	365
WP_002733646.1	lcl|NZ_JQRX01000029.1_cds_WP_002733646.1_1183	100.000	185	185
WP_002733646.1	lcl|NZ_JQRX01000059.1_cds_WP_002721790.1_2262	36.364	154	185
WP_002733534.1	lcl|NZ_JQRX01000029.1_cds_WP_002733534.1_1184	100.000	329	329
WP_002733534.1	lcl|NZ_JQRX01000025.1_cds_WP_002722638.1_963	29.841	315	329
WP_002733534.1	lcl|NZ_JQRX01000075.1_cds_WP_002727919.1_2619	30.448	335	329
WP_002733534.1	lcl|NZ_JQRX01000001.1_cds_WP_002728309.1_3	31.190	311	329
WP_002733534.1	lcl|NZ_JQRX01000123.1_cds_WP_002729504.1_3246	27.273	341	329
WP_002733534.1	lcl|NZ_JQRX01000029.1_cds_WP_002733638.1_1216	27.647	340	329
WP_002733534.1	lcl|NZ_JQRX01000078.1_cds_WP_002735602.1_2693	27.576	330	329
WP_002733534.1	lcl|NZ_JQRX01000054.1_cds_WP_002732362.1_2105	28.846	312	329
WP_002733534.1	lcl|NZ_JQRX01000029.1_cds_WP_002733546.1_1251	25.000	268	329
WP_002733534.1	lcl|NZ_JQRX01000029.1_cds_WP_016749079.1_1187	28.990	307	329
WP_002733534.1	lcl|NZ_JQRX01000033.1_cds_WP_002732331.1_1375	27.636	275	329
WP_002733534.1	lcl|NZ_JQRX01000029.1_cds_WP_002744551.1_1210	28.339	307	329
WP_002733534.1	lcl|NZ_JQRX01000029.1_cds_WP_002733579.1_1181	26.908	249	329
WP_002733534.1	lcl|NZ_JQRX01000029.1_cds_WP_016749081.1_1208	23.659	317	329
WP_002733534.1	lcl|NZ_JQRX01000029.1_cds_WP_002733698.1_1259	26.277	274	329
WP_002733534.1	lcl|NZ_JQRX01000019.1_cds_WP_002728462.1_669	26.592	267	329
WP_002733534.1	lcl|NZ_JQRX01000034.1_cds_WP_002732574.1_1478	25.076	331	329
WP_002733534.1	lcl|NZ_JQRX01000010.1_cds_WP_002728696.1_339	26.908	249	329
WP_002733534.1	lcl|NZ_JQRX01000029.1_cds_WP_002733757.1_1249	30.994	171	329
WP_002733627.1	lcl|NZ_JQRX01000029.1_cds_WP_002733627.1_1185	99.625	267	267
WP_002733627.1	lcl|NZ_JQRX01000029.1_cds_WP_002733554.1_1248	26.699	206	267
WP_002733627.1	lcl|NZ_JQRX01000029.1_cds_WP_002733775.1_1221	27.933	179	267
WP_002733627.1	lcl|NZ_JQRX01000075.1_cds_WP_002727921.1_2620	27.513	189	267
WP_002733627.1	lcl|NZ_JQRX01000076.1_cds_WP_002729040.1_2648	33.636	110	267
WP_002733627.1	lcl|NZ_JQRX01000056.1_cds_WP_002766579.1_2183	36.047	86	267
WP_002733627.1	lcl|NZ_JQRX01000123.1_cds_WP_002729513.1_3247	26.344	186	267
WP_002740779.1	lcl|NZ_JQRX01000029.1_cds_WP_002738292.1_1186	99.804	509	509
WP_002740779.1	lcl|NZ_JQRX01000042.1_cds_WP_002728536.1_1746	28.223	287	509
WP_002740779.1	lcl|NZ_JQRX01000042.1_cds_WP_002728534.1_1745	31.111	90	509
WP_002740779.1	lcl|NZ_JQRX01000029.1_cds_WP_002738292.1_1186	99.804	509	509
WP_002740779.1	lcl|NZ_JQRX01000042.1_cds_WP_002728536.1_1746	28.223	287	509
WP_002740779.1	lcl|NZ_JQRX01000042.1_cds_WP_002728534.1_1745	31.111	90	509
WP_002740721.1	lcl|NZ_JQRX01000029.1_cds_WP_016749079.1_1187	99.091	330	330
