WP_002725873.1	lcl|NZ_RQEX01000018.1_cds_WP_040913380.1_1761	97.561	82	106
WP_002733579.1	lcl|NZ_RQEX01000018.1_cds_WP_135582571.1_1762	92.258	310	314
WP_002733579.1	lcl|NZ_RQEX01000005.1_cds_WP_118954467.1_767	24.000	325	314
WP_002733579.1	lcl|NZ_RQEX01000018.1_cds_WP_135582583.1_1775	24.275	276	314
WP_002733579.1	lcl|NZ_RQEX01000018.1_cds_WP_135582610.1_1825	23.571	280	314
WP_002733579.1	lcl|NZ_RQEX01000015.1_cds_WP_118957901.1_3213	22.024	168	314
WP_002733579.1	lcl|NZ_RQEX01000005.1_cds_WP_135581677.1_1063	22.364	313	314
WP_002733646.1	lcl|NZ_RQEX01000018.1_cds_WP_135570167.1_2072	38.312	154	185
WP_002733534.1	lcl|NZ_RQEX01000018.1_cds_WP_135582610.1_1825	31.737	334	329
WP_002733534.1	lcl|NZ_RQEX01000005.1_cds_WP_118954467.1_767	30.794	315	329
WP_002733534.1	lcl|NZ_RQEX01000018.1_cds_WP_135582583.1_1775	31.773	299	329
WP_002733534.1	lcl|NZ_RQEX01000005.1_cds_WP_135581677.1_1063	31.410	312	329
WP_002733534.1	lcl|NZ_RQEX01000015.1_cds_WP_118957901.1_3213	27.381	336	329
WP_002733534.1	lcl|NZ_RQEX01000005.1_cds_WP_135581617.1_922	29.819	332	329
WP_002733534.1	lcl|NZ_RQEX01000005.1_cds_WP_118954096.1_1175	28.571	322	329
WP_002733534.1	lcl|NZ_RQEX01000018.1_cds_WP_135582592.1_1802	24.314	255	329
WP_002733534.1	lcl|NZ_RQEX01000005.1_cds_WP_118964479.1_567	28.395	243	329
WP_002733534.1	lcl|NZ_RQEX01000005.1_cds_WP_135581259.1_406	27.236	246	329
WP_002733534.1	lcl|NZ_RQEX01000018.1_cds_WP_135582571.1_1762	26.866	268	329
WP_002733534.1	lcl|NZ_RQEX01000017.1_cds_WP_135582321.1_2611	26.718	262	329
WP_002733534.1	lcl|NZ_RQEX01000005.1_cds_WP_135581479.1_675	26.688	311	329
WP_002733534.1	lcl|NZ_RQEX01000018.1_cds_WP_118957343.1_1809	23.984	246	329
WP_002733534.1	lcl|NZ_RQEX01000010.1_cds_WP_118957095.1_2867	25.581	258	329
WP_002733534.1	lcl|NZ_RQEX01000018.1_cds_WP_118957365.1_1786	23.554	242	329
WP_002733534.1	lcl|NZ_RQEX01000018.1_cds_WP_118957352.1_1800	28.205	156	329
WP_002733534.1	lcl|NZ_RQEX01000005.1_cds_WP_118964890.1_1226	25.820	244	329
