WP_002725873.1	lcl|NZ_JADDXB010000023.1_cds_WP_002725873.1_1110	100.000	106	106
WP_002733579.1	lcl|NZ_JADDXB010000023.1_cds_WP_011669917.1_1111	98.726	314	314
WP_002733579.1	lcl|NZ_JADDXB010000025.1_cds_WP_011671202.1_1195	24.308	325	314
WP_002733579.1	lcl|NZ_JADDXB010000028.1_cds_WP_011669955.1_1345	22.277	202	314
WP_002733579.1	lcl|NZ_JADDXB010000028.1_cds_WP_011669957.1_1343	25.137	183	314
WP_002733579.1	lcl|NZ_JADDXB010000028.1_cds_WP_011669973.1_1319	23.868	243	314
WP_002733579.1	lcl|NZ_JADDXB010000038.1_cds_WP_011670961.1_1796	25.723	311	314
WP_002733579.1	lcl|NZ_JADDXB010000089.1_cds_WP_011670813.1_3228	20.809	173	314
WP_002733646.1	lcl|NZ_JADDXB010000001.1_cds_WP_002750963.1_839	36.364	154	185
WP_002733646.1	lcl|NZ_JADDXB010000023.1_cds_WP_011669938.1_1142	33.898	177	185
WP_002733534.1	lcl|NZ_JADDXB010000028.1_cds_WP_011669955.1_1345	31.153	321	329
WP_002733534.1	lcl|NZ_JADDXB010000025.1_cds_WP_011671202.1_1195	30.476	315	329
WP_002733534.1	lcl|NZ_JADDXB010000028.1_cds_WP_011669973.1_1319	31.343	335	329
WP_002733534.1	lcl|NZ_JADDXB010000038.1_cds_WP_011670961.1_1796	31.511	311	329
WP_002733534.1	lcl|NZ_JADDXB010000028.1_cds_WP_011669957.1_1343	29.180	305	329
WP_002733534.1	lcl|NZ_JADDXB010000089.1_cds_WP_011670813.1_3228	27.273	341	329
WP_002733534.1	lcl|NZ_JADDXB010000022.1_cds_WP_011671143.1_1064	29.712	313	329
WP_002733534.1	lcl|NZ_JADDXB010000038.1_cds_WP_002754065.1_1793	27.576	330	329
WP_002733534.1	lcl|NZ_JADDXB010000003.1_cds_WP_011671074.1_1901	26.277	274	329
WP_002733534.1	lcl|NZ_JADDXB010000023.1_cds_WP_011669917.1_1111	27.309	249	329
WP_002733534.1	lcl|NZ_JADDXB010000013.1_cds_WP_017859386.1_349	26.592	267	329
WP_002733534.1	lcl|NZ_JADDXB010000028.1_cds_WP_011669959.1_1341	25.632	277	329
WP_002733534.1	lcl|NZ_JADDXB010000055.1_cds_WP_011669202.1_2464	24.629	337	329
WP_002733627.1	lcl|NZ_JADDXB010000028.1_cds_WP_011669956.1_1344	26.957	230	267
WP_002733627.1	lcl|NZ_JADDXB010000028.1_cds_WP_011669974.1_1318	27.513	189	267
WP_002733627.1	lcl|NZ_JADDXB010000036.1_cds_WP_011670832.1_1724	33.636	110	267
WP_002733627.1	lcl|NZ_JADDXB010000083.1_cds_WP_002766579.1_3169	36.047	86	267
WP_002733627.1	lcl|NZ_JADDXB010000089.1_cds_WP_011670812.1_3227	26.344	186	267
WP_002740779.1	lcl|NZ_JADDXB010000019.1_cds_WP_011670269.1_736	28.028	289	509
WP_002740779.1	lcl|NZ_JADDXB010000019.1_cds_WP_002751286.1_737	31.111	90	509
WP_002740779.1	lcl|NZ_JADDXB010000019.1_cds_WP_011670269.1_736	28.028	289	509
WP_002740779.1	lcl|NZ_JADDXB010000019.1_cds_WP_002751286.1_737	31.111	90	509
WP_002740721.1	lcl|NZ_JADDXB010000038.1_cds_WP_011670961.1_1796	25.641	273	330
WP_002740721.1	lcl|NZ_JADDXB010000028.1_cds_WP_011669955.1_1345	23.273	275	330
WP_002740721.1	lcl|NZ_JADDXB010000025.1_cds_WP_011671202.1_1195	27.607	326	330
WP_002740721.1	lcl|NZ_JADDXB010000028.1_cds_WP_011669973.1_1319	25.526	333	330
WP_002740721.1	lcl|NZ_JADDXB010000003.1_cds_WP_011671074.1_1901	26.009	223	330
WP_002740721.1	lcl|NZ_JADDXB010000055.1_cds_WP_011669202.1_2464	24.898	245	330
WP_002740721.1	lcl|NZ_JADDXB010000022.1_cds_WP_011671143.1_1064	27.329	322	330
WP_002740721.1	lcl|NZ_JADDXB010000089.1_cds_WP_011670813.1_3228	26.761	142	330
WP_002740721.1	lcl|NZ_JADDXB010000013.1_cds_WP_017859386.1_349	24.803	254	330
