Ballum	Canicola	Icterohaemorrhagiae	Javanica	Pyrogenes	Australis	Autumnalis	Grippotyphosa	Pomona	Hebdomadis	Mini	Sejroe	Bataviae	Shermani	Tarassovi
WP_230456805.1	WP_003009636.1	WP_002740902.1	WP_239248150.1	WP_244265121.1	WP_036063888.1	WP_004479640.1	WP_004479640.1	WP_244266170.1	WP_002108506.1	WP_002108506.1	WP_237578347.1	WP_000208484.1	WP_016551804.1	WP_061209096.1
WP_001106774.1	WP_000406134.1	WP_004479635.1	WP_004479640.1	WP_010578390.1	WP_004434738.1	WP_016560406.1	WP_004503087.1	WP_020981249.1	WP_237578348.1	WP_237578347.1	WP_004779589.1	WP_000513413.1	WP_016551793.1	WP_000673831.1
WP_282974006.1	WP_016749081.1	WP_004503087.1	WP_003009523.1	WP_000579813.1	WP_004421460.1	WP_004503087.1	WP_016560426.1	WP_016748630.1	WP_002108487.1	WP_100224632.1	WP_004779550.1	WP_002102575.1	WP_004462125.1	WP_000361605.1
WP_000275679.1	WP_000275679.1	WP_001106774.1	WP_050547976.1	WP_000667982.1	WP_036063866.1	WP_004448468.1	WP_000980525.1	WP_016560441.1	WP_002108488.1	WP_004280040.1	WP_020780101.1	WP_000623952.1	WP_004478059.1	WP_000358359.1
WP_002725873.1	WP_036096970.1	WP_223809837.1	WP_003009636.1	WP_002740724.1	WP_004434477.1	WP_020981249.1	WP_000406134.1	WP_001256699.1	WP_002108483.1	WP_237578348.1	WP_011669928.1	WP_000808025.1	WP_004477829.1	WP_061208037.1
WP_010578390.1	WP_004479640.1	WP_003009529.1	WP_002733615.1	WP_002740804.1	WP_004434663.1	WP_016560426.1	WP_016560406.1	WP_016560406.1	WP_004779589.1	WP_004779559.1	WP_100224632.1	WP_000600954.1	WP_004477915.1	WP_004478059.1
WP_002727927.1		WP_003009953.1		WP_003009636.1	WP_004450681.1	WP_004434738.1	WP_016560457.1	WP_282974009.1	WP_002108485.1	WP_004280867.1	WP_011669929.1	WP_243817855.1	WP_000373631.1	WP_228008733.1
WP_078313319.1		WP_001052314.1		WP_036096962.1	WP_002740826.1	WP_016560441.1		WP_016560449.1	WP_000580577.1	WP_004779589.1	WP_002108487.1	WP_000853941.1	WP_004462126.1	WP_061208429.1
WP_003009503.1		WP_198288176.1		WP_001106774.1	WP_004450706.1	WP_282974009.1		WP_004434773.1	WP_025180280.1	WP_025180280.1	WP_004779559.1	WP_000721297.1		WP_000699347.1
WP_000667982.1		WP_032921258.1		WP_039942433.1	WP_004448468.1	WP_016560398.1		WP_016560426.1	WP_002108502.1	WP_004779550.1	WP_000579360.1	WP_001055393.1		
WP_002738295.1				WP_003009473.1	WP_016560398.1			WP_004434738.1	WP_029781911.1	WP_020780101.1		WP_000703222.1		
WP_244265121.1				WP_002740722.1	WP_004450690.1			WP_017214689.1	WP_002108526.1			WP_000699347.1		
				WP_003009503.1	WP_002740861.1							WP_000952994.1		
				WP_003009953.1	WP_002733615.1									
					WP_032853071.1									
