Strain,Australis,Autumnalis,Ballum,Bataviae,Canicola,Celledoni,Cynopteri,Djasiman,Grippotyphosa,Hebdomadis,Icterohaemorrhagiae,Javanica,Manhao,Mini,Panama,Pomona,Pyrogenes,Ranarum,Sarmin,Sejroe,Shermani,Tarassovi,Serogroup,class,Species,max
325_IZSLER,65.964,65.977,41.896,35.794,47.741,38.352,64.602,70.586,69.278,33.118,50.334,41.117,39.205,28.851,63.718,68.568,48.165,37.89,39.392,30.148,32.913,36.928,Australis,2,interrogans,70.586
44_IZSLER,67.076,66.059,41.833,35.794,47.739,38.351,64.79,70.609,69.712,33.118,50.334,41.381,39.204,29.092,63.848,69.525,48.346,37.888,39.559,30.409,32.913,37.194,Australis,2,interrogans,70.609
muenchen1327,66.95,66.223,41.837,35.453,47.747,38.354,64.179,70.381,69.215,33.125,50.341,41.368,39.214,28.857,63.396,69.095,48.451,37.892,39.813,30.155,32.994,36.953,Australis,2,interrogans,70.381
201800570,48.961,63.708,34.93,31.245,39.829,32.912,62.761,69.341,66.113,26.866,40.295,36.426,34.387,24.562,48.065,63.814,40.215,30.787,35.474,26.865,28.636,27.9,Autumnalis,2,interrogans,69.341
Brem_137,67.365,66.672,42.097,36.049,47.747,38.354,64.9,70.949,69.512,33.125,50.341,41.612,39.214,28.694,63.846,69.591,48.137,37.892,39.818,30.005,32.994,36.709,Australis,2,interrogans,70.949
2008720117,65.968,66.333,41.835,35.794,47.741,38.349,64.79,70.7,69.025,33.118,50.334,41.058,39.205,28.773,63.578,68.935,48.505,37.89,39.539,30.065,32.999,36.305,Australis,2,interrogans,70.7
201801752,44.208,55.92,34.939,30.525,39.818,32.596,57.498,69.464,60.171,26.644,40.569,36.286,34.334,24.359,43.58,64.623,40.425,30.757,35.814,26.828,28.613,26.401,Autumnalis,2,interrogans,69.464
ACSBRA_2020,65.879,65.669,41.409,35.312,47.227,37.995,64.09,69.957,68.484,32.677,49.466,40.984,38.679,28.44,62.59,68.804,47.668,37.396,39.258,29.718,32.923,36.428,Australis,2,interrogans,69.957
2008720116,65.715,65.67,42.211,35.726,47.557,38.532,65.244,70.537,69.657,33.179,50.152,41.063,39.175,29.589,63.348,67.783,48.36,37.905,39.116,30.263,32.919,35.782,Australis,2,interrogans,70.537
Brem_179,50.091,60.184,34.075,38.018,38.121,29.58,68.987,63.312,71.612,34.4,37.38,32.788,31.434,30.163,48.714,59.296,37.208,31.167,31.134,32.797,36.937,39.16,Grippotyphosa,2,kirschneri,71.612
201801219,66.506,65.767,41.332,35.791,47.254,37.623,64.744,70.89,68.879,33.121,49.867,40.896,38.801,28.849,63.747,68.832,48.05,37.457,39.822,30.151,32.907,36.342,Australis,2,interrogans,70.89
202001526,66.598,65.644,41.834,35.777,47.737,37.912,64.349,70.912,69.711,33.109,49.779,40.893,39.069,28.845,63.2,69.241,48.581,37.891,39.423,30.151,32.91,36.921,Australis,2,interrogans,70.912
IP1512011,46.88,54.798,34.684,30.224,39.543,29.336,57.848,70.138,59.743,27.267,36.323,33.206,32.69,24.855,42.244,71.887,39.589,28.763,34.033,26.913,28.841,26.358,Pomona,2,interrogans,71.887
grippotyphosa1473,51.68,64.271,43.275,38.147,47.643,35.373,71.792,65.276,72.134,36.128,44.605,41.153,39.169,31.444,51.85,59.992,46.128,36.974,38.5,34.097,39.16,39.719,Grippotyphosa,2,kirschneri,72.134
CMCC-1,68.715,65.813,42.119,36.642,47.91,38.911,66.064,71.883,70.379,32.943,50.831,41.833,39.179,29.931,64.031,68.428,46.846,37.995,39.043,31.395,32.396,36.409,Australis,2,Unknown,71.883
200702252,29.465,30.541,32.444,33.763,39.153,34.349,34.246,33.904,34.661,84.275,38.561,32.228,35.858,85.237,32.675,35.501,38.167,31.937,40.587,83.715,50.42,38.5,Mini,3,santarosai,85.237
CR2621,54.765,69.167,46.242,34.982,48.075,41.802,67.067,70.865,73.328,38.195,45.051,45.291,44.985,36.273,53.615,67.798,47.546,41.642,52.399,38.316,52.999,42.295,Grippotyphosa,2,santarosai,73.328
valbuzzi1427,46.066,60.108,35.705,28.455,40.335,30.959,63.274,72.648,72.45,25.796,38.154,34.341,35.129,23.744,45.087,61.148,39.954,31.493,33.675,25.002,28.393,26.101,Grippotyphosa,2,interrogans,72.648
200112227,30.633,33.489,36.159,32.007,40.06,32.687,34.664,36.499,37.327,66.192,39.635,36.032,35.15,65.232,31.237,37.981,39.17,32.318,35.903,73.139,39.424,41.601,Sejroe,3,borgpetersenii,73.139
201101058,27.62,29.526,32.424,32.735,36.814,29.239,30.205,31.776,32.654,68.756,36.025,33.601,33.026,74.611,27.96,34.341,35.746,29.727,34.296,74.927,40.939,38.237,Mini,3,borgpetersenii,74.927
200403458,29.465,30.267,32.444,33.763,39.153,34.349,34.246,33.904,34.661,84.275,38.561,32.228,35.858,85.24,32.673,35.501,38.184,31.937,40.583,83.615,50.42,37.526,Mini,3,santarosai,85.24
CR1821,53.971,69.935,46.211,34.763,47.885,41.63,69.9,72.278,74.773,37.846,45.166,45.356,44.662,35.746,54.256,66.034,47.305,41.748,52.339,36.53,53.658,42.604,Grippotyphosa,2,santarosai,74.773
IP1605021,52.472,56.688,72.228,41.669,72.36,69.506,52.194,53.686,56.389,40.599,68.937,73.844,59.105,36.757,52.826,52.806,76.61,69.948,65.244,38.809,44.434,51.712,Pyrogenes,1,Leptospira noguchii,76.61
leptoCuba20,52.306,65.724,38.652,33.686,43.393,33.07,74.581,68.484,74.032,29.91,40.136,37.739,36.465,27.137,50.211,61.736,42.899,32.332,35.317,29.687,34.863,31.21,Pomona,2,kirschneri,74.581
SU5,71.194,70.032,46.325,40.966,53.128,42.522,69.274,76.961,74.491,38.685,55.808,45.972,42.881,33.997,68.92,73.161,52.993,41.379,42.869,35.315,39.924,41.728,Australis,2,Unknown,76.961
201700306,49.471,57.696,34.604,31.147,39.545,29.344,62.106,74.979,64.539,27.267,36.323,33.208,32.692,25.056,45.578,77.069,39.475,28.733,33.783,27.228,28.121,26.665,Pomona,2,interrogans,77.069
201800564,31.233,36.5,53.315,24.71,67.705,46.114,32.201,34.865,35.55,24.6,61.9,51.642,50.142,24.178,30.084,34.361,75.785,45.632,52.508,26.487,22.753,31.394,Pyrogenes,1,interrogans,75.785
148237,73.098,72.245,46.062,41.846,53.407,42.631,70.675,77.874,75.843,38.535,56.811,45.732,42.955,33.518,68.428,74.404,53.545,41.43,43.305,36.175,39.745,41.759,Australis,2,interrogans,77.874
178081,73.098,72.248,46.062,41.846,53.407,42.631,70.675,77.874,76.386,38.535,56.811,45.732,42.955,33.518,68.428,74.475,53.328,41.43,43.305,36.175,39.738,41.759,Australis,2,interrogans,77.874
202202768,39.443,43.041,62.422,35.851,61.021,62.829,43.632,48.547,48.94,37.615,61.642,63.67,60.127,36.624,42.708,43.46,61.378,78.712,57.481,36.687,47.131,45.22,Ranarum,1,alstonii,78.712
148260,73.042,72.036,45.928,41.828,53.306,42.51,70.508,77.672,75.914,38.416,56.714,45.606,42.864,33.273,68.342,74.224,53.257,41.409,43.217,36.057,39.637,41.759,Australis,2,interrogans,77.672
202101808,44.435,50.524,76.575,37.851,68.94,76.624,49.671,51.195,54.305,40.982,62.287,78.522,64.337,39.208,46.757,52.062,73.329,67.48,75.625,39.645,56.267,52.647,Pyrogenes,1,santarosai,78.522
1315,72.751,72.194,45.847,41.404,53.141,42.406,70.458,77.94,75.257,38.586,56.61,45.754,42.777,33.383,68.777,72.94,53.532,41.238,42.961,35.347,39.917,42.038,Australis,2,interrogans,77.94
202303413,35.291,37.099,44.651,49.816,46.196,43.781,37.351,39.371,41.177,37.415,46.133,43.406,45.855,38.562,36.152,41.841,44.275,39.538,43.315,39.331,73.285,81.699,Tarassovi,4,alexanderi,81.699
UI_12764,53.343,66.266,43.137,34.643,49.592,39.48,70.966,78.552,79.349,32.748,48.638,41.478,41.301,29.869,53.335,68.81,49.267,37.429,39.816,31.276,34.343,34.825,Grippotyphosa,2,interrogans,79.349
LT2116,35.348,37.105,42.825,49.143,44.402,45.494,38.017,37.588,40.359,37.671,44.522,42.101,41.659,37.287,35.501,40.733,43.913,38.109,40.791,38.656,64.342,80.604,Tarassovi,4,weilii,80.604
Ag21_2020,44.754,49.571,66.007,40.406,74.013,78.458,51.127,51.565,54.402,45.879,77.981,70.723,73.204,43.858,47.456,52.549,76.848,64.828,71.736,45.666,45.283,51.668,Sarmin,1,weilii,78.458
200901118,58.092,71.742,47.1,36.036,47.397,40.794,81.678,73.914,77.394,35.092,47.189,47.722,42.211,36.03,55.95,75.571,46.58,39.595,45.864,39.433,38.559,43.747,Pomona,2,borgpetersenii,81.678
1051,69.549,81.583,49.021,40.48,53.239,43.02,85.002,86.655,87.215,36.642,53.054,50.028,45.197,32.324,62.564,78.931,51.148,41.421,43.363,35.005,39.392,40.993,Autumnalis,2,kirschneri,87.215
202303414,30.535,32.707,35.52,36.702,42.735,35.192,34.635,35.957,35.337,80.334,42.3,36.008,38.865,79.75,34.022,37.99,40.877,34.461,40.512,81.811,43.01,41.166,Hebdomadis,3,alexanderi,81.811
202100064,36.531,37.654,45.904,53.807,47.034,44.111,38.744,39.538,42.535,38.774,46.876,45.049,41.824,39.091,36.247,43.107,44.773,40.653,42.471,39.141,67.601,80.934,Tarassovi,4,Other,80.934
JET,32.849,33.842,34.261,83.939,36.506,34.018,35.151,37.138,36.822,36.835,36.405,33.677,33.013,36.304,34.215,37.848,36.478,32.864,42.185,37.408,80.329,59.174,Tarassovi,4,santarosai,83.939
2ACAP,54.957,71.33,48.105,34.722,49.838,41.189,75.464,77.206,82.187,38.5,46.868,47.048,46.736,36.381,57.272,72.676,48.747,43.281,52.564,36.047,53.069,42.207,Grippotyphosa,2,santarosai,82.187
LO-9,54.267,69.431,47.884,34.718,49.618,41.174,74.235,77.235,81.967,38.534,46.531,46.654,46.446,36.186,57.031,71.849,48.393,42.936,52.076,36.234,53.074,41.202,Grippotyphosa,2,santarosai,81.967
U73,80.681,69.902,44.581,40.887,48.179,43.288,65.5,73.809,68.785,35.781,49.394,43.566,41.437,32.588,77.534,70.127,47.9,40.036,43.879,34.969,37.967,42.557,Panama,2,noguchii,80.681
56180,56.332,73.112,46.919,34.969,48.572,42.144,75.939,77.967,80.595,38.403,45.738,45.985,45.908,35.6,56.561,70.288,47.578,42.539,52.581,36.488,53.511,41.417,Grippotyphosa,2,santarosai,80.595
202303415,44.524,48.145,69.949,37.849,67.948,83.251,49.488,50.498,52.704,42.972,71.292,79.104,81.264,43.442,48.577,50.643,70.78,68.361,67.643,44.449,42.001,50.072,Javanica,1,alexanderi,83.251
202303416,29.696,31.7,32.008,33.031,39.124,34.125,33.212,33.9,34.476,84.267,38.69,32.143,35.801,84.744,31.67,35.36,38.171,32.002,40.544,83.025,50.506,38.344,Mini,3,santarosai,84.744
200803703,35.209,37.151,35.2,35.815,42.848,33.691,40.026,39.409,39.736,83.73,42.084,35.454,37.244,79.505,36.246,38.5,41.385,33.508,36.406,84.141,41.374,41.374,Mini,3,kirschneri,84.141
L53,30.318,33.691,32.192,34.581,41.92,30.044,34.149,38.274,36.262,84.945,42.767,32.532,34.809,77.57,33.559,37.593,41.661,32.178,36.314,83.967,40.192,38.434,Sejroe,3,interrogans,84.945
CR1421,43.622,49.243,70.118,37.973,72.499,65.504,49.595,52.632,54.784,45.531,66.092,68.957,68.044,44.574,46.758,54.406,75.455,61.216,83.341,45.161,54.379,52.384,Pyrogenes,1,santarosai,83.341
CR2020,30.747,32.081,32.631,34.295,39.81,33.657,34.605,34.765,35.289,82.351,39.25,32.839,34.375,79.435,33.078,35.964,38.846,32.417,40.819,80.56,54.265,39.718,Hebdomadis,3,santarosai,82.351
Oregon,27.575,32.378,31.859,32.218,39.051,32.834,32.498,33.885,34.787,82.534,38.557,32.049,35.786,83.833,31.439,34.636,38.183,32,40.26,82.858,49.925,38.35,Mini,3,santarosai,83.833
2006006960,49.502,55.352,70.829,42.865,90.758,60.8,53.491,61.213,60.107,46.881,83.339,68.467,66.097,40.461,50.981,57.346,97.897,60.23,67.12,42.198,45.321,50.307,Pyrogenes,1,interrogans,97.897
56163,28.244,32.378,31.859,32.218,39.051,32.617,32.498,33.885,34.787,82.534,38.557,32.049,35.786,83.28,31.517,34.79,38.16,32,40.558,81.811,49.586,38.35,Mini,3,santarosai,83.28
ZUN179,43.352,50.754,70.637,37.159,73.78,66.026,49.492,53.474,55.177,44.395,67.314,69.026,72.481,41.462,46.718,53.476,77.467,61.652,85.97,41.36,52.925,50.782,Pyrogenes,1,santarosai,85.97
200201189,55.058,70.271,48.332,38.693,52.937,40.056,77.615,73.704,80.959,36.49,49.909,47.002,45.35,31.877,55.849,65.438,50.599,43.048,43.148,34.472,39.721,40.082,Grippotyphosa,2,kirschneri,80.959
Norma,30.712,34.113,32.556,35.042,42.451,30.373,34.53,38.868,36.751,85.931,43.296,32.873,35.146,78.442,33.988,38.125,42.172,32.499,36.646,84.828,40.866,38.886,Sejroe,3,interrogans,85.931
Hardjoprajitno,30.456,33.631,32.556,35.038,42.451,30.373,34.609,38.868,36.751,85.431,43.296,32.664,35.146,77.942,33.059,38.113,41.81,32.499,36.646,84.322,40.701,38.892,Sejroe,3,interrogans,85.431
OV5,30.818,33.409,32.656,34.945,42.551,30.366,34.438,38.486,36.86,85.902,42.585,33.015,35.263,78.388,34.417,37.854,42.183,32.491,36.326,84.932,40.867,38.26,Sejroe,3,Leptospira interrogans serovar Hardjo,85.902
CR2821,44.231,49.588,71.65,38.277,73.831,66.467,49.944,53.026,55.396,45.784,66.988,69.993,72.219,44.799,47.361,54.545,76.908,62.344,85.009,45.196,54.453,52.715,Pyrogenes,1,santarosai,85.009
201700040,27.782,29.659,32.549,32.576,36.817,29.316,30.437,31.828,32.695,76.504,36.136,33.645,33.064,83.582,28.819,34.546,35.916,29.729,34.351,85.014,41.188,38.324,Mini,3,borgpetersenii,85.014
201101282,27.775,29.56,32.424,32.829,36.83,29.306,30.404,31.79,32.668,77.077,36.056,33.511,33.054,84.178,28.83,34.501,35.68,29.727,34.223,85.071,41.166,38.433,Mini,3,borgpetersenii,85.071
200801910,44.239,48.636,99.609,38.994,69.663,65.994,51.994,53.637,58.294,38.409,62.062,85.277,64.139,38.82,45.865,54.095,72.832,64.284,62.85,42.915,44.923,58.25,Ballum,1,borgpetersenii,99.609
200801925,35.2,37.949,35.434,35.811,42.86,33.528,39.375,39.418,39.913,83.746,42.085,35.692,37.219,79.694,35.945,38.467,42.08,33.616,36.826,84.19,41.523,41.377,Mini,3,kirschneri,84.19
LT2156,44.485,49.682,61.378,40.002,79.1,57.064,46.42,52.301,50.277,44.096,76.212,59.703,58.147,38.757,45.563,49.335,85.13,55.825,60.551,41.372,42.663,48.353,Pyrogenes,1,interrogans,85.13
200901485,28.011,29.56,32.424,32.949,36.83,29.337,30.481,31.79,32.668,77.077,36.056,33.492,33.054,84.178,28.884,34.516,35.756,29.727,34.21,85.219,41.166,38.433,Mini,3,borgpetersenii,85.219
L0374,41.69,48.65,59.653,36.296,76.142,53.745,45.88,51.482,49.868,38.656,70.858,58.995,56.553,34.714,41.646,49.442,84.077,52.419,59.144,37.614,37.326,44.515,Pyrogenes,1,interrogans,84.077
L52,31.043,32.425,32.569,35.74,42.498,30.919,35.055,38.938,37.284,84.215,42.668,32.639,35.022,76.552,32.986,36.911,41.829,32.158,35.95,82.711,41.051,36.424,Sejroe,3,Leptospira interrogans serovar Ricardi,84.215
80-412,41.274,44.362,67.163,37.817,64.683,65.971,46.634,50.214,52.98,39.037,65.103,69.173,63.356,38.664,45.122,46.156,63.999,85.28,59.149,38.473,48.062,48.385,Ranarum,1,alstonii,85.28
U164,28.619,31.549,40.042,45.715,41.531,35.899,30.382,32.196,34.758,34.24,41.074,38.63,35.169,34.627,30.216,34.036,40.829,36.888,43.9,33.677,86.756,63.48,Tarassovi,4,santarosai,86.756
201600663,32.208,34.432,37.136,33.426,41.702,33.539,35.644,37.373,38.204,79.056,41.263,38.069,37.14,83.685,33.482,39.409,40.567,33.43,37.919,85.161,41.24,43.409,Mini,3,borgpetersenii,85.161
N116,30.709,34.107,32.556,35.042,42.446,30.373,34.609,38.868,36.751,85.537,43.291,32.873,35.141,77.953,33.988,38.125,42.456,32.499,36.641,84.323,40.859,38.797,Sejroe,3,interrogans,85.537
M498,29.343,31.256,31.834,33.507,39.102,31.999,33.309,35.054,34.877,81.485,38.774,31.933,35.363,80.311,32.193,36.885,38.398,31.635,42.212,87.019,52.635,38.486,Sejroe,3,santarosai,87.019
FMAS_RT2,62.956,77.164,47.597,40.925,55.451,42.702,78.184,87.744,86.784,38.913,55.92,48.63,45.219,33.492,63.444,81.652,55.139,41.47,44.728,36.071,39.582,40.929,Autumnalis,2,Leptospira interrogans,87.744
202200046,45.182,50.061,71.061,38.673,73.763,66.129,50.514,53.402,55.375,44.038,66.847,69.092,72.336,42.881,47.465,54.555,76.916,60.126,85.025,43.7,55.21,52.242,Pyrogenes,1,santarosai,85.025
LSU1013,33.722,36.417,43.851,49.009,45.029,40.41,36.443,39.474,40.256,37.177,44.616,42.244,39.146,36.863,34.454,39.697,43.702,39.596,49.612,37.904,86.122,76.761,Tarassovi,4,santarosai,86.122
