protein acc,class,serogroup
WP_002725873.1,1,Ballum
WP_026054882.1,1,Ballum
WP_002733646.1,1,Ballum
WP_002733534.1,1,Ballum
WP_002733627.1,1,Ballum
WP_002740721.1,1,Ballum
WP_002740826.1,1,Ballum
WP_002740861.1,1,Ballum
WP_002740729.1,1,Ballum
WP_002740998.1,1,Ballum
WP_032853071.1,1,Ballum
WP_002740848.1,1,Ballum
WP_002740917.1,1,Ballum
WP_002740692.1,1,Ballum
WP_230456811.1,1,Ballum
WP_002740902.1,1,Ballum
WP_002740695.1,1,Ballum
WP_002740804.1,1,Ballum
WP_002740724.1,1,Ballum
WP_078313319.1,1,Ballum
WP_002740875.1,1,Ballum
WP_002733611.1,1,Ballum
WP_002740938.1,1,Ballum
WP_016749081.1,1,Ballum
WP_002738232.1,1,Ballum
WP_002744551.1,1,Ballum
WP_002733548.1,1,Ballum
WP_002733638.1,1,Ballum
WP_002733599.1,1,Ballum
WP_002740722.1,1,Ballum
WP_002740926.1,1,Ballum
WP_002741071.1,1,Ballum
WP_002740726.1,1,Ballum
WP_002740862.1,1,Ballum
WP_002740808.1,1,Ballum
WP_139363593.1,1,Ballum
WP_002740041.1,1,Ballum
WP_002740242.1,1,Ballum
WP_230456805.1,1,Ballum
WP_002740235.1,1,Ballum
WP_002733603.1,1,Ballum
WP_016749097.1,1,Ballum
WP_002733722.1,1,Ballum
WP_002733600.1,1,Ballum
WP_002733582.1,1,Ballum
WP_002738295.1,1,Ballum
WP_002733757.1,1,Ballum
WP_002733619.1,1,Ballum
WP_002733546.1,1,Ballum
WP_002733661.1,1,Ballum
WP_002740249.1,1,Ballum
WP_002733553.1,1,Ballum
WP_002733572.1,1,Ballum
WP_002721301.1,1,Ballum
WP_002721297.1,1,Ballum
WP_002733636.1,1,Ballum
WP_002733711.1,1,Ballum
WP_002740298.1,1,Ballum
WP_050547976.1,1,Ballum
WP_002727923.1,1,Ballum
WP_002740294.1,1,Ballum
WP_002727913.1,1,Ballum
WP_002742128.1,1,Ballum
WP_002740063.1,1,Ballum
WP_002740024.1,1,Ballum
WP_002727921.1,1,Ballum
WP_002727925.1,1,Ballum
WP_002733618.1,1,Ballum
WP_002727927.1,1,Ballum
WP_228029599.1,1,Ballum
WP_004503036.1,1,Celledoni
WP_004503130.1,1,Celledoni
WP_004503087.1,1,Celledoni
WP_061217626.1,1,Celledoni
WP_239248136.1,1,Celledoni
WP_061236010.1,1,Celledoni
WP_239248140.1,1,Celledoni
WP_239248141.1,1,Celledoni
WP_198288176.1,1,Celledoni
WP_004503102.1,1,Celledoni
WP_004503062.1,1,Celledoni
WP_016758916.1,1,Celledoni
WP_004503046.1,1,Celledoni
WP_004503150.1,1,Celledoni
WP_239248147.1,1,Celledoni
WP_239248148.1,1,Celledoni
WP_004503982.1,1,Celledoni
WP_239248149.1,1,Celledoni
WP_239248150.1,1,Celledoni
WP_239244854.1,1,Celledoni
WP_025185097.1,1,Celledoni
WP_239245559.1,1,Celledoni
WP_061217853.1,1,Celledoni
WP_239248151.1,1,Celledoni
WP_004503514.1,1,Celledoni
WP_061217850.1,1,Celledoni
WP_239248154.1,1,Celledoni
WP_239248155.1,1,Celledoni
WP_016759267.1,1,Celledoni
WP_004498219.1,1,Celledoni
WP_239248166.1,1,Celledoni
WP_061217842.1,1,Celledoni
WP_239248167.1,1,Celledoni
WP_002733615.1,1,Javanica
WP_002733621.1,1,Javanica
WP_230456555.1,1,Javanica
WP_002733668.1,1,Javanica
WP_010578397.1,1,Manhao
WP_039942433.1,1,Manhao
WP_244265121.1,1,Manhao
WP_020984865.1,1,Manhao
WP_010578390.1,1,Manhao
WP_010578389.1,1,Manhao
WP_020984992.1,1,Manhao
WP_039942515.1,1,Manhao
WP_010578386.1,1,Manhao
WP_039942517.1,1,Manhao
WP_020984822.1,1,Manhao
WP_010578367.1,1,Manhao
WP_020984998.1,1,Manhao
WP_010578364.1,1,Manhao
WP_010578363.1,1,Manhao
WP_010578362.1,1,Manhao
WP_176082391.1,1,Manhao
WP_010578352.1,1,Manhao
WP_010578351.1,1,Manhao
WP_020984884.1,1,Manhao
WP_020984929.1,1,Manhao
WP_020985009.1,1,Manhao
WP_010578338.1,1,Manhao
WP_020985003.1,1,Manhao
WP_020984854.1,1,Manhao
WP_020985010.1,1,Manhao
WP_003009804.1,1,Ranarum
WP_003009905.1,1,Ranarum
WP_003009428.1,1,Ranarum
WP_003009953.1,1,Ranarum
WP_036096972.1,1,Ranarum
WP_036096970.1,1,Ranarum
WP_230458349.1,1,Ranarum
WP_003009503.1,1,Ranarum
WP_003009356.1,1,Ranarum
WP_003009636.1,1,Ranarum
WP_003009939.1,1,Ranarum
WP_003009665.1,1,Ranarum
WP_036096962.1,1,Ranarum
WP_003009741.1,1,Ranarum
WP_003009573.1,1,Ranarum
WP_003009589.1,1,Ranarum
WP_003009812.1,1,Ranarum
WP_003009776.1,1,Ranarum
WP_036097005.1,1,Ranarum
WP_036096948.1,1,Ranarum
WP_003009323.1,1,Ranarum
WP_003009722.1,1,Ranarum
WP_196221670.1,1,Ranarum
WP_003009473.1,1,Ranarum
WP_036096945.1,1,Ranarum
WP_036096942.1,1,Ranarum
WP_003009529.1,1,Ranarum
WP_003009523.1,1,Ranarum
WP_003009380.1,1,Ranarum
WP_003009621.1,1,Ranarum
WP_003009949.1,1,Ranarum
WP_003009344.1,1,Ranarum
WP_003009386.1,1,Ranarum
