Strain,Serogroup,class
200703021,Grippotyphosa,2
200703020,Grippotyphosa,2
20021189,Grippotyphosa,2
Brem_127_Duyster,Grippotyphosa,2
201402975,Grippotyphosa,2
UCR5RB1,Grippotyphosa,2
201600670,Grippotyphosa,2
202103009,Pomona,2
Fiocruz_LV2799,Icterohaemorrhagiae,1
202102999,Icterohaemorrhagiae,1
202102994,Pomona,2
Fiocruz_LV2832,Icterohaemorrhagiae,1
UI_09931,Javanica,1
LP101,Autumnalis,2
Fiocruz_LV2806,Icterohaemorrhagiae,1
202102907,Icterohaemorrhagiae,1
2006006972,Icterohaemorrhagiae,1
Fiocruz_LV212,Icterohaemorrhagiae,1
Duyster,Grippotyphosa,2
FMAS_AW1,Autumnalis,2
FMAS_AW2,Autumnalis,2
1530d,Icterohaemorrhagiae,1
2006006986,Grippotyphosa,2
2006006982,Icterohaemorrhagiae,1
202102993,Pomona,2
TE_0159,Ballum,1
Kantorowic,Icterohaemorrhagiae,1
Fiocruz_LV2933,Icterohaemorrhagiae,1
UT053,Sejroe,3
202102991,Pomona,2
201800890,Pomona,2
NIID15,Autumnalis,2
202102989,Pomona,2
Andaman,Grippotyphosa,2
202103007,Pomona,2
Fiocruz_LV2908,Icterohaemorrhagiae,1
S606,Icterohaemorrhagiae,1
B42,Icterohaemorrhagiae,1
L231,Manhao,1
158130,Autumnalis,2
B167,Icterohaemorrhagiae,1
Piyasena,Javanica,1
R287,Icterohaemorrhagiae,1
S1006,Icterohaemorrhagiae,1
S72,Icterohaemorrhagiae,1
NIID12,Autumnalis,2
X240,Icterohaemorrhagiae,1
W26,Icterohaemorrhagiae,1
Wijnberg,Icterohaemorrhagiae,1
202102992,Pomona,2
Fiocruz_LV3737,Icterohaemorrhagiae,1
B33,Icterohaemorrhagiae,1
RGA,Icterohaemorrhagiae,1
Nikolaevo,Autumnalis,2
Sh9,Ballum,1
202202782,Bataviae,4
Fiocruz_LV204,Icterohaemorrhagiae,1
201203348,Canicola,1
202102995,Icterohaemorrhagiae,1
Fiocruz_LV3738,Icterohaemorrhagiae,1
200801774,Grippotyphosa,2
K56,Pyrogenes,1
202102998,Pomona,2
2007005490,Icterohaemorrhagiae,1
202100001,Icterohaemorrhagiae,1
202101402,Icterohaemorrhagiae,1
Fiocruz_LV2953,Icterohaemorrhagiae,1
SEMNICKI,Pomona,2
P2431,Icterohaemorrhagiae,1
172_IZSLER,Pomona,2
200701182,Icterohaemorrhagiae,1
Fiocruz_R154,Icterohaemorrhagiae,1
Fiocruz_LV3096,Icterohaemorrhagiae,1
Fiocruz_LV2825,Icterohaemorrhagiae,1
Vehlefans_3,Pomona,2
Vehlefans_2,Pomona,2
Fiocruz_LV3094,Icterohaemorrhagiae,1
202102997,Icterohaemorrhagiae,1
CLEP00179,Icterohaemorrhagiae,1
UP-OM,Pyrogenes,1
Fiocruz_LV3834,Icterohaemorrhagiae,1
202103003,Icterohaemorrhagiae,1
Fiocruz_LV3086,Icterohaemorrhagiae,1
L495,Pyrogenes,1
HAI821,Tarassovi,4
Fiocruz_LV2805,Icterohaemorrhagiae,1
Fiocruz_LV192,Icterohaemorrhagiae,1
CR2120,Shermani,4
Fiocruz_LV2948,Icterohaemorrhagiae,1
Ag07_2020,Grippotyphosa,2
Mallika,Autumnalis,2
Fiocruz_LV130,Icterohaemorrhagiae,1
Fiocruz_LV3409,Icterohaemorrhagiae,1
Fiocruz_LV4034,Icterohaemorrhagiae,1
Fiocruz_LV4108,Icterohaemorrhagiae,1
Fiocruz_LV4113,Icterohaemorrhagiae,1
Fiocruz_LV4188,Icterohaemorrhagiae,1
Fiocruz_LV4225,Icterohaemorrhagiae,1
Fiocruz_2756_C1,Icterohaemorrhagiae,1
Fiocruz_LV251,Icterohaemorrhagiae,1
Fiocruz_LV2750,Icterohaemorrhagiae,1
Fiocruz_LV2755,Icterohaemorrhagiae,1
Fiocruz_LV2766,Icterohaemorrhagiae,1
Fiocruz_LV2807,Icterohaemorrhagiae,1
Fiocruz_LV2816,Icterohaemorrhagiae,1
Fiocruz_LV2841,Icterohaemorrhagiae,1
Fiocruz_LV2919,Icterohaemorrhagiae,1
Fiocruz_LV3076,Icterohaemorrhagiae,1
Fiocruz_LV3213,Icterohaemorrhagiae,1
Fiocruz_LV3726,Icterohaemorrhagiae,1
Fiocruz_LV4114,Icterohaemorrhagiae,1
Fiocruz_LV4118,Icterohaemorrhagiae,1
Fiocruz_LV4152,Icterohaemorrhagiae,1
Fiocruz_LV4160,Icterohaemorrhagiae,1
Fiocruz_LV4173,Icterohaemorrhagiae,1
Fiocruz_LV4174,Icterohaemorrhagiae,1
Fiocruz_LV4211,Icterohaemorrhagiae,1
Fiocruz_LV4212,Icterohaemorrhagiae,1
Fiocruz_LV4217,Icterohaemorrhagiae,1
Fiocruz_LV4234,Icterohaemorrhagiae,1
CLEP00152,Icterohaemorrhagiae,1
Fiocruz_LV2897,Icterohaemorrhagiae,1
56101,Icterohaemorrhagiae,1
MH4027,Icterohaemorrhagiae,1
56626,Autumnalis,2
Fiocruz_L1-130,Icterohaemorrhagiae,1
Fiocruz_LV199,Icterohaemorrhagiae,1
Fiocruz_LV2767,Icterohaemorrhagiae,1
Fiocruz_LV2772,Icterohaemorrhagiae,1
Fiocruz_LV3373,Icterohaemorrhagiae,1
Fiocruz_LV2791,Icterohaemorrhagiae,1
Fiocruz_LV2973,Icterohaemorrhagiae,1
Fiocruz_LV239,Icterohaemorrhagiae,1
Fiocruz_LV2752,Icterohaemorrhagiae,1
Fiocruz_LV2756C6,Icterohaemorrhagiae,1
Fiocruz_LV2759,Icterohaemorrhagiae,1
Fiocruz_LV2763,Icterohaemorrhagiae,1
Fiocruz_LV2776,Icterohaemorrhagiae,1
Fiocruz_LV2787,Icterohaemorrhagiae,1
Fiocruz_LV2790,Icterohaemorrhagiae,1
Fiocruz_LV2811,Icterohaemorrhagiae,1
Fiocruz_LV2812,Icterohaemorrhagiae,1
Fiocruz_LV2958,Icterohaemorrhagiae,1
Fiocruz_LV2959,Icterohaemorrhagiae,1
Fiocruz_LV3323,Icterohaemorrhagiae,1
Fiocruz_LV3879,Icterohaemorrhagiae,1
NIID21,Icterohaemorrhagiae,1
201801761,Grippotyphosa,2
NIID16,Icterohaemorrhagiae,1
NIID7,Icterohaemorrhagiae,1
NIID13,Icterohaemorrhagiae,1
NIID17,Icterohaemorrhagiae,1
UP_MMC_NIID_HP,Pyrogenes,1
UP_MMC_NIID_LP,Pyrogenes,1
NIID11,Icterohaemorrhagiae,1
201401993,Grippotyphosa,2
56618,Icterohaemorrhagiae,1
200208340,Icterohaemorrhagiae,1
UI29382,Autumnalis,2
202100065,Shermani,4
202103004,Icterohaemorrhagiae,1
grippotyphosa1231,Grippotyphosa,2
257K,Autumnalis,2
201802615,Icterohaemorrhagiae,1
Duyster-Boelhouwer,Grippotyphosa,2
wtmanilae,Pyrogenes,1
202202802,Icterohaemorrhagiae,1
200309516,Icterohaemorrhagiae,1
201601174,Icterohaemorrhagiae,1
201700045,Grippotyphosa,2
202103001,Icterohaemorrhagiae,1
56678,Icterohaemorrhagiae,1
R103,Icterohaemorrhagiae,1
201801189,Autumnalis,2
202101578,Icterohaemorrhagiae,1
201801172bis,Autumnalis,2
202103006,Icterohaemorrhagiae,1
grippotyphosa1481,Grippotyphosa,2
201800707,Icterohaemorrhagiae,1
2002000634,Icterohaemorrhagiae,1
200010104,Icterohaemorrhagiae,1
200209405,Icterohaemorrhagiae,1
M001_Tn_Mutant_Parent,Pyrogenes,1
MK146,Javanica,1
202101403,Icterohaemorrhagiae,1
202103005,Icterohaemorrhagiae,1
201801191,Autumnalis,2
ratnapura1439,Grippotyphosa,2
202202118,Icterohaemorrhagiae,1
leptoCuba22,Icterohaemorrhagiae,1
202102988,Icterohaemorrhagiae,1
2002009669,Icterohaemorrhagiae,1
201801165,Autumnalis,2
200804418,Icterohaemorrhagiae,1
L0066,Javanica,1
201801162,Autumnalis,2
201801158bis,Grippotyphosa,2
201100516,Icterohaemorrhagiae,1
201900329,Ballum,1
201801190,Autumnalis,2
DCP-041,Sejroe,3
R066,Icterohaemorrhagiae,1
202102996,Icterohaemorrhagiae,1
201801753,Autumnalis,2
201801758,Autumnalis,2
M933_lip32_mutant,Pyrogenes,1
Fiocruz_L1_130,Icterohaemorrhagiae,1
441_IZSLER,Icterohaemorrhagiae,1
Fiocruz_R83,Icterohaemorrhagiae,1
Verdun_LP,Icterohaemorrhagiae,1
274_IZSLER,Icterohaemorrhagiae,1
425_IZSLER,Icterohaemorrhagiae,1
201300035,Icterohaemorrhagiae,1
PIKA,Icterohaemorrhagiae,1
FMAS_KG1,Bataviae,4
201801176ter,Autumnalis,2
201801167,Autumnalis,2
56609,Grippotyphosa,2
FMAS_PN2,Icterohaemorrhagiae,1
202202119,Icterohaemorrhagiae,1
201900341,Icterohaemorrhagiae,1
IP1509009,Pomona,2
LO-3,Canicola,1
CR0821,Shermani,4
202001619,Icterohaemorrhagiae,1
201601171,Pomona,2
202001249,Icterohaemorrhagiae,1
200210329,Icterohaemorrhagiae,1
OS80,Javanica,1
200412424,Icterohaemorrhagiae,1
LEPTOCUBA17,Ballum,1
198085,Javanica,1
Langkawi,Icterohaemorrhagiae,1
LEPTOCUBA05,Pomona,2
201700303,Pomona,2
202300078,Sejroe,3
CSL10083,Pomona,2
GR5,Pomona,2
202300080,Sejroe,3
L1111,Bataviae,4
Naam,Icterohaemorrhagiae,1
1342KT,Shermani,4
CSL4002,Pomona,2
202300082,Sejroe,3
cuba_15,Ballum,1
200302438,Icterohaemorrhagiae,1
FMAS_AP5,Pyrogenes,1
4-I,Javanica,1
148274,Grippotyphosa,2
200201191,Icterohaemorrhagiae,1
208140,Grippotyphosa,2
158174,Grippotyphosa,2
202100004,Pomona,2
56666,Canicola,1
213K,Autumnalis,2
FMAS_AW3,Pyrogenes,1
L0864,Javanica,1
DSM_21538,Javanica,1
198076,Icterohaemorrhagiae,1
56602,Javanica,1
MitisJohnson,Tarassovi,4
LJ178,Canicola,1
TC129,Sejroe,3
TC112,Sejroe,3
TC147,Sejroe,3
TC273,Sejroe,3
202300077,Sejroe,3
201902969,Pomona,2
200901116,Mini,3
1489,Bataviae,4
FMAS_AP6,Pyrogenes,1
ZUN142,Autumnalis,2
IPAV,Icterohaemorrhagiae,1
JB197,Sejroe,3
203,Sejroe,3
CR2021,Ballum,1
L49,Sejroe,3
DCP-009,Sejroe,3
611,Canicola,1
L550,Sejroe,3
201800888,Pomona,2
MN900,Tarassovi,4
Sri_Lanka_39,Pyrogenes,1
56660,Javanica,1
G32,Icterohaemorrhagiae,1
Sri_Lanka_30,Pyrogenes,1
KR39,Sejroe,3
L60,Manhao,1
Sri_Lanka_46,Pyrogenes,1
AKRFB,Pomona,2
LO-4,Canicola,1
I2,Javanica,1
R499,Sejroe,3
Fiocruz_LV4135,Shermani,4
148231,Grippotyphosa,2
SN_Ce_RL4,Sejroe,3
R168,Pyrogenes,1
Fiocruz_LV3954,Shermani,4
MH4000,Pomona,2
MH4012,Pomona,2
Gui44,Canicola,1
Lely_607,Sejroe,3
56605,Pyrogenes,1
201800574,Pyrogenes,1
RL0016,Sejroe,3
A_Bt_HO907,Sejroe,3
3522_CT,Cynopteri,2
56653,Grippotyphosa,2
LO-24,Ballum,1
MH4001,Canicola,1
028K,Javanica,1
MH4029,Pomona,2
201700043,Pomona,2
NIID20,Hebdomadis,3
OM130,Ballum,1
188076,Hebdomadis,3
201501067,Pyrogenes,1
201600667,Pyrogenes,1
202201145,Pyrogenes,1
HO0907CK,Sejroe,3
HO0912CK,Sejroe,3
211U,Javanica,1
201601172,Pomona,2
OHJ20061,Hebdomadis,3
OR1081,Hebdomadis,3
201900332,Sejroe,3
IP1710044,Pomona,2
FMAS_PN5,Grippotyphosa,2
200901489,Pyrogenes,1
198056,Hebdomadis,3
198035,Hebdomadis,3
200901263,Mini,3
70_IZSLER,Sejroe,3
112_IZSLER,Sejroe,3
56620,Icterohaemorrhagiae,1
IP1710043,Pomona,2
202200246,Pyrogenes,1
168148,Pyrogenes,1
NIID25,Hebdomadis,3
OHJ2008135U,Hebdomadis,3
189K,Javanica,1
188104,Hebdomadis,3
IP1512016,Pomona,2
pina1294,Australis,2
080K,Javanica,1
148248,Hebdomadis,3
178119,Hebdomadis,3
MM0310CK,Ballum,1
201700301,Pomona,2
138065,Hebdomadis,3
FMAS_PD1,Pyrogenes,1
2006006962,Pomona,2
201700316,Pomona,2
IP1710047,Pomona,2
185K,Javanica,1
Tar10,Tarassovi,4
208138,Hebdomadis,3
SOFTIC,Pomona,2
LEPTOCUBA14,Ballum,1
OHJ200314,Hebdomadis,3
MM0351CK,Ballum,1
012K,Javanica,1
lyse,Panama,2
188072,Hebdomadis,3
MM0324CK,Ballum,1
188058,Hebdomadis,3
178122,Hebdomadis,3
MM0270CK,Sejroe,3
MM0332CK,Ballum,1
201800891,Ballum,1
HROSC,Pomona,2
198045,Hebdomadis,3
FMAS_KG2,Pyrogenes,1
201700039,Pomona,2
LEPTOCUBA04,Ballum,1
G30,Icterohaemorrhagiae,1
MM0330CK,Ballum,1
MM0159CK,Ballum,1
158145,Pyrogenes,1
HS006,Canicola,1
201502613,Canicola,1
IP1512014,Pomona,2
MM0220CK,Ballum,1
MM0325CK,Ballum,1
Bal_mus127,Ballum,1
MM0317CK,Ballum,1
MM0031CK,Ballum,1
MM0272CK,Ballum,1
MM0366CK,Ballum,1
MM0313CK,Ballum,1
406_IZSLER,Ballum,1
MM0037CK,Ballum,1
FK100,Canicola,1
168079,Pyrogenes,1
188083,Hebdomadis,3
Fox_32256,Pomona,2
MM0350CK,Ballum,1
178047,Pyrogenes,1
A75,Canicola,1
Ag06_2020,Cynopteri,2
MM0263CK,Ballum,1
MM0340CK,Ballum,1
MM0370CK,Ballum,1
F384,Canicola,1
F402,Canicola,1
MM0275CK,Ballum,1
MM0013CK,Ballum,1
MM0260CK,Ballum,1
MM0273CK,Ballum,1
MM0327CK,Ballum,1
128024,Hebdomadis,3
MM0354CK,Ballum,1
433_IZSLER,Pomona,2
MM0189CU,Ballum,1
P2655,Canicola,1
Pom_str68,Pomona,2
Sponselee,Sejroe,3
MM0026CU,Ballum,1
MM0336CK,Ballum,1
Sponselee_CDC,Sejroe,3
A_Bt_HO912,Sejroe,3
MM0265CK,Ballum,1
MM0344CK,Ballum,1
138034,Pyrogenes,1
158143,Hebdomadis,3
MM0010CK,Ballum,1
B1_Mm_MM050,Ballum,1
178114,Hebdomadis,3
MM0161CK,Ballum,1
MM0259CK,Ballum,1
MM0320CK,Ballum,1
A1_Mm_MM043,Ballum,1
NIID23,Hebdomadis,3
201700955,Pyrogenes,1
MM0013CU,Ballum,1
MM0028CK,Ballum,1
MM0211CK,Ballum,1
MM0277CK,Ballum,1
MM0372CK,Ballum,1
T74,Tarassovi,4
445_IZSLER,Pomona,2
MM0195CK,Ballum,1
MM0242CK,Ballum,1
MM0261CK,Ballum,1
2006006973,Pyrogenes,1
A2_Mm_MM148,Ballum,1
MM0244CK,Ballum,1
B1_Mm_MM098,Ballum,1
MM0026CK,Ballum,1
IP1506001,Sejroe,3
A2_Mm_MM189,Ballum,1
A3_Mm_MM273,Ballum,1
A1_Mm_MM031U,Ballum,1
56673,Javanica,1
MM0256CK,Ballum,1
MM0268CK,Ballum,1
Tar14,Tarassovi,4
201501063,Mini,3
MM0264CK,Ballum,1
MM0269CK,Ballum,1
MM0342CK,Ballum,1
MM0011CK,Ballum,1
IP1710039,Pomona,2
MM0006CK,Ballum,1
MM0050CK,Ballum,1
MM0196CK,Ballum,1
MM0200CK,Ballum,1
A2_Mm_MM211,Ballum,1
202000074,Icterohaemorrhagiae,1
MM0258CK,Ballum,1
MM0098CU,Ballum,1
MM0262CK,Ballum,1
2006006968,Pomona,2
MM0119CK,Ballum,1
MM0257CK,Ballum,1
A3_Mm_MM272,Ballum,1
MM0213CK,Ballum,1
A3_Mm_MM263,Ballum,1
MM0361CK,Ballum,1
A3_Mm_MM260,Ballum,1
A3_Mm_MM258,Ballum,1
A3_Mm_MM259,Ballum,1
A3_Mm_MM275,Ballum,1
MM0134CK,Ballum,1
A2_Ee_MM196,Ballum,1
MU_Rr_LW001,Ballum,1
MM0031CU,Ballum,1
MM0148CK,Ballum,1
A2_Mm_MM200,Ballum,1
201601010,Pyrogenes,1
201501058,Mini,3
MM0011CU,Ballum,1
A2_Mm_MM161,Ballum,1
A1_Mm_MM037,Ballum,1
158128,Hebdomadis,3
IP1710045,Pomona,2
A3_Ee_MM277,Ballum,1
MM0280CK,Ballum,1
41009,Hebdomadis,3
178101,Pyrogenes,1
MMD3,Sarmin,1
148250,Hebdomadis,3
A2_Mm_MM138,Ballum,1
148333,Hebdomadis,3
A1_Mm_MM010,Ballum,1
A3_Mm_MM261,Ballum,1
MM0138CK,Ballum,1
A2_Mm_MM242,Ballum,1
A3_Mm_MM262,Ballum,1
MM0043CK,Ballum,1
IP1512015,Pomona,2
IP1710040,Pomona,2
201401327,Ballum,1
201801173,Canicola,1
A1_Mm_MM013K,Ballum,1
A1_Mm_MM031K,Ballum,1
A3_Mm_MM265,Ballum,1
NVSL_S_818,Sejroe,3
MM0328CK,Ballum,1
A3_Mm_MM256,Ballum,1
A3_Mm_MM268,Ballum,1
VARDARAC,Pomona,2
A4_Mm_MM350,Ballum,1
FMAS_PD2,Celledoni,1
158133,Hebdomadis,3
202202766,Sarmin,1
A2_Mm_MM159,Ballum,1
A3_Mm_MM269,Ballum,1
A4_Ee_MM344,Ballum,1
A2_Mm_MM134,Ballum,1
A2_Mm_MM244,Ballum,1
IP1507003,Pomona,2
A2_Ee_MM195,Ballum,1
200701872,Pyrogenes,1
UT364,Pomona,2
A3_Mm_MM280,Ballum,1
A4_Mm_MM332,Ballum,1
A1_Mm_MM026KC,Ballum,1
A3_Mm_MM257,Ballum,1
A1_Mm_MM006,Ballum,1
BOLMAN,Pomona,2
A4_Mm_MM325,Ballum,1
EVK8,Sejroe,3
408_IZSLER,Sejroe,3
B1_Mm_MM119,Ballum,1
Ag23_2020,Javanica,1
FK97,Canicola,1
Muis5,Ballum,1
442_IZSLER,Pomona,2
944,Sejroe,3
201700941,Pyrogenes,1
HO0905CK,Pomona,2
201801164,Canicola,1
MM0281CK,Pomona,2
I89,Sejroe,3
201801184bis,Canicola,1
56601-V,Icterohaemorrhagiae,1
NVSL_S_1343,Sejroe,3
D12,Sejroe,3
201801161,Canicola,1
cuba_11,Canicola,1
201801179,Bataviae,4
Kito,Canicola,1
Fiocruz_LV133,Canicola,1
A4_Mm_MM324,Ballum,1
MM0266CK,Pomona,2
NIID22,Hebdomadis,3
201700317,Sejroe,3
D25,Sejroe,3
905,Sejroe,3
BK-6,Sejroe,3
201801751,Bataviae,4
201801160,Canicola,1
Ag14_2020,Pyrogenes,1
BK-30,Sejroe,3
56601,Icterohaemorrhagiae,1
MM0168CK,Pomona,2
201801755,Pomona,2
202100614,Ballum,1
BK-9,Sejroe,3
Lai,Icterohaemorrhagiae,1
LT1649,Djasiman,2
201902968,Canicola,1
201700296,Tarassovi,4
205,Sejroe,3
cuba_16,Canicola,1
201801185ter,Canicola,1
128042,Hebdomadis,3
cuba_10,Canicola,1
LEPTOCUBA07,Canicola,1
NIID24,Hebdomadis,3
178112,Hebdomadis,3
A4_Mm_MM361,Ballum,1
CMCC-3,Canicola,1
cuba_09,Canicola,1
Lai LPS mutant,Icterohaemorrhagiae,1
