WP_002725873.1	136039	93.902	82	106	27808	5.36e-40	137
WP_026054882.1	136039	84.932	365	365	27808	0.0	602
WP_002733646.1	136039	95.676	185	185	27808	2.60e-119	369
WP_002733534.1	136039	97.872	329	329	27808	0.0	667
WP_002733534.1	136039	28.990	307	329	27808	5.44e-18	82.4
WP_002733534.1	136039	24.765	319	329	27808	5.84e-12	63.9
WP_002733627.1	136039	92.884	267	267	27808	1.95e-169	516
WP_002740721.1	136039	95.455	330	330	27808	0.0	656
WP_002740721.1	136039	28.990	307	330	27808	1.01e-17	81.6
WP_002740826.1	136039	95.628	366	366	27808	0.0	732
WP_002740826.1	136039	39.726	365	366	27808	2.51e-86	282
WP_002740861.1	136039	95.640	367	367	27808	0.0	739
WP_002740861.1	136039	39.452	365	367	27808	2.27e-86	283
WP_002740729.1	136039	92.096	544	544	27808	0.0	1043
WP_002740998.1	136039	94.717	265	265	27808	5.33e-162	495
WP_032853071.1	136039	93.871	310	310	27808	0.0	613
WP_002740848.1	136039	93.487	261	264	27808	4.67e-167	509
WP_002740917.1	136039	95.475	221	221	27808	3.68e-143	439
WP_002740692.1	135933	26.207	290	283	15287	1.57e-22	94.7
WP_230456811.1	136003	30.588	170	388	107853	5.99e-16	77.4
WP_002740804.1	136055	31.118	331	411	1791	1.38e-40	149
WP_002740724.1	135938	31.299	508	596	35874	1.17e-59	213
WP_002740724.1	135938	27.530	247	596	35874	4.41e-14	73.2
WP_002733611.1	135970	40.556	180	176	10498	1.38e-37	134
WP_016749081.1	135961	28.221	326	313	99206	2.46e-18	83.2
WP_002738232.1	135925	30.081	123	134	20849	8.54e-18	75.9
WP_002744551.1	136039	28.519	270	311	27808	1.02e-12	66.2
WP_002733548.1	135987	23.251	486	485	67263	7.34e-07	49.3
WP_002733638.1	136003	29.341	334	330	107853	7.18e-32	123
WP_002733599.1	135948	29.412	391	381	87589	9.63e-42	154
WP_002740722.1	135933	32.239	335	344	15287	4.10e-51	180
WP_002740722.1	135933	28.485	330	344	15287	4.70e-20	89.0
WP_002740926.1	136039	24.701	251	351	27808	1.24e-10	60.5
WP_002740726.1	135933	34.043	329	753	15287	3.95e-42	163
WP_002740726.1	135933	25.581	344	753	15287	8.39e-12	66.2
WP_002740808.1	136038	29.688	128	229	58237	5.04e-08	50.4
WP_139363593.1	136003	83.803	142	269	107853	2.08e-120	242
WP_139363593.1	136003	84.615	117	269	107853	2.08e-120	206
WP_002740041.1	135981	27.273	231	281	36038	1.33e-13	68.2
WP_002740235.1	136024	24.171	211	372	52371	2.51e-07	50.1
WP_002733600.1	136038	28.063	253	255	58237	1.02e-26	106
WP_002733582.1	136061	36.310	168	243	55357	1.33e-27	108
WP_002738295.1	136039	24.303	251	257	27808	8.97e-12	62.4
WP_002733757.1	135961	26.786	336	363	99206	7.40e-24	100
WP_002733546.1	136039	24.815	270	317	27808	1.07e-19	87.4
WP_002733546.1	136039	25.275	273	317	27808	2.69e-06	46.2
WP_002733661.1	135931	29.612	206	298	84063	6.87e-20	87.4
WP_002733553.1	135925	91.755	376	376	20849	0.0	724
WP_002733572.1	135925	90.984	366	368	20849	0.0	694
WP_002721301.1	135925	96.011	376	376	20849	0.0	752
WP_002721297.1	135925	93.165	395	395	20849	0.0	754
WP_002733636.1	135925	95.012	421	421	20849	0.0	831
WP_002733711.1	135925	81.643	414	414	20849	1.10e-177	547
WP_002740298.1	135925	88.864	449	449	20849	0.0	790
WP_050547976.1	135925	73.288	292	295	20849	1.22e-146	452
WP_002727923.1	135925	90.580	138	143	20849	6.15e-85	268
WP_002740294.1	135925	85.950	363	363	20849	0.0	665
WP_002727913.1	135925	38.596	228	265	20849	3.19e-45	160
WP_002742128.1	135970	67.897	271	281	10498	7.26e-131	406
WP_002742128.1	135970	26.636	214	281	10498	2.26e-13	67.4
WP_002740063.1	135970	85.948	306	306	10498	0.0	552
WP_002740024.1	135970	92.857	336	349	10498	0.0	667
WP_002727921.1	135970	95.918	294	294	10498	0.0	575
WP_002727925.1	135970	86.111	324	324	10498	0.0	600
WP_002733618.1	135970	88.779	303	303	10498	0.0	558
WP_002727927.1	136035	83.688	282	282	72318	1.31e-163	500
WP_228029599.1	136035	86.111	252	277	72318	3.16e-133	413
WP_228029599.1	136035	38.095	63	277	72318	1.57e-05	43.5
WP_000715958.1	136039	100.000	131	131	27808	4.76e-85	268
WP_000275679.1	136055	30.871	379	416	1791	6.41e-47	167
WP_000834719.1	135938	34.518	394	605	35874	4.01e-54	197
WP_000834719.1	135938	27.848	237	605	35874	5.71e-11	63.2
WP_000799637.1	135925	31.655	139	142	20849	3.80e-19	80.1
WP_001206408.1	136011	25.714	140	244	20597	4.98e-07	47.8
WP_000579813.1	135999	32.484	314	315	85700	3.67e-40	147
WP_000132018.1	136038	32.075	106	228	58237	6.63e-11	58.9
WP_000947841.1	135948	28.982	383	387	87589	8.40e-36	137
WP_000823146.1	135925	26.897	145	387	20849	1.67e-04	41.2
WP_002115474.1	136003	27.419	186	287	107853	6.39e-09	54.3
WP_000231290.1	136047	41.176	68	198	18858	1.04e-09	54.7
WP_000848236.1	136038	36.694	248	251	58237	9.80e-34	126
WP_002115390.1	135961	30.645	248	257	99206	1.57e-22	94.0
WP_000661931.1	135981	21.959	296	320	36038	1.13e-08	53.9
WP_000675255.1	135946	28.378	296	332	63899	6.44e-27	109
WP_000601375.1	136039	25.091	275	317	27808	6.86e-19	85.1
WP_000601375.1	136039	26.545	275	317	27808	1.78e-04	40.4
WP_000007540.1	136049	33.562	146	287	112474	6.27e-06	44.7
WP_061294270.1	135925	64.095	674	670	20849	0.0	749
WP_000050434.1	135925	99.681	313	313	20849	0.0	648
WP_001084686.1	135925	99.327	297	297	20849	0.0	603
WP_000600954.1	135925	99.623	265	265	20849	6.91e-175	532
WP_004503036.1	136039	67.547	265	265	27808	4.04e-112	352
WP_004503130.1	136039	77.143	140	146	27808	1.68e-47	161
WP_004503087.1	135950	71.154	208	308	11238	6.49e-92	258
WP_004503087.1	135950	70.312	64	308	11238	6.49e-92	95.1
WP_004503087.1	135950	45.000	120	308	11238	5.15e-17	79.0
WP_061236010.1	135938	35.369	393	595	35874	3.25e-63	224
WP_061236010.1	135938	33.908	174	595	35874	2.70e-14	73.9
WP_198288176.1	135925	23.256	344	387	20849	1.11e-04	41.6
WP_004503102.1	135933	34.268	321	339	15287	1.26e-54	190
WP_004503102.1	135933	27.052	329	339	15287	1.13e-17	81.6
WP_004503046.1	136039	26.496	117	346	27808	3.42e-06	46.2
WP_025185097.1	135985	39.726	73	115	35599	5.61e-04	35.4
WP_004503514.1	136017	28.505	214	365	77233	1.41e-19	88.2
WP_239248154.1	136049	31.818	352	360	112474	4.83e-43	157
WP_239248155.1	135946	28.261	276	331	63899	7.36e-20	88.2
WP_016759267.1	136049	26.000	200	288	112474	2.69e-07	49.3
WP_004498219.1	135925	83.432	338	343	20849	0.0	590
WP_239248166.1	135925	77.736	265	265	20849	6.72e-142	437
WP_061217842.1	135970	83.456	272	274	10498	2.13e-158	485
WP_061217842.1	135970	26.512	215	274	10498	2.44e-13	67.4
WP_239248167.1	136035	75.887	282	282	72318	9.74e-148	455
WP_000776640.1	136039	38.026	547	538	27808	8.77e-98	322
WP_000093099.1	136039	46.988	83	99	27808	2.94e-16	69.7
WP_223809837.1	135946	72.249	209	213	63899	1.21e-100	316
WP_001106774.1	136055	29.365	378	417	1791	1.23e-42	155
WP_000525968.1	135925	46.459	353	359	20849	2.67e-94	305
WP_002078515.1	135925	96.667	30	50	20849	3.69e-18	59.3
WP_002078515.1	135925	100.000	20	50	20849	3.69e-18	44.3
WP_002733615.1	135950	54.598	174	177	11238	1.98e-64	211
WP_002733621.1	135954	78.571	28	52	22131	3.45e-09	47.4
WP_039942433.1	135950	56.030	398	408	11238	3.27e-152	474
WP_039942433.1	135950	23.822	382	408	11238	7.98e-26	107
WP_244265121.1	136055	30.872	298	302	1791	1.26e-37	138
WP_010578390.1	136086	35.322	419	603	41736	1.29e-53	195
WP_010578389.1	135931	52.632	38	186	84063	6.21e-04	37.0
WP_010578386.1	136086	27.848	158	210	41736	5.29e-09	52.8
WP_039942517.1	135959	32.800	125	235	52995	6.42e-10	56.2
WP_010578367.1	135933	32.164	342	357	15287	6.07e-42	154
WP_010578367.1	135933	26.627	338	357	15287	4.73e-16	77.0
WP_020984998.1	136011	23.529	170	390	20597	1.91e-07	50.4
WP_010578352.1	136011	48.936	235	279	20597	1.61e-70	233
