WP_002725873.1	NZ_CP092152.1	93.902	82	106	4298104	3.86e-40	138
WP_026054882.1	NZ_CP092152.1	85.205	365	365	4298104	0.0	605
WP_002733646.1	NZ_CP092152.1	95.676	185	185	4298104	2.80e-119	369
WP_002733646.1	NZ_CP092152.1	40.714	140	185	4298104	3.53e-25	99.0
WP_002733534.1	NZ_CP092152.1	97.872	329	329	4298104	0.0	669
WP_002733534.1	NZ_CP092152.1	32.063	315	329	4298104	1.08e-39	146
WP_002733534.1	NZ_CP092152.1	30.746	335	329	4298104	6.44e-37	138
WP_002733534.1	NZ_CP092152.1	31.494	308	329	4298104	1.06e-33	129
WP_002733534.1	NZ_CP092152.1	30.183	328	329	4298104	2.71e-27	110
WP_002733534.1	NZ_CP092152.1	28.829	333	329	4298104	6.88e-22	94.4
WP_002733534.1	NZ_CP092152.1	28.990	307	329	4298104	5.95e-18	82.4
WP_002733534.1	NZ_CP092152.1	29.682	283	329	4298104	8.51e-18	82.0
WP_002733534.1	NZ_CP092152.1	27.007	274	329	4298104	2.29e-13	68.6
WP_002733534.1	NZ_CP092152.1	25.078	319	329	4298104	3.42e-12	65.1
WP_002733534.1	NZ_CP092152.1	29.434	265	329	4298104	3.02e-09	55.8
WP_002733534.1	NZ_CP092152.1	26.378	254	329	4298104	2.25e-07	50.1
WP_002733627.1	NZ_CP092152.1	92.884	267	267	4298104	1.07e-169	517
WP_002733627.1	NZ_CP092152.1	27.895	190	267	4298104	1.18e-10	59.3
WP_002733627.1	NZ_CP092152.1	30.702	114	267	4298104	4.47e-09	54.3
WP_002733627.1	NZ_CP092152.1	27.128	188	267	4298104	8.66e-06	44.3
WP_002740721.1	NZ_CP092152.1	95.455	330	330	4298104	0.0	656
WP_002740721.1	NZ_CP092152.1	28.664	307	330	4298104	4.51e-18	82.8
WP_002740721.1	NZ_CP092152.1	24.088	274	330	4298104	3.49e-15	73.9
WP_002740721.1	NZ_CP092152.1	26.582	316	330	4298104	1.82e-13	68.9
WP_002740721.1	NZ_CP092152.1	23.881	335	330	4298104	8.14e-13	67.0
WP_002740721.1	NZ_CP092152.1	27.490	251	330	4298104	9.30e-12	63.5
WP_002740721.1	NZ_CP092152.1	28.846	260	330	4298104	2.00e-08	53.1
WP_002740721.1	NZ_CP092152.1	25.778	225	330	4298104	7.63e-08	51.2
WP_002740826.1	NZ_CP092152.1	95.628	366	366	4298104	0.0	732
WP_002740826.1	NZ_CP092152.1	39.726	365	366	4298104	2.76e-86	282
WP_002740826.1	NZ_CP092152.1	34.262	359	366	4298104	9.48e-60	206
WP_002740826.1	NZ_CP092152.1	28.232	379	366	4298104	3.10e-42	155
WP_002740826.1	NZ_CP092152.1	31.675	382	366	4298104	6.31e-42	154
WP_002740826.1	NZ_CP092152.1	32.773	357	366	4298104	2.25e-38	144
WP_002740826.1	NZ_CP092152.1	29.805	359	366	4298104	6.66e-34	130
WP_002740826.1	NZ_CP092152.1	32.105	190	366	4298104	1.29e-14	73.2
WP_002740861.1	NZ_CP092152.1	95.640	367	367	4298104	0.0	739
WP_002740861.1	NZ_CP092152.1	39.452	365	367	4298104	2.50e-86	283
WP_002740861.1	NZ_CP092152.1	36.314	369	367	4298104	2.15e-70	236
WP_002740861.1	NZ_CP092152.1	31.967	366	367	4298104	4.63e-51	181
WP_002740861.1	NZ_CP092152.1	33.067	375	367	4298104	8.56e-45	162
WP_002740861.1	NZ_CP092152.1	31.117	376	367	4298104	5.02e-44	160
WP_002740861.1	NZ_CP092152.1	30.159	378	367	4298104	1.11e-40	150
WP_002740861.1	NZ_CP092152.1	24.302	358	367	4298104	1.23e-15	76.3
WP_002740729.1	NZ_CP092152.1	91.544	544	544	4298104	0.0	1037
WP_002740998.1	NZ_CP092152.1	94.717	265	265	4298104	5.79e-162	495
WP_002740998.1	NZ_CP092152.1	46.091	243	265	4298104	5.98e-65	216
WP_032853071.1	NZ_CP092152.1	92.581	310	310	4298104	0.0	606
WP_032853071.1	NZ_CP092152.1	36.513	304	310	4298104	5.01e-66	221
WP_032853071.1	NZ_CP092152.1	26.471	306	310	4298104	2.76e-25	103
WP_032853071.1	NZ_CP092152.1	23.282	262	310	4298104	4.92e-08	51.6
