WP_004753574.1	lcl|NZ_JQPO01000042.1_cds_WP_000340715.1_1038	94.186	86	106
WP_004766657.1	lcl|NZ_JQPO01000042.1_cds_WP_000410275.1_1037	96.452	310	314
WP_004766657.1	lcl|NZ_JQPO01000011.1_cds_WP_000744700.1_329	25.076	331	314
WP_004766657.1	lcl|NZ_JQPO01000042.1_cds_WP_000723078.1_988	22.662	278	314
WP_004766657.1	lcl|NZ_JQPO01000042.1_cds_WP_000723090.1_968	23.024	291	314
WP_004766657.1	lcl|NZ_JQPO01000042.1_cds_WP_000567887.1_986	22.749	211	314
WP_000884059.1	lcl|NZ_JQPO01000047.1_cds_WP_000351733.1_1118	40.000	140	185
WP_000884059.1	lcl|NZ_JQPO01000042.1_cds_WP_001047905.1_1006	33.898	177	185
WP_000646251.1	lcl|NZ_JQPO01000011.1_cds_WP_000744700.1_329	32.063	315	329
WP_000646251.1	lcl|NZ_JQPO01000042.1_cds_WP_000723078.1_988	30.530	321	329
WP_000646251.1	lcl|NZ_JQPO01000042.1_cds_WP_000723090.1_968	31.045	335	329
WP_000646251.1	lcl|NZ_JQPO01000006.1_cds_WP_001984071.1_157	31.803	305	329
WP_000646251.1	lcl|NZ_JQPO01000010.1_cds_WP_000649924.1_212	30.183	328	329
WP_000646251.1	lcl|NZ_JQPO01000042.1_cds_WP_000567887.1_986	29.508	305	329
WP_000646251.1	lcl|NZ_JQPO01000069.1_cds_WP_000709511.1_1545	29.730	333	329
WP_000646251.1	lcl|NZ_JQPO01000006.1_cds_WP_000688696.1_137	29.329	283	329
WP_000646251.1	lcl|NZ_JQPO01000042.1_cds_WP_000410275.1_1037	26.048	334	329
WP_000646251.1	lcl|NZ_JQPO01000118.1_cds_WP_001074783.1_2444	28.679	265	329
WP_000646251.1	lcl|NZ_JQPO01000042.1_cds_WP_000460023.1_984	25.632	277	329
WP_000646251.1	lcl|NZ_JQPO01000056.1_cds_WP_061270835.1_1329	24.852	338	329
WP_000774262.1	lcl|NZ_JQPO01000042.1_cds_WP_000043898.1_987	25.610	246	267
WP_000774262.1	lcl|NZ_JQPO01000042.1_cds_WP_000842260.1_967	26.316	190	267
WP_000774262.1	lcl|NZ_JQPO01000101.1_cds_WP_000667727.1_2168	31.818	110	267
WP_000774262.1	lcl|NZ_JQPO01000185.1_cds_WP_000805357.1_3460	33.645	107	267
WP_000602734.1	lcl|NZ_JQPO01000075.1_cds_WP_000291585.1_1632	26.911	327	509
WP_000602734.1	lcl|NZ_JQPO01000075.1_cds_WP_000364504.1_1633	31.111	90	509
WP_000602734.1	lcl|NZ_JQPO01000075.1_cds_WP_000291585.1_1632	26.911	327	509
WP_000602734.1	lcl|NZ_JQPO01000075.1_cds_WP_000364504.1_1633	31.111	90	509
