WP_004753574.1	lcl|NZ_JQPS01000038.1_cds_WP_000340715.1_1112	94.186	86	106
WP_004766657.1	lcl|NZ_JQPS01000038.1_cds_WP_000712241.1_1113	96.178	314	314
WP_004766657.1	lcl|NZ_JQPS01000038.1_cds_WP_042752256.1_1132	50.602	83	314
WP_004766657.1	lcl|NZ_JQPS01000111.1_cds_WP_000744704.1_2532	25.076	331	314
WP_004766657.1	lcl|NZ_JQPS01000038.1_cds_WP_017854439.1_1116	26.022	269	314
WP_004766657.1	lcl|NZ_JQPS01000038.1_cds_WP_000723090.1_1203	23.024	291	314
WP_004766657.1	lcl|NZ_JQPS01000038.1_cds_WP_000600891.1_1141	23.118	186	314
WP_262052077.1	lcl|NZ_JQPS01000038.1_cds_WP_000604524.1_1114	97.534	365	365
WP_000884059.1	lcl|NZ_JQPS01000038.1_cds_WP_000884059.1_1115	100.000	185	185
WP_000884059.1	lcl|NZ_JQPS01000004.1_cds_WP_000351733.1_113	40.000	140	185
WP_000646251.1	lcl|NZ_JQPS01000038.1_cds_WP_017854439.1_1116	99.696	329	329
WP_000646251.1	lcl|NZ_JQPS01000111.1_cds_WP_000744704.1_2532	32.063	315	329
WP_000646251.1	lcl|NZ_JQPS01000038.1_cds_WP_000723090.1_1203	31.045	335	329
WP_000646251.1	lcl|NZ_JQPS01000038.1_cds_WP_000600891.1_1141	31.988	322	329
WP_000646251.1	lcl|NZ_JQPS01000030.1_cds_WP_001984071.1_869	31.803	305	329
WP_000646251.1	lcl|NZ_JQPS01000010.1_cds_WP_000649925.1_390	30.183	328	329
WP_000646251.1	lcl|NZ_JQPS01000295.1_cds_WP_000709513.1_3980	30.030	333	329
WP_000646251.1	lcl|NZ_JQPS01000038.1_cds_WP_061234286.1_1177	24.749	299	329
WP_000646251.1	lcl|NZ_JQPS01000038.1_cds_WP_001067556.1_1119	28.990	307	329
WP_000646251.1	lcl|NZ_JQPS01000030.1_cds_WP_000688695.1_889	29.329	283	329
WP_000646251.1	lcl|NZ_JQPS01000038.1_cds_WP_000475904.1_1186	27.372	274	329
WP_000646251.1	lcl|NZ_JQPS01000038.1_cds_WP_000712241.1_1113	25.392	319	329
WP_000646251.1	lcl|NZ_JQPS01000027.1_cds_WP_001074779.1_777	29.057	265	329
WP_000646251.1	lcl|NZ_JQPS01000028.1_cds_WP_001003557.1_812	25.000	332	329
WP_000646251.1	lcl|NZ_JQPS01000038.1_cds_WP_000487322.1_1175	27.077	325	329
WP_000774262.1	lcl|NZ_JQPS01000038.1_cds_WP_000774259.1_1117	98.127	267	267
WP_000774262.1	lcl|NZ_JQPS01000038.1_cds_WP_000859505.1_1174	26.639	244	267
WP_000774262.1	lcl|NZ_JQPS01000038.1_cds_WP_000800438.1_1146	25.328	229	267
WP_000774262.1	lcl|NZ_JQPS01000038.1_cds_WP_000842260.1_1204	26.316	190	267
WP_000774262.1	lcl|NZ_JQPS01000107.1_cds_WP_000667727.1_2481	31.818	110	267
WP_000774262.1	lcl|NZ_JQPS01000173.1_cds_WP_000805357.1_3240	33.645	107	267
