WP_004753574.1	lcl|NZ_JQHH01000022.1_cds_WP_004753574.1_436	100.000	86	106
WP_004766657.1	lcl|NZ_JQHH01000022.1_cds_WP_004779581.1_435	100.000	310	314
WP_004766657.1	lcl|NZ_JQHH01000023.1_cds_WP_004753565.1_444	25.076	331	314
WP_004766657.1	lcl|NZ_JQHH01000106.1_cds_WP_082281213.1_1784	22.420	281	314
WP_004766657.1	lcl|NZ_JQHH01000106.1_cds_WP_004766668.1_1806	23.239	284	314
WP_004766657.1	lcl|NZ_JQHH01000106.1_cds_WP_004780151.1_1786	20.128	313	314
WP_262052077.1	lcl|NZ_JQHH01000154.1_cds_WP_082281355.1_2401	25.514	243	365
WP_000884059.1	lcl|NZ_JQHH01000070.1_cds_WP_004752075.1_1119	40.714	140	185
WP_000884059.1	lcl|NZ_JQHH01000022.1_cds_WP_004779567.1_404	34.463	177	185
WP_000646251.1	lcl|NZ_JQHH01000106.1_cds_WP_082281213.1_1784	30.530	321	329
WP_000646251.1	lcl|NZ_JQHH01000023.1_cds_WP_004753565.1_444	31.429	315	329
WP_000646251.1	lcl|NZ_JQHH01000106.1_cds_WP_004766668.1_1806	31.045	335	329
WP_000646251.1	lcl|NZ_JQHH01000183.1_cds_WP_004766600.1_2727	32.143	308	329
WP_000646251.1	lcl|NZ_JQHH01000115.1_cds_WP_020762466.1_1897	30.887	327	329
WP_000646251.1	lcl|NZ_JQHH01000106.1_cds_WP_004780151.1_1786	28.387	310	329
WP_000646251.1	lcl|NZ_JQHH01000183.1_cds_WP_004766610.1_2736	30.154	325	329
WP_000646251.1	lcl|NZ_JQHH01000183.1_cds_WP_004766589.1_2707	27.566	341	329
WP_000646251.1	lcl|NZ_JQHH01000106.1_cds_WP_082281223.1_1789	27.007	274	329
WP_000646251.1	lcl|NZ_JQHH01000022.1_cds_WP_004779581.1_435	26.335	281	329
WP_000646251.1	lcl|NZ_JQHH01000002.1_cds_WP_004765661.1_19	26.230	244	329
WP_000646251.1	lcl|NZ_JQHH01000182.1_cds_WP_004766127.1_2671	29.213	267	329
WP_000646251.1	lcl|NZ_JQHH01000146.1_cds_WP_082281339.1_2318	25.856	263	329
WP_000646251.1	lcl|NZ_JQHH01000252.1_cds_WP_020764095.1_3299	27.984	243	329
WP_000774262.1	lcl|NZ_JQHH01000106.1_cds_WP_004780153.1_1785	28.139	231	267
WP_000774262.1	lcl|NZ_JQHH01000106.1_cds_WP_004766678.1_1807	25.926	189	267
WP_000774262.1	lcl|NZ_JQHH01000143.1_cds_WP_020763320.1_2269	27.979	193	267
WP_000774262.1	lcl|NZ_JQHH01000009.1_cds_WP_016761591.1_142	37.209	86	267
WP_000602734.1	lcl|NZ_JQHH01000071.1_cds_WP_004751764.1_1221	27.660	329	509
WP_000602734.1	lcl|NZ_JQHH01000071.1_cds_WP_004766128.1_1220	31.111	90	509
WP_000602734.1	lcl|NZ_JQHH01000071.1_cds_WP_004751764.1_1221	27.660	329	509
WP_000602734.1	lcl|NZ_JQHH01000071.1_cds_WP_004766128.1_1220	31.111	90	509
WP_004766696.1	lcl|NZ_JQHH01000106.1_cds_WP_082281213.1_1784	24.364	275	330
WP_004766696.1	lcl|NZ_JQHH01000183.1_cds_WP_004766600.1_2727	26.199	271	330
WP_004766696.1	lcl|NZ_JQHH01000106.1_cds_WP_004766668.1_1806	24.928	349	330
WP_004766696.1	lcl|NZ_JQHH01000023.1_cds_WP_004753565.1_444	26.812	276	330
WP_004766696.1	lcl|NZ_JQHH01000002.1_cds_WP_004765661.1_19	27.572	243	330
WP_004766696.1	lcl|NZ_JQHH01000115.1_cds_WP_020762466.1_1897	28.854	253	330
WP_004766696.1	lcl|NZ_JQHH01000183.1_cds_WP_004766589.1_2707	25.551	227	330
WP_004766696.1	lcl|NZ_JQHH01000022.1_cds_WP_004779581.1_435	24.615	325	330
WP_004766691.1	lcl|NZ_JQHH01000106.1_cds_WP_020762944.1_1800	33.811	349	366
WP_004766691.1	lcl|NZ_JQHH01000022.1_cds_WP_004779526.1_425	40.807	223	366
WP_004766691.1	lcl|NZ_JQHH01000143.1_cds_WP_004754030.1_2275	28.232	379	366
WP_004766691.1	lcl|NZ_JQHH01000022.1_cds_WP_004779545.1_410	30.513	390	366
WP_004766691.1	lcl|NZ_JQHH01000022.1_cds_WP_004779554.1_428	38.350	206	366
WP_004766691.1	lcl|NZ_JQHH01000160.1_cds_WP_004778370.1_2487	29.692	357	366
WP_004766691.1	lcl|NZ_JQHH01000196.1_cds_WP_016761831.1_2799	31.579	190	366
WP_004766642.1	lcl|NZ_JQHH01000106.1_cds_WP_020762944.1_1800	35.714	364	367
WP_004766642.1	lcl|NZ_JQHH01000022.1_cds_WP_004779545.1_410	31.452	372	367
WP_004766642.1	lcl|NZ_JQHH01000160.1_cds_WP_004778370.1_2487	30.623	369	367
WP_004766642.1	lcl|NZ_JQHH01000143.1_cds_WP_004754030.1_2275	30.688	378	367
WP_004766642.1	lcl|NZ_JQHH01000022.1_cds_WP_004779554.1_428	28.531	354	367
WP_004766642.1	lcl|NZ_JQHH01000022.1_cds_WP_004779526.1_425	33.219	292	367
WP_004766642.1	lcl|NZ_JQHH01000196.1_cds_WP_016761831.1_2799	23.864	352	367
WP_002740998.1	lcl|NZ_JQHH01000217.1_cds_WP_004778714.1_3025	47.325	243	265
WP_016761674.1	lcl|NZ_JQHH01000163.1_cds_WP_020762689.1_2511	36.842	304	310
WP_016761674.1	lcl|NZ_JQHH01000049.1_cds_WP_004765094.1_822	26.645	304	310
WP_016761674.1	lcl|NZ_JQHH01000081.1_cds_WP_004752420.1_1419	22.901	262	310
WP_016761674.1	lcl|NZ_JQHH01000163.1_cds_WP_020762689.1_2511	36.842	304	310
